ܐܦܪܝܩܐ	アフリカ
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	サンティアゴ (チリ)
ܚܐܪܘܬܐ	自由
ܣܝܕܢܝ	シドニー
ܝܪܘܩܐ	緑
ܡܠܒܘܪܢ	メルボルン
ܣܘܡܩܐ	赤
ܢܘܪܐ (ܕܠܩܐ)	火
ܢܝܠܘܣ	ナイル川
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	アルジェ
ܬܘܢܣ (ܡܕܝܢܬܐ)	チュニス
ܛܗܪܐܢ	テヘラン
ܐܢܩܪܐ	アンカラ
ܢܝܐܡܝ	ニアメ
ܒܡܩܘ	バマコ
ܕܪܡܣܘܩ	ダマスカス
ܥܡܐܢ	アンマン
ܒܝܪܘܬ	ベイルート
ܒܝܬ ܨܘܒܐ	大学
ܒܝܬܐ (ܒܢܝܢܐ)	家屋
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	オーストラリア大陸
ܢܗܪܐ	川
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	喜望峰
ܫܘܚܡܠܐ	投資
ܩܘܪܝܛܝܒܐ	クリチバ
ܥܒܐ	森林
ܩܘܢܦܘܫܝܘܣ	孔子
ܩܢܐ	巣
ܐܘܪܘ	ユーロ
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	地中海
ܓܘܪܓܝܐ	ジョージア
ܡܫܝܚܝܘܬܐ	キリスト教
ܩܠܒܐ:ܐܘܝܐ	Template:賛成
ܪܘܙܐ	米
ܝܒܫܬܐ	大陸
ܛܝܪܐ	鳥類
ܐܪܫܟܝܬܐ	首都
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	ポルトガル語
ܝܪܚܐ	月 (暦)
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	ムスタファ・ケマル・アタテュルク
ܐܠܡܐܙܢ	アルマサン
ܠܫܢܐ ܝܦܢܝܐ	日本語
ܦܐܬܐ ܪܝܫܝܬܐ	メインページ
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	フランシスコ・デ・ゴヤ
ܝܡܐ ܐܚܪܝܐ	カスピ海
ܝܡܬܐ ܕܐܝܪܝ	エリー湖
ܣܠܒܐܕܘܪ ܕܐܠܝ	サルバドール・ダリ
