非洲	アフリカ
稻荷町站	稲荷町駅 (東京都)
福澤諭吉	福澤諭吉
萍鄉	萍郷市
新喻	新余市
鷹潭	鷹潭市
贛州	カン州市
吉安	吉安市
宜春	宜春市
撫州	撫州市
上饒	上饒市
漆器	漆器
腳魚	スッポン科
議會 (江西)	江西省議会
阿斯	アス (青銅貨)
宋時烈	宋時烈
尹善道	尹善道
李珥	李珥
許穆	許穆
元均	元均
張澤相	張沢相
崔庸健	崔庸健
尹鑴	尹ヒュー
敘事學	物語論
和單	シーチング
AFI嗰世紀百大名言	アメリカ映画の名セリフベスト100
幫助:搣	三重
85	85
澀谷站	渋谷駅
27	27
35	35
64	64
99	99
蘇姓	蘇 (姓)
都柏林人	ダブリン市民
申仁善	申師任堂
莎榭·倍禾娃羅娃	サーシャ・ピヴォヴァロヴァ
多娜·卡蘭	ダナ・キャラン
閔玆暎	閔妃
黃眞伊	黄真伊
許楚姬	許蘭雪軒
崇禮門	崇礼門
技術嗰歷史	テクノロジー史
一隻後生藝術家嗰畫像	若き芸術家の肖像
弱弱強格	アナペスト
瑪麗·哲浮姿	マリー・トラヴァース
許貞淑	許貞淑
羅蕙錫	羅ケイ錫
梅沒濕斯	ミメーシス
存在	存在
王昭	光宗 (高麗王)
鄭道傳	鄭道伝
山口二矢	山口二矢
許政	許政
鄭夢周	鄭夢周
李昰應	興宣大院君
石濤	石濤
許筠	許イン
尹致暎	尹致暎
潘淸簡	潘清簡
申叔舟	申叔舟
廳下	居間
奧婁斯	アウレウス
南昌起義	南昌起義
河莉秀	ハ・リス
理性主義	理性主義
聖保羅地鐵	サンパウロ地下鉄
陀螺儀	ジャイロスコープ
和服	和服
頭韻法	頭韻法
東亞日報	東亜日報
李爾瞻	李爾瞻
韓國嗰國寶	大韓民国指定国宝
李禔	譲寧大君
曺植	ソウ植
尹元衡	尹元衡
李埈鎔	李埈鎔
趙光祖	趙光祖
文定王后	文定王后
李滉	李滉
韓明澮	韓明カイ
兪吉濬	兪吉濬
弓裔	弓裔
韓係來報紙	ハンギョレ
權尙夏	権尚夏
李福男	李福男
古世界嗰七大奇跡	世界の七不思議
核桃溪 (加利福尼亞州)	ウォールナットクリーク (カリフォルニア州)
黃喜	黄喜
金明淳	金明淳
李始榮	李始榮
着落月球	月面着陸
李光洙	李光洙
朴重陽	朴重陽
崔昌益	崔昌益
李會昌	李会昌
獨立門	独立門
崔茂宣	崔茂宣
宋浚吉	宋浚吉
李齊賢	李斉賢
大清皇帝功德碑	大清皇帝功徳碑
迎恩門	迎恩門
京鄕新聞	京郷新聞
宋鎭禹	宋鎮禹
馬丁內斯 (加利福尼亞州)	マーティネズ (カリフォルニア州)
日比谷站	日比谷駅
嘆咸固玲站	ターナム・グリーン駅
南城	南城県
56	56
飯	飯
安福	安福県
瑪算·迪可算線	メイソン・ディクソン線
安卓站	エンジェル駅
胸肌	大胸筋
2020年代	2020年代
89	89
芬茲布利白站	フィンズベリー・パーク駅
Cartier	カルティエ
Dior	ディオール
76	76
29	29
清湯	ワンタン
蒙古	モンゴル高原
安仁	安仁県
四行詩	四行連
反穀物法同盟	反穀物法同盟
常寧	常寧市
文天祥	文天祥
隆回	隆回県
2060年代	2060年代
招兵	徴兵制度
71	71
28	28
爆竹	爆竹
2060年	2060年
59	59
62	62
莫拉加 (加利福尼亞州)	モラガ (カリフォルニア州)
95	95
安鐸尼年努斯	アントニニアヌス
38	38
75	75
銀座站	銀座駅
赤坂見附站	赤坂見附駅
青山一丁目站	青山一丁目駅
醴陵	醴陵市
大沙丘國家公園	グレートサンドデューンズ国立公園
弋陽	弋陽県
安義	安義県
安遠	安遠県
安源區	安源区
蒲圻	赤壁市
荷蘭白站	ホランド・パーク駅
北可斯集杜站	ベイカー・ストリート駅
詞頭音消失	語頭音消失
Wikipedia:捷徑	Wikipedia:ショートカット
廬山	廬山
心經	般若心経
尹日善	尹日善
李詩姸	イ・シヨン
比利·海靈頓	ビリー・ヘリントン
45	45
皮諾爾 (加利福尼亞州)	ピノール (カリフォルニア州)
諧斯集杜肯成段站	ハイ・ストリート・ケンジントン駅
Armani	アルマーニ
65	65
群茲韋站	クイーンズウェイ駅
瑪麗勒般站	メリルボーン駅
音節省略	エリジオン
2050年代	2050年代
2040年代	2040年代
2070年代	2070年代
理茲酒店 (巴黎)	オテル・リッツ・パリ
68	68
97	97
渥庫斯霍都所庫斯站	オックスフォード・サーカス駅
救貧法	救貧法
大數	漢数字
南京大學	南京大学
94	94
輔仁大學	輔仁大学
李姓	李氏
55	55
平江	平江県
美洲嗰歷史	アメリカ大陸史
91	91
Versace	ヴェルサーチ
阿羅茲固羅戶站	アーノス・グローヴ駅
韓服	韓服
壬午兵亂	壬午事変
古龍	古龍
葉姓	葉 (姓)
許雅涵	キャンディ・シュー
康姓	康
黃庭堅	黄庭堅
終戰詔書	玉音放送
吳官正	呉官正
盧姓	盧
獻哀王后	献哀王后
李烈鈞	李烈鈞
杜姓	杜 (姓)
曹姓	曹氏
80	80
21	21
22	22
70	70
50	50
41	41
34	34
33	33
47	47
31	31
32	32
44	44
46	46
49	49
48	48
37	37
39	39
36	36
53	53
81	81
66	66
63	63
52	52
69	69
73	73
57	57
74	74
79	79
67	67
77	77
83	83
82	82
86	86
78	78
98	98
高姓	高 (姓)
2030年代	2030年代
劉雯	リウ・ウェン
洋	世界の大洋
吳伯雄	呉伯雄
袁姓	袁氏
宋應星	宋応星
陳蕃	陳蕃
尹姓	尹
羅姓	羅 (姓)
韓姓	韓 (姓)
宋姓	宋 (姓)
中華大學	中華大学
金姓	金 (姓)
朱齡石	朱齢石
琴	古琴
艾祭韋爾站	エッジウェア駅 (ロンドン地下鉄)
詹姆斯·安格爾頓	ジェームズ・アングルトン
畬人	シェ族
泰善·柏霍都	タイソン・ベックフォード
洞口	洞口県
霞關站	霞ケ関駅 (東京都)
叭呔語	パトワ
固祭斯集杜站	グージ・ストリート駅
Bulgari	ブルガリ
妲諾維夫人	ダロウェイ夫人
東洋生態區	東洋区
Givenchy	ジバンシィ
希斯羅拖美拿1,2,3站	ヒースロー・ターミナルズ1,2,3駅
透鏡	レンズ
劍齒象	ステゴドン
望江	望江県
百越	百越
61	61
日本橋站	日本橋駅 (東京都)
建寧	建寧県
俄都革站	アルドゲイト駅
秋葉原站	秋葉原駅
淺草站	浅草駅
百慶站	バーキング駅
科能斯集杜站	キャノン・ストリート駅
依凌布羅威站	イーリング・ブロードウェイ駅
惠比壽站	恵比寿駅
華凌端站	ファリンドン駅
夏婁沃茲端站	ハーロウ&ウィルドストーン駅
希斯羅拖美拿5站	ヒースロー・ターミナル5駅
飯田橋站	飯田橋駅
神田站	神田駅 (東京都)
肯成段俄林劈站	ケンジントン・オリンピア駅
北千住站	北千住駅
利物浦斯集杜站	リバプール・ストリート駅
倫敦布利祭站	ロンドン・ブリッジ駅
摩革站	ムーアゲート駅
中野站	中野駅 (東京都)
御茶之水站	御茶ノ水駅
荻窪站	荻窪駅
俄都斯集杜站	オールド・ストリート駅
新橋站	新橋駅
新宿站	新宿駅
斯端布利祭白站	ストーンブリッジ・パーク駅
斯哲霍站	ストラトフォード駅
高田馬場站	高田馬場駅
鴨敏斯拖站	アップミンスター駅
上野站	上野駅
溫布利笙卓站	ウェンブリー・セントラル駅
韋斯杜布南段站	ウェスト・ブロンプトン駅
永保端站	ウィンブルドン駅
沃茲登將庫遜站	ウィルズデン・ジャンクション駅
四谷站	四ツ谷駅
趙姓	趙 (姓)
張姓	張 (姓)
王姓	王氏
劉姓	劉氏
陳姓	陳 (姓)
板庫-黙紐紋杜站	バンク駅・モニュメント駅
巴巒科杜站	バロンズ・コート駅
拜茲禾多站	ベイズウォーター駅
立方體	正六面体
42	42
黑人	黒人
京斯可羅斯聖潘可拿斯站	キングス・クロス・セント・パンクラス駅
布朗第姊妹	ブロンテ姉妹
鄉試	郷試
三十六字母	三十六字母
東南互保	東南互保
兩江總督	両江総督
魏姓	魏 (姓)
彭姓	彭
Hermès	エルメス
2061年	2061年
楊姓	楊 (姓)
周姓	周 (姓)
吳姓	呉 (姓)
音樂史	音楽史
提刑按察使	提刑按察使司按察使
孟姓	孟
史姓	史 (姓)
長江文明	長江文明
周羅睺	周羅コウ
中華民國國歌	中華民国国歌
佢俚先頭攻擊…	彼らが最初共産主義者を攻撃したとき
呫·呵嘍法	ジム・クロウ法
三清山	三清山
習鑿齒	習鑿歯
貝特魯大屠殺	ピータールーの虐殺
粥	粥
現代主義	モダニズム
2069年	2069年
2068年	2068年
2071年	2071年
2065年	2065年
2066年	2066年
2070年	2070年
斤	斤
崩茲固玲站	バウンズ・グリーン駅
51	51
大德寺	大徳寺
沈姓	沈 (姓)
延曆寺	延暦寺
金文	金文
Fendi	フェンディ
南舊金山 (加利福尼亞州)	サウスサンフランシスコ
永修	永修県
韋斯杜肯成段站	ウェスト・ケンジントン駅
湯顯祖	湯顕祖
屋固玲站	ウッド・グリーン駅
固勒潑蘭斯集杜站	グレート・ポートランド・ストリート駅
Celine	セリーヌ (ファッションブランド)
奧克利 (加利福尼亞州)	オークレー (カリフォルニア州)
古羅馬嗰貨幣	古代ローマの通貨
信州區	信州区
圓覺寺	円覚寺
酒比利線	ジュビリー線
東京地鐵	東京の地下鉄
瑞士科他祭站	スイス・コテージ駅
騒斯肯成段站	サウス・ケンジントン駅
東鄉	東郷県
行斯婁韋斯杜站	ハウンズロー・ウェスト駅
半月灣 (加利福尼亞州)	ハーフムーンベイ (カリフォルニア州)
聖巴布羅 (加利福尼亞州)	サンパブロ (カリフォルニア州)
韋庫拖里阿站	ヴィクトリア駅
朱權	朱権
萬姓	万 (姓)
前日	一昨日
臨湘	臨湘市
瀏陽	瀏陽市
耒陽	耒陽市
邵武	邵武市
瑞金	瑞金市
新昌	新昌県
寇多年婁都站	カレドニアン・ロード駅
卡拿雷沃乎站	カナリー・ワーフ駅 (ロンドン地下鉄)
後日	明後日
江西菜	江西料理
南昌火車站	南昌駅 (江西省)
毛姓	毛 (姓)
孔姓	孔 (姓)
夏姓	夏 (姓)
2063年	2063年
2062年	2062年
贛江	カン江
髮色	ヒトの髪の色
茶陵	茶陵県
昌江區	昌江区
西安 (多義項)	西安 (曖昧さ回避)
頌聖歌	タイの王室歌
人名	人名
築地站	築地駅
西漢	前漢
神谷町站	神谷町駅
地支	十二支
小傳馬町站	小伝馬町駅
三之輪站	三ノ輪駅
正月	1月 (旧暦)
仲御徒町站	仲御徒町駅
南阿佐谷站	南阿佐ケ谷駅
八丁堀站	八丁堀駅 (東京都)
銀座線	東京メトロ銀座線
四谷三丁目站	四谷三丁目駅
入谷站	入谷駅 (東京都)
新中野站	新中野駅
千代田線	東京メトロ千代田線
崇仁	崇仁県
崇陽	崇陽県
崇義	崇義県
浦安站	浦安駅 (千葉県)
癸	癸
茗荷谷站	茗荷谷駅
丁	丁
新大塚站	新大塚駅
壬	壬
東銀座站	東銀座駅
新高圓寺站	新高円寺駅
戊	戊
庚	庚
吳城文化	呉城文化
淡路町站	淡路町駅
方南町站	方南町駅
東高圓寺站	東高円寺駅
辛	辛
早稻田站	早稲田駅
董姓	董
AV女優	AV女優
石山寺	石山寺
觀心寺	観心寺
淨瑠璃寺	浄瑠璃寺
殼霍斯多茲站	コックフォスターズ駅
武汉大学	武漢大学
都潘州斯	デュポンディウス
文姓	文 (姓)
中野新橋站	中野新橋駅
胡姓	胡 (姓)
中野富士見町站	中野富士見町駅
中目黑站	中目黒駅
新宿御苑前站	新宿御苑前駅
陸姓	陸 (姓)
中華蘇維埃共和國	中華ソビエト共和国
眯睎眼	内眼角贅皮
韋斯杜敏斯拖站	ウェストミンスター駅
霍利斯	フォリス
詞中音消失	語中音消失
鞏金甌	鞏金甌
西晉	西晋
上栗	上栗県
人形町站	人形町駅
新宿三丁目站	新宿三丁目駅
入聲	入声
丸之內線	東京メトロ丸ノ内線
東漢	後漢
南宋	南宋
東西線	東京メトロ東西線
甲	甲
廣尾站	広尾駅
後樂園站	後楽園駅
舍利子	仏舎利
己	己
丙	丙
上野廣小路站	上野広小路駅
三界	三界
醍醐寺	醍醐寺
大冶	大冶市
大庾	大余県
德安	徳安県
族譜	族譜
昨日	昨日
天干	十干
國會議事堂前站	国会議事堂前駅
慧遠	慧遠 (東晋)
田原町站	田原町駅 (東京都)
朱然	朱然
日比谷線	東京メトロ日比谷線
元興寺	元興寺
南朝	南朝
德興	徳興市
瑞昌	瑞昌市
周璇	周セン
蔡姓	蔡 (姓)
永興 (多義項)	永興
順昌	順昌県
明日	明日
協浮茲布西站	シェパーズ・ブッシュ駅 (ロンドン地下鉄)
定南	定南県
除法	除法
高安	高安市
段姓	段 (姓)
嘉魚	嘉魚県
東湖區	東湖区
東至	東至県
有理數	有理数
卡䋎斯	クォドランス
分宜	分宜県
都昌	都昌県
羅斯依凌站	ノース・イーリング駅
新淦	新干県
曾鞏	曾鞏
依凌可紋站	イーリング・コモン駅
爾斯可杜站	アールズ・コート駅
依斯杜阿段站	イースト・アクトン駅
依斯杜孛尼站	イースト・パットニー駅
諧都白可諾站	ハイド・パーク・コーナー駅
上猶	上猶県
60年代	60年代
50年代	50年代
40年代	40年代
30年代	30年代
林士弘	林士弘
陶侃	陶侃
鄱陽湖之戰	ハ陽湖の戦い
武寧	武寧県
芬濟利婁都站	フィンチリー・ロード駅
將樂	将楽県
青原區	青原区
石城 (多義項)	石城
果敢	コーカン
敘事	ストーリー
日本史時代區分表	日本史時代区分表
六本木站	六本木駅
表參道站	表参道駅
南唐	南唐
羽衣仙女	羽衣伝説
大手町站	大手町駅 (東京都)
井岡山	井崗山
漢服	漢服
音班庫紋杜站	エンバンクメント駅
樂平	楽平市
貴溪	貴渓市
餘江	余江県
渝水區	渝水区
浮梁	浮梁県
太湖	太湖県
修水	修水県
宿松	宿松県
彭澤	彭沢県
贛縣	カン県
蓮花	蓮花県
懷寧	懐寧県
月湖區	月湖区
貴池	貴池区
南康區	南康市
石城	石城県
湘東區	湘東区
嶽西	岳西県
銅鼓	銅鼓県
瀘溪	蘆渓県
湖口	湖口県
潯陽區	潯陽区
九江（縣）	九江県
黎川	黎川県
玉山	玉山県
奉新	奉新県
峽江	峡江県
龍南	竜南県
遂川	遂川県
廬山區	廬山区
章邯	章邯
襠袋	コッドピース
艾祭韋爾婁都站	エッジウェア・ロード駅 (ベーカールー線)
法起寺	法起寺
Zegna	エルメネジルド・ゼニア
宜黃	宜黄県
上饒 (縣)	上饒県
宜豐	宜豊県
永興	永興県
吉州區	吉州区
鄱陽	ハ陽県
臨川區	臨川区
樂安	楽安県
吉水	吉水県
上高	上高県
鉛山	鉛山県
通城	通城県
尋鄔	尋烏県
寧都	寧都県
萬年	万年県
嶽陽	岳陽県
華容	華容県
虔南	全南県
監利	監利県
萬安	万安県
橫峯	横峰県
信豐	信豊県
靖安	靖安県
陽新	陽新県
通山	通山県
南豐	南豊県
興國	興国県
吉安（縣）	吉安県
攸縣	攸県
永豐	永豊県
袁州區	袁州区
廣昌	広昌県
婺源	ブ源県
度 (溫度)	度 (温度)
餘干	余干県
金溪	金渓県
韋斯杜阿段站	ウェスト・アクトン駅
孟建柱	孟建柱
禾然斯集杜站	ウォーレン・ストリート駅
優斯端斯怪爾站	ユーストン・スクエア駅
固玲白站	グリーン・パーク駅
綏寧	綏寧県
泰寧	泰寧県
石台	石台県
會昌	会昌県
新建	新建県
潛山	潜山県
豐城	豊城市
灣裡區	湾里区
泰和	泰和県
光澤	光沢県
萬載	万載県
西湖區	西湖区 (南昌市)
星子	星子県
南昌昌北國際機場	南昌昌北国際空港
滕王閣	滕王閣
神主牌	位牌
青山湖區	青山湖区
井岡山 (市)	井岡山市
盧叟斯怪爾站	ラッセル・スクウェア駅
優斯端站	ユーストン駅 (ロンドン地下鉄)
工廠法令	工場法
詹天佑	セン天佑
丁姓	丁 (姓)
分類:德國	Category:ドイツ
分類:意大利	Category:イタリア
分類:美國	Category:アメリカ合衆国
分類:俄羅斯	Category:ロシア
分類:加拿大	Category:カナダ
分類:英國	Category:イギリス
分類:中國	Category:中国
分類:日本	Category:日本
分類:澳大利亞	Category:オーストラリア
分類:印度	Category:インド
分類:沙特阿拉伯	Category:サウジアラビア
分類:以色列	Category:イスラエル
分類:土耳其	Category:トルコ
分類:埃及	Category:エジプト
20年代	20年代
鄧波站	テンプル駅
固羅實斯特婁都站	グロスター・ロード駅
合邦站	ホルボーン駅
吉齊熱陸軍	キッチナー陸軍
行斯婁笙卓站	ハウンズロー・セントラル駅
1120年代	1120年代
680年代	680年代
分類:荷蘭	Category:オランダ
分類:波蘭	Category:ポーランド
分類:泰國	Category:タイ王国
分類:越南	Category:ベトナム
分類:植物	Category:植物
分類:物理學	Category:物理学
分類:生物學	Category:生物学
分類:化學	Category:化学
分類:歷史	Category:歴史
分類:地理	Category:地理
分類:社會	Category:社会
長谷寺	長谷寺
拔森固玲站	パーソンズ・グリーン駅
分類:宗教	Category:宗教
分類:科學	Category:科学
分類:地球	Category:地球
福咸布羅威站	フラム・ブロードウェイ駅
品利可站	ピムリコ駅
桃兒侯站	タワーヒル駅
孟遜孝斯站	マンション・ハウス駅
維曼默宮	ウィマーンメーク宮殿
理茲酒店 (倫敦)	リッツ・ロンドン
艾勒芳卡斯托站	エレファント&キャッスル駅
鴨敏斯拖布利祭站	アップミンスター・ブリッジ駅
斯郎斯怪爾站	スローン・スクエア駅
聖將茲屋站	セント・ジョンズ・ウッド駅
瑪諾孝斯站	マナー・ハウス駅
藍北斯羅斯站	ランベス・ノース駅
聖詹實斯白站	セント・ジェームズ・パーク駅 (ロンドン地下鉄)
照應	後方照応
般若寺	般若寺
希斯羅拖美拿4站	ヒースロー・ターミナル4駅 (ロンドン地下鉄)
何羅威婁都站	ハロウェイ・ロード駅
俄南多	オーランドー
行斯婁依斯杜站	ハウンズロー・イースト駅
韻腳	韻脚
邵姓	邵
分類:2012年過世	Category:2012年没
黎段站	レイトン駅
金峯山寺	金峯山寺
分類:1072年過世	Category:1072年没
詩節	スタンザ
團敗庫然站	ターンパイク・レイン駅
斯丹摩站	スタンモア駅
奈杜布利祭站	ナイツブリッジ駅
羅斯固玲威濟站	ノース・グリニッジ駅 (ロンドン地下鉄)
模板:Box-footer	Template:Box-footer
王	クラール
羅町侯革站	ノッティング・ヒル・ゲート駅
雩都	于都県
厄屋站	オークウッド駅
協浮茲布西瑪乞站	シェパーズ・ブッシュ・マーケット駅
反切	反切
呂姓	呂
馬姓	馬 (姓)
余姓	余
摩登站	モーデン駅
姜姓	姜
粘粘蟲	ナメクジ
永保端白站	ウィンブルドン・パーク駅
騒斯浮茲站	サウスフィールズ駅
孛尼布利祭站	パットニー・ブリッジ駅
分類:奧運會	Category:オリンピック
分類:哲學	Category:哲学
分類:佛教	Category:仏教
分類:伊斯蘭教	Category:イスラム教
分類:猶太教	Category:ユダヤ教
懷杜實第站	ホワイト・シティー駅
腐竹	ゆば
雷姓	雷 (姓)
視覺韻	視覚韻
廣韻	広韻
工藝	工芸
姚姓	姚
唐姓	唐 (姓)
黎姓	黎 (姓)
賴姓	頼 (姓)
騒斯依凌站	サウス・イーリング駅
佤邦	ワ州
臭屁蟲	カメムシ
鍾姓	鍾
利色斯拖斯怪爾站	レスター・スクウェア駅
錢姓	銭 (姓)
日本嗰傳統色一覧	日本の色の一覧
中尊寺	中尊寺
唆泡	大言壮語
中原音韻	中原音韻
龍姓	龍 (姓)
豆乳	腐乳
西洋嗰王冠	西洋の冠
分類:行星	Category:惑星
分類:文化	Category:文化
分類:洲	Category:大陸
永保寺	永保寺
淨土寺 (小野市)	浄土寺 (小野市)
寶嚴寺	宝厳寺
乙	乙
南昌鐵路站（香港）	南昌駅 (香港)
10年代	10年代
富貴寺	富貴寺
白水阿彌陀堂	白水阿弥陀堂
一乘寺	一乗寺
石手寺	石手寺
陳衡恪	陳衡恪
Wikipedia:許年今日	Wikipedia:今日は何の日
淨土寺 (尾道市)	浄土寺 (尾道市)
鶴林寺	鶴林寺 (加古川市)
裏千家	裏千家
太古城	太古城
押韻結構	押韻構成
肖鋼	肖鋼
天工開物	天工開物
表千家	表千家
出世	誕生
正福寺	正福寺 (東村山市)
程國榮	程国栄
朱佑檳	朱祐檳
聶友	聶友
民國時間江西嗰行政規劃	江西省 (中華民国)
武者小路千家	武者小路千家
許振禕	許振イ
日本嗰國寶	日本の国宝一覧
操師乞	操師乞
幽靈文字	幽霊文字
馬毓寶	馬毓宝
羅洪先	羅洪先
承宣布政使	承宣布政使
清末新政	光緒新政
龍文彬	龍文彬
李有棠	李有棠
徐稚	徐稚
張衡	張衡 (道教)
胡諧之	胡諧之
袁州	袁州
吳芮	呉ゼイ
趙惟熙	趙惟煕
朱宸濠	朱宸濠
汗	汗
孫姓	孫氏
东南大学	東南大学
謝姓	謝
鴨	カモ
Wikipedia:放膽修改	Wikipedia:ページの編集は大胆に
分類:德國人	Category:ドイツの人物
分類:美國人	Category:アメリカ合衆国の人物
分類:奧地利人	Category:オーストリアの人物
分類:荷蘭人	Category:オランダの人物
分類:英國人	Category:イギリスの人物
分類:法國人	Category:フランスの人物
分類:意大利人	Category:イタリアの人物
模板:Tl	Template:Tl
模板:Userbox	Template:Userbox
分類:法律	Category:法
分類:國家	Category:国
分類:經濟	Category:経済学
分類:人物	Category:人物
Wikipedia:申請做管理員	Wikipedia:管理者への立候補
分類:自然	Category:自然
分類:貨幣	Category:貨幣
分類:政治	Category:政治
分類:教育	Category:教育
分類:光學	Category:光学
分類:藝術	Category:芸術
會計學	会計
埃及	エジプト
郭姓	郭 (姓)
分類:2013年	Category:2013年
模板:Bot	Template:Bot
潘姓	潘
加拿大	カナダ
分類:捷克	Category:チェコ
分類:丹麥	Category:デンマーク
分類:希臘	Category:ギリシャ
分類:瑞典	Category:スウェーデン
七曜	七曜
維度	次元 (数学)
鄒姓	鄒
崔姓	崔
分類:歐洲國家	Category:ヨーロッパの国
分類:歐洲	Category:ヨーロッパ
Wikipedia:新出嗰事	Portal:最近の出来事
模板:Documentation	Template:Documentation
博士	博士
Wikipedia:贛語本字	Wikipedia:言葉を濁さない
成在基	成在基
模板:Softredirect	Template:Softredirect
模板:Delete	Template:即時削除
分類:技術	Category:技術
分類:語言	Category:諸言語
分類:維基百科	Category:ウィキペディア
Wikipedia:免責聲明	Wikipedia:免責事項
分類:冇做索引嗰頁面	Category:検索エンジンに収集されないページ
分類:檔案連結損壞的頁面	Category:壊れたファイルへのリンクがあるページ
Portal:歐洲	Portal:ヨーロッパ
模板:Navbox	Template:Navbox
模板:Shortcut	Template:ショートカット
朱立倫	朱立倫
模板:!	Template:!
模板:Tnavbar	Template:Tnavbar
模板:Unicode	Template:Unicode
信仰	信仰
模板:Clear	Template:Clear
模板:Col-break	Template:Col-break
模板:Col-begin	Template:Col-begin
模板:Col-end	Template:Col-end
模板:Nowrap	Template:Nowrap
模板:Bots	Template:Bots
分類:非洲	Category:アフリカ
分類:書	Category:書物
分類:月份	Category:月 (暦)
模板:Wikisource	Template:Wikisource
模板:Babel	Template:Babel
模板:Commons	Template:Commons
模板:Link GA	Template:Link GA
模板:Reflist	Template:Reflist
模板:Stub	Template:Stub
模板:User de	Template:User de
模板:User en-3	Template:User en-3
模板:User en-1	Template:User en-1
模板:User en-2	Template:User en-2
模板:User en-4	Template:User en-4
模板:User ja-1	Template:User ja-1
模板:Unsigned	Template:Unsigned
分類:1957年	Category:1957年
分類:1949年	Category:1949年
分類:1927年	Category:1927年
分類:1919年	Category:1919年
模板:Location map/Info	Template:Location map/Info
分類:昆蟲	Category:昆虫
分類:亞洲	Category:アジア
分類:智利	Category:チリ
分類:21世紀	Category:21世紀
分類:南美洲	Category:南アメリカ
分類:1930年	Category:1930年
分類:1936年	Category:1936年
分類:1947年	Category:1947年
分類:1937年	Category:1937年
分類:1940年	Category:1940年
分類:1934年	Category:1934年
分類:1960年	Category:1960年
分類:1943年	Category:1943年
分類:1951年	Category:1951年
分類:1942年	Category:1942年
分類:1959年	Category:1959年
分類:1938年	Category:1938年
分類:1928年	Category:1928年
分類:1913年	Category:1913年
分類:1918年	Category:1918年
分類:1954年	Category:1954年
分類:1941年	Category:1941年
分類:1955年	Category:1955年
分類:1950年	Category:1950年
分類:1921年	Category:1921年
分類:1977年	Category:1977年
分類:1946年	Category:1946年
分類:1948年	Category:1948年
分類:1932年	Category:1932年
分類:1945年	Category:1945年
模板:Mod	Template:Mod
分類:1923年	Category:1923年
分類:1935年	Category:1935年
分類:1910年	Category:1910年
分類:1917年	Category:1917年
分類:1904年	Category:1904年
分類:1926年	Category:1926年
分類:1907年	Category:1907年
分類:1914年	Category:1914年
分類:1929年	Category:1929年
分類:1920年	Category:1920年
分類:1925年	Category:1925年
分類:1905年	Category:1905年
分類:1915年	Category:1915年
分類:1908年	Category:1908年
模板:歡迎	Template:Welcome
分類:1901年	Category:1901年
分類:1903年	Category:1903年
分類:1902年	Category:1902年
分類:1900年	Category:1900年
分類:1933年	Category:1933年
分類:1912年	Category:1912年
分類:1952年	Category:1952年
模板:USA	Template:USA
分類:語言學	Category:言語学
分類:1911年	Category:1911年
分類:1922年	Category:1922年
模板:ITA	Template:ITA
分類:1924年	Category:1924年
模板:Click	Template:Click
分類:1906年	Category:1906年
模板:Wikiquote	Template:Wikiquote
模板:Image label	Template:Image label
模板:Es	Template:Es icon
模板:Infobox Music genre	Template:Infobox Music genre
模板:Navigational templates	Template:Navigational templates
分類:美國嗰歷史	Category:アメリカ合衆国の歴史
模板:Infobox Country	Template:基礎情報 国
模板:Px	Template:Px
模板:Documentation/docname	Template:Documentation/docname
模板:Audio	Template:Audio
模板:Navbox with columns	Template:Navbox with columns
模板:Cite journal	Template:Cite journal
模板:Infobox Company	Template:Infobox Company
模板:S-after	Template:S-aft
模板:靚文	Template:Featured article
分類:1875年出世	Category:1875年生
分類:1856年出世	Category:1856年生
分類:巴黎	Category:パリ
模板:Infobox	Template:Infobox
分類:1902年過世	Category:1902年没
模板:User zh	Template:User zh
模板:Navbox/core	Template:Navbox/core
模板:Legend	Template:Legend
模板:Cite web	Template:Cite web
模板:Infobox Bridge	Template:Infobox Bridge
分類:飲食	Category:飲食
模板:方位	Template:方位
模板:Wiktionary	Template:Wiktionary
模板:Languageicon	Template:Languageicon
分類:總統	Category:大統領
分類:20世紀	Category:20世紀
模板:IPA	Template:IPA2
分類:政治人物	Category:政治家
分類:美洲	Category:アメリカ
分類:漢藏語系	Category:シナ・チベット語族
模板:LangWithName	Template:LangWithName
模板:User language-N	Template:User language
模板:Archive box	Template:Archive box
模板:Sisterlinks	Template:Sisterlinks
模板:Border	Template:Border
分類:1879年出世	Category:1879年生
分類:1955年出世	Category:1955年生
分類:1823年出世	Category:1823年生
分類:1963年出世	Category:1963年生
分類:1884年過世	Category:1884年没
分類:1875年過世	Category:1875年没
分類:1868年出世	Category:1868年生
分類:1812年出世	Category:1812年生
分類:1817年出世	Category:1817年生
分類:1837年出世	Category:1837年生
分類:1863年過世	Category:1863年没
分類:1829年出世	Category:1829年生
分類:1998年出世	Category:1998年生
分類:1802年過世	Category:1802年没
分類:1801年過世	Category:1801年没
分類:1718年過世	Category:1718年没
分類:1492年過世	Category:1492年没
分類:1834年出世	Category:1834年生
分類:1729年過世	Category:1729年没
分類:1498年過世	Category:1498年没
分類:1433年過世	Category:1433年没
分類:1457年過世	Category:1457年没
分類:1435年過世	Category:1435年没
分類:1461年過世	Category:1461年没
分類:1720年過世	Category:1720年没
分類:1408年過世	Category:1408年没
分類:1497年過世	Category:1497年没
分類:1429年過世	Category:1429年没
分類:1430年過世	Category:1430年没
分類:1508年過世	Category:1508年没
分類:1165年過世	Category:1165年没
分類:1499年過世	Category:1499年没
分類:1455年過世	Category:1455年没
分類:1156年過世	Category:1156年没
