አፍሪቃ	アフリカ
93 እ.ኤ.አ.	93年
57 እ.ኤ.አ.	57年
ሩዋን	ルーアン
503 እ.ኤ.አ.	503年
510 እ.ኤ.አ.	510年
509 እ.ኤ.አ.	509年
474 እ.ኤ.አ.	474年
484 እ.ኤ.አ.	484年
576 እ.ኤ.አ.	576年
493 እ.ኤ.አ.	493年
479 እ.ኤ.አ.	479年
287 እ.ኤ.አ.	287年
407 እ.ኤ.አ.	407年
485 እ.ኤ.አ.	485年
547 እ.ኤ.አ.	547年
546 እ.ኤ.አ.	546年
544 እ.ኤ.አ.	544年
537 እ.ኤ.አ.	537年
535 እ.ኤ.አ.	535年
502 እ.ኤ.አ.	502年
527 እ.ኤ.አ.	527年
ያሬን	ヤレン地区
508 እ.ኤ.አ.	508年
ገመድ	ロープ
525 እ.ኤ.አ.	525年
613 እ.ኤ.አ.	613年
618 እ.ኤ.አ.	618年
617 እ.ኤ.አ.	617年
608 እ.ኤ.አ.	608年
645 እ.ኤ.አ.	645年
621 እ.ኤ.አ.	621年
606 እ.ኤ.አ.	606年
623 እ.ኤ.አ.	623年
604 እ.ኤ.አ.	604年
603 እ.ኤ.አ.	603年
626 እ.ኤ.አ.	626年
619 እ.ኤ.አ.	619年
634 እ.ኤ.አ.	634年
630 እ.ኤ.አ.	630年
614 እ.ኤ.አ.	614年
505 እ.ኤ.አ.	505年
446 እ.ኤ.አ.	446年
791 እ.ኤ.አ.	791年
557 እ.ኤ.አ.	557年
ካልኩሌተር	計算機
656 እ.ኤ.አ.	656年
657 እ.ኤ.አ.	657年
659 እ.ኤ.አ.	659年
651 እ.ኤ.አ.	651年
676 እ.ኤ.አ.	676年
670 እ.ኤ.አ.	670年
652 እ.ኤ.አ.	652年
673 እ.ኤ.አ.	673年
654 እ.ኤ.አ.	654年
647 እ.ኤ.አ.	647年
812 እ.ኤ.አ.	812年
669 እ.ኤ.አ.	669年
792 እ.ኤ.አ.	792年
649 እ.ኤ.አ.	649年
895 እ.ኤ.አ.	895年
756 እ.ኤ.አ.	756年
663 እ.ኤ.አ.	663年
779 እ.ኤ.አ.	779年
662 እ.ኤ.አ.	662年
684 እ.ኤ.አ.	684年
773 እ.ኤ.አ.	773年
757 እ.ኤ.አ.	757年
435 እ.ኤ.አ.	435年
790 እ.ኤ.አ.	790年
437 እ.ኤ.አ.	437年
433 እ.ኤ.አ.	433年
764 እ.ኤ.አ.	764年
426 እ.ኤ.አ.	426年
781 እ.ኤ.አ.	781年
425 እ.ኤ.አ.	425年
429 እ.ኤ.አ.	429年
423 እ.ኤ.አ.	423年
765 እ.ኤ.አ.	765年
235 እ.ኤ.አ.	235年
233 እ.ኤ.አ.	233年
223 እ.ኤ.አ.	223年
224 እ.ኤ.አ.	224年
216 እ.ኤ.አ.	216年
219 እ.ኤ.አ.	219年
254 እ.ኤ.አ.	254年
272 እ.ኤ.አ.	272年
208 እ.ኤ.አ.	208年
175 እ.ኤ.አ.	175年
170 እ.ኤ.አ.	170年
171 እ.ኤ.አ.	171年
172 እ.ኤ.አ.	172年
58 እ.ኤ.አ.	58年
59 እ.ኤ.አ.	59年
139 እ.ኤ.አ.	139年
114 እ.ኤ.አ.	114年
134 እ.ኤ.አ.	134年
135 እ.ኤ.አ.	135年
179 እ.ኤ.አ.	179年
142 እ.ኤ.አ.	142年
96 እ.ኤ.አ.	96年
181 እ.ኤ.አ.	181年
146 እ.ኤ.አ.	146年
145 እ.ኤ.አ.	145年
183 እ.ኤ.አ.	183年
182 እ.ኤ.አ.	182年
184 እ.ኤ.አ.	184年
324 እ.ኤ.አ.	324年
589 እ.ኤ.አ.	589年
521 እ.ኤ.አ.	521年
92 እ.ኤ.አ.	92年
597 እ.ኤ.አ.	597年
329 እ.ኤ.አ.	329年
ክራካው	クラクフ
133 እ.ኤ.አ.	133年
413 እ.ኤ.አ.	413年
258 እ.ኤ.አ.	258年
259 እ.ኤ.አ.	259年
196 እ.ኤ.አ.	196年
236 እ.ኤ.አ.	236年
789 እ.ኤ.አ.	789年
332 እ.ኤ.አ.	332年
631 እ.ኤ.አ.	631年
487 እ.ኤ.አ.	487年
638 እ.ኤ.አ.	638年
473 እ.ኤ.አ.	473年
176 እ.ኤ.አ.	176年
143 እ.ኤ.አ.	143年
ገብስ ሻይ	麦茶
643 እ.ኤ.አ.	643年
523 እ.ኤ.አ.	523年
215 እ.ኤ.አ.	215年
148 እ.ኤ.አ.	148年
247 እ.ኤ.አ.	247年
424 እ.ኤ.አ.	424年
641 እ.ኤ.አ.	641年
492 እ.ኤ.አ.	492年
639 እ.ኤ.አ.	639年
256 እ.ኤ.አ.	256年
441 እ.ኤ.አ.	441年
131 እ.ኤ.አ.	131年
191 እ.ኤ.አ.	191年
450 እ.ኤ.አ.	450年
612 እ.ኤ.አ.	612年
635 እ.ኤ.አ.	635年
611 እ.ኤ.አ.	611年
534 እ.ኤ.አ.	534年
488 እ.ኤ.አ.	488年
607 እ.ኤ.አ.	607年
524 እ.ኤ.አ.	524年
282 እ.ኤ.አ.	282年
472 እ.ኤ.አ.	472年
471 እ.ኤ.አ.	471年
490 እ.ኤ.አ.	490年
316 እ.ኤ.አ.	316年
797 እ.ኤ.አ.	797年
511 እ.ኤ.አ.	511年
295 እ.ኤ.አ.	295年
598 እ.ኤ.አ.	598年
አረቢያ	アラビア半島
303 እ.ኤ.አ.	303年
250 እ.ኤ.አ.	250年
515 እ.ኤ.አ.	515年
512 እ.ኤ.አ.	512年
418 እ.ኤ.አ.	418年
333 እ.ኤ.አ.	333年
294 እ.ኤ.አ.	294年
የአነባብሮ እርግጥ	重ね合わせの原理 (電気回路)
217 እ.ኤ.አ.	217年
277 እ.ኤ.አ.	277年
578 እ.ኤ.አ.	578年
312 እ.ኤ.አ.	312年
284 እ.ኤ.አ.	284年
283 እ.ኤ.አ.	283年
241 እ.ኤ.አ.	241年
243 እ.ኤ.አ.	243年
262 እ.ኤ.አ.	262年
498 እ.ኤ.አ.	498年
336 እ.ኤ.አ.	336年
334 እ.ኤ.አ.	334年
266 እ.ኤ.አ.	266年
261 እ.ኤ.አ.	261年
470 እ.ኤ.አ.	470年
349 እ.ኤ.አ.	349年
271 እ.ኤ.አ.	271年
275 እ.ኤ.አ.	275年
292 እ.ኤ.አ.	292年
296 እ.ኤ.አ.	296年
345 እ.ኤ.አ.	345年
431 እ.ኤ.አ.	431年
304 እ.ኤ.አ.	304年
550 እ.ኤ.አ.	550年
586 እ.ኤ.አ.	586年
588 እ.ኤ.አ.	588年
554 እ.ኤ.አ.	554年
229 እ.ኤ.አ.	229年
583 እ.ኤ.አ.	583年
265 እ.ኤ.አ.	265年
263 እ.ኤ.አ.	263年
585 እ.ኤ.አ.	585年
582 እ.ኤ.አ.	582年
556 እ.ኤ.አ.	556年
420 እ.ኤ.አ.	420年
280 እ.ኤ.አ.	280年
581 እ.ኤ.አ.	581年
558 እ.ኤ.አ.	558年
302 እ.ኤ.አ.	302年
309 እ.ኤ.አ.	309年
353 እ.ኤ.አ.	353年
335 እ.ኤ.አ.	335年
367 እ.ኤ.አ.	367年
344 እ.ኤ.አ.	344年
245 እ.ኤ.አ.	245年
290 እ.ኤ.አ.	290年
449 እ.ኤ.አ.	449年
308 እ.ኤ.አ.	308年
255 እ.ኤ.አ.	255年
439 እ.ኤ.አ.	439年
319 እ.ኤ.አ.	319年
318 እ.ኤ.አ.	318年
299 እ.ኤ.አ.	299年
419 እ.ኤ.አ.	419年
416 እ.ኤ.አ.	416年
338 እ.ኤ.አ.	338年
310 እ.ኤ.አ.	310年
315 እ.ኤ.አ.	315年
359 እ.ኤ.አ.	359年
360 እ.ኤ.አ.	360年
273 እ.ኤ.አ.	273年
286 እ.ኤ.አ.	286年
288 እ.ኤ.አ.	288年
278 እ.ኤ.አ.	278年
455 እ.ኤ.አ.	455年
577 እ.ኤ.አ.	577年
575 እ.ኤ.አ.	575年
482 እ.ኤ.አ.	482年
486 እ.ኤ.አ.	486年
580 እ.ኤ.አ.	580年
567 እ.ኤ.አ.	567年
564 እ.ኤ.አ.	564年
561 እ.ኤ.አ.	561年
328 እ.ኤ.አ.	328年
325 እ.ኤ.አ.	325年
317 እ.ኤ.አ.	317年
574 እ.ኤ.አ.	574年
566 እ.ኤ.አ.	566年
249 እ.ኤ.አ.	249年
348 እ.ኤ.አ.	348年
442 እ.ኤ.አ.	442年
443 እ.ኤ.አ.	443年
267 እ.ኤ.አ.	267年
244 እ.ኤ.አ.	244年
248 እ.ኤ.አ.	248年
343 እ.ኤ.አ.	343年
562 እ.ኤ.አ.	562年
417 እ.ኤ.አ.	417年
268 እ.ኤ.አ.	268年
590 እ.ኤ.አ.	590年
269 እ.ኤ.አ.	269年
ቬኔትኛ	ヴェネト語
499 እ.ኤ.አ.	499年
409 እ.ኤ.አ.	409年
405 እ.ኤ.አ.	405年
406 እ.ኤ.አ.	406年
403 እ.ኤ.አ.	403年
414 እ.ኤ.አ.	414年
ቮሮኛ	ヴォロ語
411 እ.ኤ.አ.	411年
412 እ.ኤ.አ.	412年
560 እ.ኤ.አ.	560年
592 እ.ኤ.አ.	592年
የሜዳ አህያ	シマウマ
276 እ.ኤ.አ.	276年
መስጊድ	モスク
314 እ.ኤ.አ.	314年
323 እ.ኤ.አ.	323年
366 እ.ኤ.አ.	366年
362 እ.ኤ.አ.	362年
545 እ.ኤ.አ.	545年
531 እ.ኤ.አ.	531年
514 እ.ኤ.አ.	514年
513 እ.ኤ.አ.	513年
539 እ.ኤ.አ.	539年
538 እ.ኤ.አ.	538年
519 እ.ኤ.አ.	519年
516 እ.ኤ.አ.	516年
520 እ.ኤ.አ.	520年
522 እ.ኤ.አ.	522年
528 እ.ኤ.አ.	528年
506 እ.ኤ.አ.	506年
526 እ.ኤ.አ.	526年
507 እ.ኤ.አ.	507年
214 እ.ኤ.አ.	214年
213 እ.ኤ.አ.	213年
212 እ.ኤ.አ.	212年
228 እ.ኤ.አ.	228年
227 እ.ኤ.አ.	227年
149 እ.ኤ.አ.	149年
174 እ.ኤ.አ.	174年
189 እ.ኤ.አ.	189年
199 እ.ኤ.አ.	199年
141 እ.ኤ.አ.	141年
132 እ.ኤ.አ.	132年
ኮርሲካኛ	コルシカ語
125 እ.ኤ.አ.	125年
123 እ.ኤ.አ.	123年
147 እ.ኤ.አ.	147年
144 እ.ኤ.አ.	144年
198 እ.ኤ.አ.	198年
178 እ.ኤ.አ.	178年
ቡጊኛ	ブギス語
177 እ.ኤ.አ.	177年
187 እ.ኤ.አ.	187年
195 እ.ኤ.አ.	195年
የአርመኒያ ሰንደቅ ዓላማ	アルメニアの国旗
ባኙማሳን	バニュマス語
186 እ.ኤ.አ.	186年
347 እ.ኤ.አ.	347年
620 እ.ኤ.አ.	620年
624 እ.ኤ.አ.	624年
ኩሻዊ ቋንቋዎች	クシ語派
605 እ.ኤ.አ.	605年
629 እ.ኤ.አ.	629年
616 እ.ኤ.አ.	616年
615 እ.ኤ.አ.	615年
644 እ.ኤ.አ.	644年
646 እ.ኤ.አ.	646年
633 እ.ኤ.አ.	633年
637 እ.ኤ.አ.	637年
436 እ.ኤ.አ.	436年
434 እ.ኤ.አ.	434年
293 እ.ኤ.አ.	293年
427 እ.ኤ.አ.	427年
185 እ.ኤ.አ.	185年
321 እ.ኤ.አ.	321年
327 እ.ኤ.አ.	327年
430 እ.ኤ.አ.	430年
447 እ.ኤ.አ.	447年
569 እ.ኤ.አ.	569年
568 እ.ኤ.አ.	568年
444 እ.ኤ.አ.	444年
ፍሪዩልያን	フリウリ語
796 እ.ኤ.አ.	796年
ንሴት	冪乗
798 እ.ኤ.አ.	798年
793 እ.ኤ.አ.	793年
ጋን ቻይንኛ	カン語
እዤን ደላክሯ	ウジェーヌ・ドラクロワ
685 እ.ኤ.አ.	685年
799 እ.ኤ.አ.	799年
683 እ.ኤ.አ.	683年
274 እ.ኤ.አ.	274年
579 እ.ኤ.አ.	579年
281 እ.ኤ.አ.	281年
306 እ.ኤ.አ.	306年
438 እ.ኤ.አ.	438年
ካሽሚርኛ	カシミール語
297 እ.ኤ.አ.	297年
421 እ.ኤ.አ.	421年
298 እ.ኤ.አ.	298年
351 እ.ኤ.አ.	351年
352 እ.ኤ.አ.	352年
355 እ.ኤ.አ.	355年
95 እ.ኤ.አ.	95年
94 እ.ኤ.አ.	94年
594 እ.ኤ.አ.	594年
542 እ.ኤ.አ.	542年
448 እ.ኤ.አ.	448年
445 እ.ኤ.አ.	445年
305 እ.ኤ.አ.	305年
234 እ.ኤ.አ.	234年
565 እ.ኤ.አ.	565年
ጊላኪኛ	ギラキ語
ካነዳኛ	カンナダ語
381 እ.ኤ.አ.	381年
385 እ.ኤ.አ.	385年
ካሹብኛ	カシューブ語
ናይሎ ሳህራዊ ቋንቋዎች	ナイル・サハラ語族
553 እ.ኤ.አ.	553年
307 እ.ኤ.አ.	307年
584 እ.ኤ.አ.	584年
346 እ.ኤ.አ.	346年
257 እ.ኤ.አ.	257年
መብረቅ	雷
285 እ.ኤ.አ.	285年
591 እ.ኤ.አ.	591年
289 እ.ኤ.አ.	289年
በርትራንድ ረስል	バートランド・ラッセル
የኒካራጓ ምልክት ቋንቋ	ニカラグア手話
እጅ	手
ዱ ፉ	杜甫
563 እ.ኤ.አ.	563年
ሲዳሞኛ	シダモ語
252 እ.ኤ.አ.	252年
ናፖሊታንኛ	ナポリ語
595 እ.ኤ.አ.	595年
ኖርማንኛ	ノルマン語
246 እ.ኤ.አ.	246年
ኦሮምኛ	オロモ語
ቴዮዶር ሮዝቬልት	セオドア・ルーズベルト
596 እ.ኤ.አ.	596年
ፓንጋሲናንኛ	パンガシナン語
593 እ.ኤ.አ.	593年
357 እ.ኤ.አ.	357年
573 እ.ኤ.አ.	573年
ቴል አቪቭ	テルアビブ
ስሜን ሳሚኛ	北部サーミ語
ኢሮንኛ	オセット語
ኔፓል ባሳ	ネパール・バサ語
ቫልፓራይሶ	バルパライソ
ኢካሮስ	イーカロス
559 እ.ኤ.አ.	559年
ሴማዊ ቋንቋዎች	セム語派
599 እ.ኤ.አ.	599年
326 እ.ኤ.አ.	326年
341 እ.ኤ.አ.	341年
322 እ.ኤ.አ.	322年
ናስ	青銅
ሆስኒ ሙባረክ	ホスニー・ムバーラク
ወሓካ	オアハカ州
386 እ.ኤ.አ.	386年
ትግርኛ	ティグリニャ語
ፉናፉቲ	フナフティ島
374 እ.ኤ.አ.	374年
380 እ.ኤ.አ.	380年
ቶክ ፒሲን	トク・ピシン
ፓብሎ ኔሩዳ	パブロ・ネルーダ
ዋሎንኛ	ワロン語
የምልክት ቋንቋ	手話
136 እ.ኤ.አ.	136年
ፖርቶፕሪንስ	ポルトープランス
ዊናራይኛ	ワライ語
ዉ ቻይንኛ	呉語
ዉድሮው ዊልሰን	ウッドロウ・ウィルソン
ሳቃኛ	サハ語
ቀርጤስ	クレタ島
ሞሾቭጸ	モショヴツェ
ዩኒቨርስቲ ኦፍ ኦክስፎርድ	オックスフォード大学
ማሕሙድ አሕማዲኔዣድ	マフムード・アフマディーネジャード
ሲዲ	コンパクトディスク
አሌክሳንድር ሶልዠኒጽን	アレクサンドル・ソルジェニーツィン
ሴይንት ህሊና ደሴት	セントヘレナ
382 እ.ኤ.አ.	382年
342 እ.ኤ.አ.	342年
373 እ.ኤ.አ.	373年
372 እ.ኤ.አ.	372年
ኤጊያን ባህር	エーゲ海
አናስታስያ	アナスタシア (歌手)
ኤፍራጥስ ወንዝ	ユーフラテス川
ጄምስ ጋርፊልድ	ジェームズ・ガーフィールド
የሊቢያ ሰንደቅ ዓላማ	リビアの国旗
አስርቱ ቃላት	モーセの十戒
ጆሃንስበርግ	ヨハネスブルグ
1990ዎቹ	1990年代
ጆዋን ሮውሊንግ	J・K・ローリング
ኪንግስተን	キングストン (ジャマイカ)
ግሥላ	ヒョウ
አውራሪስ	サイ
ሶማሊላንድ	ソマリランド
የስልክ መግቢያ	国際電話番号の一覧
ሳንቶ ዶሚንጎ	サントドミンゴ
ቴኪክስኪያክ	テキシキアック
ዩሊሲስ ግራንት	ユリシーズ・グラント
ፓፓያ	パパイア
375 እ.ኤ.አ.	375年
ቤንጃሚን ፍራንክሊን	ベンジャミン・フランクリン
1970ዎቹ	1970年代
ዊሊያም ማኪንሊ	ウィリアム・マッキンリー
ጥቅል ጎመን	キャベツ
የአሜሪካ ፕሬዝዳንቶች ዝርዝር	歴代アメリカ合衆国大統領の一覧
የዋና ከተሞች ዝርዝር	首都の一覧
ዌብሳይት	ウェブサイト
ግሮቨር ክሊቭላንድ	グロバー・クリーブランド
ኩዌት ከተማ	クウェート市
ሄርበርት ሁቨር	ハーバート・フーヴァー
ዋረን ሃርዲንግ	ウォレン・ハーディング
387 እ.ኤ.አ.	387年
ሱመር	シュメール
ኮሎምቦ	コロンボ
መካከለኛ ቢኮልኛ	ビコール語
መስኮት	窓
መዲና	マディーナ
ቼስተር አርተር	チェスター・A・アーサー
ዋሻ	洞窟
አካድኛ	アッカド語
ዋይት ሃውስ	ホワイトハウス
ፖሊስ	警察
ጤግሮስ	チグリス川
ዊልያም ሃወርድ ታፍት	ウィリアム・タフト
ግዕዝ	ゲエズ語
ቤንጃሚን ሀሪሰን	ベンジャミン・ハリソン
ራዘርፎርድ ሄይስ	ラザフォード・ヘイズ
የፈለክ ቋንቋ	地球同語
ባሩክ ስፒኖዛ	バールーフ・デ・スピノザ
ዞራስተር	ザラスシュトラ
ኢንተርሊንግዌ	インターリング
ኦመር ሃያም	ウマル・ハイヤーム
ስፖርት ክለብ ኮሪንቺያንስ ፓውሊስታ	コリンチャンス
ኢንተርሊንጉዋ	インターリングア
ኢሎካኖ	イロカノ語
ሥነ ውበት	美学
ሆ ቺ ሚን	ホー・チ・ミン
ካልቪን ኩሊጅ	カルビン・クーリッジ
ሊጉርኛ	リグリア語
ካፓምፓንጋንኛ	パンパンガ語
ስብስብ	集合
ብርጅታውን	ブリッジタウン
ላዲኖ	ラディーノ語
ሲሊጎ	シーリゴ
ሊንጋላ	リンガラ語
ማላያላም	マラヤーラム語
አሃድ ጨረር	単位ベクトル
አፒያ	アピア
ሴንት ጆንስ፥ አንቲጋ እና ባርቡዳ	セントジョンズ
ሮዞ	ロゾー
ሎዥባን	ロジバン
ሃሙራቢ	ハンムラビ
ሞልዶቭኛ	モルドバ語
የፖለቲካ ጥናት	政治学
ማዖሪ ቋንቋ	マオリ語
ደቡብ ሚንኛ	ビン南語
ፖርት ሞርስቢ	ポートモレスビー
1900ዎቹ	1900年代
ኖቪያል	ノヴィアル
ድረ ገጽ	ウェブページ
በር	扉
አራት ማዕዘን	四角形
ሶራኒኛ	ソラニー
ወላይትኛ	ウォライタ語
ቮላፒውክ	ヴォラピュク
ሚስማር	釘
ንጉሥ ሰሎሞን	ソロモン
ሥላሴ	三位一体
ያሁ	Yahoo!
331 እ.ኤ.አ.	331年
ማሪኡፖል	マリウポリ
365 እ.ኤ.አ.	365年
379 እ.ኤ.አ.	379年
ዴቪድ ሁም	デイヴィッド・ヒューム
የ2006 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	2006 FIFAワールドカップ
ጆን ማይክል ታልበት	ジョン・マイケル・タルボット
ኦቾሎኒ	ラッカセイ
ቶማስ ሆብስ	トマス・ホッブズ
ገበያ	市場
ካምፖራ ሳን ጆቫኒ	カンポラ・サン・ジョヴァンニ
እስስት	カメレオン科
ብሉምፎንቴይን	ブルームフォンテーン
ቲ.ኤስ. ኤልየት	T・S・エリオット
በልጺ	バルツィ
ፖርት ቪላ	ポートビラ
ማቀዝቀዣ	冷蔵庫
ስኳር ድንች	サツマイモ
ያንጎን	ヤンゴン
ኅልውነት	実存主義
አርተር ሾፐናውር	アルトゥル・ショーペンハウアー
አንዤ	アンジェ
ቱርኩ	トゥルク
ሳው ፓውሉ የእግር ኳስ ክለብ	サンパウロFC
ሃብሃብ	スイカ
አበሳሰል	料理
ላብራዶር	ラブラドール・レトリバー
ሱቫ	スバ
ኑኩአሎፋ	ヌクアロファ
በሶብላ	バジリコ
አስዋን ግድብ	アスワン・ハイ・ダム
ትኩሳት	発熱
ፖርት ኦፍ ስፔን	ポートオブスペイン
የእብድ ውሻ በሽታ	狂犬病
ሪቻርድ ፋይንማን	リチャード・P・ファインマン
መጥረቢያ	斧
ቢርኪርካራ	ビルキルカラ
ኧያፍያትላዮኪውትል	エイヤフィヤトラヨークトル
አኮንካጓ	アコンカグア
ደቂቅ ዘ አካላት	微生物
ሱሪ	ズボン
ጡብ	煉瓦
ዊል ስሚዝ	ウィル・スミス
ሞላላ	楕円
መፈንቅል	てこ
መንኮራኩር	宇宙機
ሬዳቫሌ	レダヴァッレ
ማባዛት	乗法
ርብቃ	リベカ
ሎጥ	ロト (聖書)
ታክሎባን	タクロバン
ማይስፔስ	Myspace
ዳማቫንድ	ダマーヴァンド山
ዳግማዊ ኒኮላይ	ニコライ2世
አና ማሪያ ዮፐክ	アナ・マリア・ヨペック
ናንሲ	ナンシー
ሆኒያራ	ホニアラ
ሽንት	尿
ጸሎት	祈り
አሦር	アッシリア
ቀዳማዊ ኃይለ ሥላሴ	ハイレ・セラシエ1世
ካየን	カーン
የባቢሎን ግንብ	バベルの塔
ሲኒማ	映画館
ኖቲንግሃም	ノッティンガム
በጀት	予算
ባስቴር	バセテール
በትረ ሎሚ	グレープフルーツ
ኪንግስታውን	キングスタウン
የሠገራ ትቦ ንጣፍ መድማት ወይመ መቁስል (ሄሞሮይድ)	痔
ዎሌ ሾይንካ	ウォーレ・ショインカ
ስታንፎርድ ዩኒቨርስቲ	スタンフォード大学
ሚሸል ደ ሞንታኝ	ミシェル・ド・モンテーニュ
ጃንጥላ	傘
ፊንቄ	フェニキア
የሕንድ ሰንደቅ ዓላማ	インドの国旗
ዲዮኒሶስ	ディオニューソス
ቶኪዳይደስ	トゥキディデス
ካስትሪስ	カストリーズ
ጥራክያ	トラキア
ዓረፍተ-ነገር	文
ቤርሳቤ	ベエルシェバ
ሮዛ ፓርክስ	ローザ・パークス
የዮሐንስ ራዕይ	ヨハネの黙示録
ስራ	仕事 (物理学)
ቅልጥ አለት	マグマ
ቁጥቋጦ	低木
ኣደንጓሬ	インゲンマメ
ሾጣጣ	円錐
ጥንታዊ እንግሊዝኛ	古英語
ሚካኤል ሾሎኮቭ	ミハイル・ショーロホフ
የፓላንድ ሰንደቅ ዓላማ	ポーランドの国旗
የአሜሪካ ሰንደቅ ዓላማ	アメリカ合衆国の国旗
እርድ	ウコン
ኤምፒ3	MP3
አነር	サーバル
ፓሊኪር	パリキール
ኢቫን ቱርጌኔቭ	イワン・ツルゲーネフ
የጣልያ ሰንደቅ ዓላማ	イタリアの国旗
ግድግዳ	壁
ቤሲክ (BASIC)	BASIC
ኤሌክትሪክ ምህንድስና	電気工学
ሩድ	ロドス島
ቁንደ በርበሬ	コショウ
ኤልብሩስ ተራራ	エルブルス山
ጋላታሳሬይ	ガラタサライSK
ሶፊያ ሮታሩ	ソフィーヤ・ロタール
የጃፓን ሰንደቅ ዓላማ	日本の国旗
ኤለን ጆንሰን ሰርሊፍ	エレン・ジョンソン・サーリーフ
ሩሚ	ジャラール・ウッディーン・ルーミー
ሴት (ጾታ)	メス (動物)
የብሪታንያ ሕንድ ውቅያኖስ ግዛት	イギリス領インド洋地域
ደርቢ	ダービー (イギリス)
አንቶን ቫን ሉዊንሁክ	アントニ・ファン・レーウェンフック
ሀይድሮካርቦን	炭化水素
አፖሎ ፲፩	アポロ11号
ኮሌስትሮል	コレステロール
ሞንቴርሞሶ	モンテエルモーソ
ሙሃመድ ዩኑስ	ムハマド・ユヌス
የዶሮ ጉንፋን	鳥インフルエンザ
ወንድ	オス
ክሮኖስ	クロノス
ኦሊቨር ክሮምዌል	オリバー・クロムウェル
ጂም ሞሪሰን	ジム・モリソン
ማትሪክስ	行列
ሙቀት	熱
ጨረር	空間ベクトル
ታይታኒክ	タイタニック (1997年の映画)
ቦሌ ዓለም አቀፍ ጥያራ ጣቢያ	ボレ国際空港
ተልባ	アマ (植物)
ዘ ዶርስ	ドアーズ
እርሾ	酵母
ሚካኤል	ミカエル
ባህር ዛፍ	ユーカリ
ራውንድ ሜፕል	ラウンドメープル
ጤሪ አንሪ	ティエリ・アンリ
ጆህን ከይል	ジョン・ケイル
የላኦስ ሰንደቅ ዓላማ	ラオスの国旗
ኤሌክትሪክ መስክ	電場
ኤሊ	リクガメ科
የሆላንድ ሰንደቅ ዓላማ	オランダの国旗
መካነቅርስ እስራኤል	イスラエル博物館
ሮበርት ሁክ	ロバート・フック
የኦስትሪያ ሰንደቅ ዓላማ	オーストリアの国旗
የጣት ቀለበት	指輪
ሳይንሳዊ ዘዴ	科学的方法
የ1982 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1982 FIFAワールドカップ
የ1986 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1986 FIFAワールドカップ
የ1978 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1978 FIFAワールドカップ
ዋዝንቢት	コオロギ
ሳጉንቶ	サグント
ኤፌሶን	エフェソス
ናዲን ጎርድመር	ナディン・ゴーディマー
የ2002 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	2002 FIFAワールドカップ
እባን	ミント
339 እ.ኤ.አ.	339年
340 እ.ኤ.አ.	340年
ኔመሕን	ナイメーヘン
354 እ.ኤ.አ.	354年
356 እ.ኤ.አ.	356年
358 እ.ኤ.አ.	358年
ካርሎስ ቬላ	カルロス・ベラ
361 እ.ኤ.አ.	361年
363 እ.ኤ.አ.	363年
364 እ.ኤ.አ.	364年
368 እ.ኤ.አ.	368年
369 እ.ኤ.አ.	369年
370 እ.ኤ.አ.	370年
371 እ.ኤ.አ.	371年
መለጠፊያ:Commonscat	Template:Commonscat
376 እ.ኤ.አ.	376年
377 እ.ኤ.አ.	377年
378 እ.ኤ.አ.	378年
383 እ.ኤ.አ.	383年
384 እ.ኤ.አ.	384年
388 እ.ኤ.አ.	388年
389 እ.ኤ.አ.	389年
390 እ.ኤ.አ.	390年
391 እ.ኤ.አ.	391年
392 እ.ኤ.አ.	392年
393 እ.ኤ.አ.	393年
394 እ.ኤ.አ.	394年
395 እ.ኤ.አ.	395年
396 እ.ኤ.አ.	396年
397 እ.ኤ.አ.	397年
ማጅራት ገትር	髄膜炎
398 እ.ኤ.አ.	398年
399 እ.ኤ.አ.	399年
የጀርመን ሰንደቅ ዓላማ	ドイツの国旗
ፆታ	ジェンダー
ባላ	放物線
ማርቲን ሄድጋ	マルティン・ハイデッガー
ዴቪድ ሊቪንግስተን	デイヴィッド・リヴィングストン
በከራ	滑車
የአልባኒያ ሰንደቅ ዓላማ	アルバニアの国旗
የ1930 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1930 FIFAワールドカップ
ልብስ ስፌት መኪና	ミシン
Þ	Þ
279 እ.ኤ.አ.	279年
440 እ.ኤ.አ.	440年
517 እ.ኤ.አ.	517年
572 እ.ኤ.አ.	572年
ጉዞ (ቱሪዝም)	観光
ኖዮን	ノワイヨン
የጋብቻ ሥነ-ስርዓት	結婚式
ዳይር ስትረይትስ	ダイアー・ストレイツ
ግብጽኛ	エジプト語
ቀጥተኛ ዝምድና	比例
አናቶሊያ	アナトリア半島
እየሱስ በእስልምና	イスラームにおけるイーサー
ኢቦላ	エボラ出血熱
መለጠፊያ:Taxobox	Template:生物分類表
አበበ ቢቂላ	アベベ・ビキラ
ጓጉንቸር	カエル
ጀኔራል ኤሌክትሪክ	ゼネラル・エレクトリック
መደብ:አስቂኝ ፊልሞች	Category:コメディ映画
መደብ:ፊልሞች	Category:映画作品
እንቁራሪት	ヒキガエル科
የኤሌክትሪክ እምቅ	電位
ፒተር ኡስቲኖቭ	ピーター・ユスティノフ
