非洲	アフリカ
Nazi Tet-koet	ナチス・ドイツ
Yù-thai-ngìn	ユダヤ人
Chang Fò	鄭和
Chìn-chhèu	晋 (王朝)
Ngí	耳
Phi	鼻
Ngién	目
Mûn-é	カ
Mièn-yòng	ヒツジ
Lo̍k-thò	ラクダ
Phú-nen thung-vu̍t	哺乳類
Siong	ゾウ
Ngie-kûng	アリ
Phûng-é	ハナバチ
Hò-làn-ngî	オランダ語
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	ウォルト・ディズニー・カンパニー
Thot-yong Fu̍t-thông Fu̍t-son	デオキシリボ核酸
Khiô	ナス
Siet	雪
Â-pâ	父親
Fûn	分
Yù-thai Chhṳ-chhṳ-chû	ユダヤ自治州
Ngò-lò-sṳ̂-ngî	ロシア語
Tûng-nàm-â Koet-kâ Lièn-mèn	東南アジア諸国連合
Sakhalin-chû	サハリン州
Mien-pâu	パン
Sṳ-kie Mo-yi Chû-chṳt	世界貿易機関
漢語	中国語
Se-pâu	細胞
Hiet-yi̍t	血液
Hi	肺
Lò-mâ-nì-â-ngî	ルーマニア語
Pó-kâ-li-â-ngî	ブルガリア語
Magadan-chû	マガダン州
Chhṳ-yèn Khô-ho̍k	自然科学
Het-chhe̍t Mìn	黒澤明
Franklin D. Roosevelt	フランクリン・ルーズベルト
Thi-khiù Khô-ho̍k	地球科学
Sa̍k-thèu	岩石
Yùn	雲
Kí-hò-ho̍k	幾何学
Tet-lu-kú-ngî	テルグ語
Thai-hì-chhèn	大気圏
Kak-lû-kit-â-ngî	グルジア語
Kîn-chi-ho̍k	経済学
Pîn-kóng	パンカルピナン
漢字	漢字
Sî-lî-ngì Sṳ-mû	キリル文字
Lâ-tên sṳ-mû	ラテン文字
Vùn-ho̍k	文学
分類:Fap-koet	Category:フランス
分類:Yîm-ngo̍k	Category:音楽
分類:Vùn-ho̍k	Category:文学
Fù-lì	キツネ
La̍p-pá	トランペット
Â-li̍t-sân-thai sâm-sṳ	アレクサンドロス3世
Kiûn-sṳ-thán-tên Yit-sṳ	コンスタンティヌス1世
Set-lû-sṳ thai-ti	キュロス2世
Vùn-mìn	文明
Kau-yuk	教育
Kâ-thìn	家族
Nàm-ngìn	男性
Fûn-yîn	結婚
Kiûn-sṳ	軍事
Kâ-pî	コーヒー
Ngiù-nen	乳
Sûn Chûng-sân	孫文
Â-yuk-vòng	アショーカ王
香港	香港
Thai-yîn Ti-koet	イギリス帝国
Sú-ngì	ソウル特別市
Kâm-nái-thit Koet-chi Kî-chhòng	ジョン・F・ケネディ国際空港
上海	上海市
Lùn-tûn Hî-sṳ̂-lu Kî-chhòng	ロンドン・ヒースロー空港
Lùn-tûn Kak-vet Kî-chhòng	ロンドン・ガトウィック空港
Set-vì-li-â	セビリア
Chhîn-chhèu	清
Â-ngì-pâ-nì-â-ngî	アルバニア語
Pâ-sṳ̂-khiet-ngî	バスク語
Â-lâ-kung-ngî	アラゴン語
Yîn-koet Hòng-khûng	ブリティッシュ・エアウェイズ
Â-mî-nì-â-ngî	アルメニア語
Vû-khiet-làn-ngî	ウクライナ語
Pâ-lùn-sî-â	バレンシア (スペイン)
Shuì-tién-ngî	スウェーデン語
Tan-ma̍k-ngî	デンマーク語
Nò-vî-ngî	ノルウェー語
Kô-thi̍t-fu̍t-lòi-tet Vî-liâm Lòi-pu-nì-tsṳ	ゴットフリート・ライプニッツ
Tshia̍p-khiet-ngî	チェコ語
Sṳ̂-lo̍k-phat-khiet-ngî	スロバキア語
Sṳ̂-lo̍k-vì-nì-â-ngî	スロベニア語
Hiûng-ngà-li-ngî	ハンガリー語
Oi-sâ-nì-â-ngî	エストニア語
Là-thot-vì-â-ngî	ラトビア語
Li̍p-thâu-vón-ngî	リトアニア語
Pha̍k-ngò-lò-sṳ̂-ngî	ベラルーシ語
Kui-mí-thi̍t-lî Mùn-tet-lie̍t-fû	ドミトリ・メンデレーエフ
Ngièn-chṳ́	原子
Lâ-set-fuk	アーネスト・ラザフォード
Hî-lia̍p-ngî	ギリシア語
Oi-ngì-làn-ngî	アイルランド語
Pô-sṳ̂-ngî	ペルシア語
Chûng-kau	宗教
Chêu-sién-ngî	朝鮮語
Chhóng-sṳ-ki	創世記
Kóng-tûng-fa	広東語
Chhut-âi-khi̍p-ki	出エジプト記
Ye̍t-nàm-ngî	ベトナム語
Pó-lò	パウロ
Kô-mièn-ngî	クメール語
Thai-ngî	タイ語
Mâ-lòi-ngî	マレー語
Yin-nì-ngî	インドネシア語
Mùng-kú-ngî	モンゴル語
Hâ-sat-khiet-ngî	カザフ語
Vû-tsṳ̂-phe̍t-khiet-ngî	ウズベク語
Thú-khù-màn-ngî	トルクメン語
Yù-thai-kau	ユダヤ教
Hî-pak-lói-ngî	ヘブライ語
Â-set-pai-kiông-ngî	アゼルバイジャン語
Mâ-khì-tun-ngî	マケドニア語
Set-ngì-vì-â-ngî	セルビア語
Set-ngì-vì-â Khiet-lò-thi-â-ngî	セルビア・クロアチア語
Pô-sṳ-nì-â-ngî	ボスニア語
Kâ-lî-sî-â-ngî	ガリシア語
Vî-ngì-sṳ̂-ngî	ウェールズ語
Sû-kak-làn Koi-ngì-ngî	スコットランド・ゲール語
Siak-khiet-kau	シク教
John Maynard Keynes	ジョン・メイナード・ケインズ
Lufthansa Hòng-khûng	ルフトハンザドイツ航空
Ló-chṳ́	老子
Kôn-chhóng	肝臓
Shìn	腎臓
Thu-é	ウサギ
Sṳ̀n-kîn Ne-thúng	神経系
Sîm-lî-ho̍k	心理学
Sṳt-kâ-mèu-nì	釈迦
Mâ-tên Lu-tet	マルティン・ルター
Yî-kâ	儒教
Thiên-chú-kau	カトリック教会
Tho-kau	道教
Chit-siói	脊髄
Sa̍t	舌
Yî-tshóng	膵臓
Hèu-thèu	喉頭
Fuk-khiet-làn khiùn-tó	フォークランド諸島
Vàng-kak-mo̍k	横隔膜
Lân-mî	虫垂
Elizabeth Ngi-sṳ	エリザベス2世
Thòng-chhèu	唐
John F. Kennedy	ジョン・F・ケネディ
Mìn-chhèu	明
Dwight D. Eisenhower	ドワイト・D・アイゼンハワー
Ronald Reagan	ロナルド・レーガン
Sat-là-kô-sat	サラゴサ
Kîm Tsang-ngit	金正日
Ngièn-su Chû-khì-péu	周期表
Chû-su̍k	イノシシ属
Mariano Rajoy	マリアーノ・ラホイ・ブレイ
Se-khiûn	真正細菌
Phù-thò	ブドウ
Phûng-thòng	蜂蜜
Thông	砂糖
Vòng-theu	ダイズ
Kûng-chhàng-ho̍k	工学
Vùn-fa	文化
Fan-vun	サンスクリット
Sùn-fàn Hì-thúng	循環器
Sôn	酸
Yî-ho̍k	医学
Néu-Yok Sṳ-kie Mo-yi Chûng-sîm	ワールドトレードセンター (ニューヨーク)
Hâ Màn-hâ-tun	ロウアー・マンハッタン
Yàm	塩
分類:Pâ-sî	Category:ブラジル
Màn-hâ-tun	マンハッタン
Ngièn-su	元素
Kâ-suk-thu	加速度
Li̍t	力
Kú	太鼓
Tsṳt-liông	質量
Thien-yáng	映画
Kîm-su̍k	金属
Nùng-ngia̍p	農業
Sâng-yîm	音
Sṳ̀-kiên	時間
Mien-chit	面積
Kûng-kîn	キログラム
Kûng-tshak	メートル
Miéu	秒
Pâu-siuk	トウモロコシ
Kûng-sṳ̂n	リットル
Fà-ngì-kiê	ウォール街
Tûng-nàm-â	東南アジア
Tshùng-khin	重慶市
Thiên-tsîn	天津市
Vú-hon-sṳ	武漢市
Kú Hî-lia̍p	古代ギリシア
Thomas Jefferson	トーマス・ジェファーソン
Vùi-sṳ̂-khà	ウエスカ
Tychy	ティヒ
Pu-lie̍t-thap-nì-ngî	ブルトン語
Brittany	ブルターニュ地域圏
Lóng	ろう者
Chhi̍t-phiang	病気
Khien-không	健康
Sok-lî-â	ソリア
Màn-tó-ngî	マン島語
Chhiâng-môi-su	ペニシリン
Nantes	ナント
Pot-thâm-fó	結核
Mà-chiông	麻雀
模板:Location map Taiwan	Template:Location map Taiwan
Detroit	デトロイト
Van-lî Tshòng-sàng	万里の長城
Gard-sén	ガール県
Gers-sén	ジェール県
Sông Garonne-sén	オート＝ガロンヌ県
Sṳ̀n-sṳn Lò-mâ Ti-koet	神聖ローマ帝国
Ille-et-Vilaine-sén	イル＝エ＝ヴィレーヌ県
Isère-sén	イゼール県
Chûng-kau Kói-kiet	宗教改革
Sông Loire-sén	オート＝ロワール県
Lot-sén	ロット県
Lozère-sén	ロゼール県
Maine-et-Loire-sén	メーヌ＝エ＝ロワール県
Nì-pu-kap-nì-sat ngi-sṳ	ネブカドネザル2世
Mayenne-sén	マイエンヌ県
Morbihan-sén	モルビアン県
Nièvre-sén	ニエーヴル県
Nord-sén	ノール県
Calais Hói-hia̍p-sén	パ＝ド＝カレー県
Puy-de-Dôme-sén	ピュイ＝ド＝ドーム県
Sông Pyrénées-sén	オート＝ピレネー県
Pyrénées-Orientales-sén	ピレネー＝オリアンタル県
Hâ Rhin-sén	バ＝ラン県
Sông Rhin-sén	オー＝ラン県
Saône-et-Loire-sén	ソーヌ＝エ＝ロワール県
Sarthe-sén	サルト県
Sông Savoie-sén	オート＝サヴォワ県
Tarn-sén	タルヌ県
Tarn-et-Garonne-sén	タルヌ＝エ＝ガロンヌ県
Var-sén	ヴァール県
Vaucluse-sén	ヴォクリューズ県
Vendée-sén	ヴァンデ県
Yonne-sén	ヨンヌ県
Yî-pí-li-â Pan-tó	イベリア半島
Lai-kî	レイシ
Yâ-è	ココナッツ
Sa̍k-liù	ザクロ
Chong-fa	チワン語
Sông-sok-pu-ngî	高地ソルブ語
Na̍p-ngá-thi̍t-ngî	ナワトル語
Mí-nàm-kâ-pó-ngî	ミナンカバウ語
Mirandés-ngî	ミランダ語
Harvard Thai-ho̍k	ハーバード大学
Néu-yok Chṳn-khèn Kâu-yi-só	ニューヨーク証券取引所
Lie̍t-yî-tha̍t-sén	リェイダ県
Â-lâ-pak-ngî	アラビア語
Kiú-chiu	九州
Si-koet	四国
O-khiet-ngî	オック語
Nàm-fî Hò-làn-ngî	アフリカーンス語
Lí Mìn-pok	李明博
Lû Vú-hién	盧武鉉
Kâ Mà-chiok	イエスズメ
Kô-thiet	香港MTR
澳門	マカオ
Suhl	ズール
Sâ-thièn-khî	沙田区
Fù Kím-Thàu	胡錦濤
Si̍p Khiûn-phìn	習近平
Chhòng-kiáng-lu̍k	キリン
Phì-âi-mùng-thi̍t-ngî	ピエモンテ語
Thap-là-kô-na̍p	タラゴナ
Provence-Alpes-Côte d'Azur	プロヴァンス＝アルプ＝コート・ダジュール地域圏
Chûng-Wàn-Tshàm／Hiông-Kóng-Tshàm(MTR)	中環駅
Chhṳ̂m-chun-sṳ	深セン市
Kóng-tûng	広東省
Kóng-sî Chong-chhu̍k Chhṳ-chhṳ-khî	広西チワン族自治区
Mô-kài	指輪物語
Hiông-kóng Thai-ho̍k	香港大学
Badajoz	バダホス
Lu̍k-yì-tó-yen	鹿児島県
Kiok	足
Sit-thit	トカゲ
Altenburg	アルテンブルク
Kiên	肩
Midi-Pyrénées	ミディ＝ピレネー地域圏
模板:Link FA	Template:Link FA
Wikipedia:Chhâm-siòng	Wikipedia:井戸端
Fu-mùng-thi̍t	バーモント州
Hiû-sṳ̂-tûn	ヒューストン
Kóng-chiu-sṳ	広州市
Chiông Kie-sa̍k	蒋介石
Vûn Kâ-pó	温家宝
Nàm-kîn-sṳ	南京市
Phiang-yèn	病院
Kông-sû	江蘇省
Chet-kông-sén	浙江省
Thèn Séu-phìn	トウ小平
Pet-phu Calais Hói-hia̍p	ノール＝パ・ド・カレー地域圏
Pays de la Loire	ペイ・ド・ラ・ロワール地域圏
Languedoc-Roussillon	ラングドック＝ルシヨン地域圏
Thiap-sat-lò-nì-kâ	テッサロニキ
西藏自治區	チベット自治区
Hàng-thung Thien-fa	携帯電話
Thò-niâu	ダチョウ
Manchester	マンチェスター
Pu-lû-khiet-lìm	ブルックリン区
Fòng-heu-khî	クイーンズ区
Liùng-yìn-sṳ	龍仁市
Lòng	オオカミ
Mâ-lòi Pan-tó	マレー半島
Sîn-yok Sṳn-kîn	新約聖書
9	9
Zung-gok Thaai-liuk	中国大陸
Het-liùng-kông	黒竜江省
Mâ Yîn-kiú	馬英九
Piên-fò-sṳ	ビエンホア
Hiông-kóng-tó	香港島
Ngà-tsông-sṳ	ニャチャン
Podolsk	ポドリスク
Pô-tô Lì-kok Thu̍k-li̍p-tóng	プエルトリコ独立党
Lì-è	ロバ
Si-chhôn-sén	四川省
Khiu-yok Sṳn-kîn	旧約聖書
Sṳn-tan-chiet	クリスマス
Lò-màn Ngî-chhu̍k	ロマンス諸語
Sâm-kok-hìn	三角形
Steve Jobs	スティーブ・ジョブズ
Yin-Êu Ngî-ne	インド・ヨーロッパ語族
Breinigerberg	ブライニガーベルク
Lo-fú	トラ
Fù-ôn Khà-lo̍k-sṳ̂ Yit-sṳ	フアン・カルロス1世 (スペイン王)
Súi-ngièn-sṳ	水原市
Sâm-sên Si̍p-thòn	サムスングループ
Thai-thièn Kóng-vet-sṳ	大田広域市
Kîn-ki-tho	京畿道
Sṳ̂-khâm-tit-nâ-vì-â	スカンディナヴィア
Fu̍k-fa̍t-chiet	復活祭
Thien-nó Khô-ho̍k	計算機科学
Koet-chi Yîm-phiêu	国際音声記号
Hò-pet	河北省
Phú-lìm-sṳ̂-tun Thai-ho̍k	プリンストン大学
Fôn-hìn-muk	コウノトリ目
Chhṳ̀n Súi-pién	陳水扁
台灣	台湾
Chṳ-fi-hîn Sú-kî	スマートフォン
Sa̍k-yù	石油
Hài-è	靴
Ngiùn-hòng	銀行
Ngièn-lun Chhṳ-yù	表現の自由
Oi-ngì-làn	アイルランド島
Cheshire	チェシャー
Cumbria	カンブリア (イングランド)
Lancashire	ランカシャー
Northumberland	ノーサンバーランド (イングランド)
Tyne and Wear	タイン・アンド・ウィア
County Durham	ダラム (カウンティ)
Pet Yorkshire	ノース・ヨークシャー
Lincolnshire	リンカンシャー
Nottinghamshire	ノッティンガムシャー
Derbyshire	ダービーシャー
Merseyside	マージーサイド
Leicestershire	レスターシャー
Rutland	ラトランド
Lû-sùn	魯迅
Northamptonshire	ノーサンプトンシャー
Devon	デヴォン
Oxfordshire	オックスフォードシャー
Wiltshire	ウィルトシャー
Hampshire	ハンプシャー
Buckinghamshire	バッキンガムシャー
Surrey	サリー (イングランド)
West Sussex	ウェスト・サセックス
East Sussex	イースト・サセックス
Kent	ケント (イングランド)
Thai Lùn-tûn	グレーター・ロンドン
7	7
8	8
Lu̍k-é	シカ
Pên	氷
Chú ke Khì-tó-vùn	主の祈り
Ngìn-lui-ho̍k	人類学
Fùng-hói	紅海
Oi-tên-páu	エディンバラ
Pha̍k-set	白
Marseille	マルセイユ
Thai-chhûng-thèu	タマネギ
6	6
Kôn-fông ngî-ngièn	公用語
Kháu-kú-ho̍k	考古学
George H. W. Bush	ジョージ・H・W・ブッシュ
Pâ-ngì-kòn pan-tó	バルカン半島
Dmitry Medvedev	ドミートリー・メドヴェージェフ
Entrena	エントレナ
Sîn-kau	プロテスタント
Selena	セレナ (歌手)
Mî-koet Thai-khûng Chúng-shu	アメリカ航空宇宙局
Thai Put-lie̍t-tiên-tó	グレートブリテン島
Pâ-le̍t-sṳ̂-thán	パレスチナ
10	10
Lila Downs	リラ・ダウンズ
Lia̍p-pau	チーター
Liverpool	リヴァプール
Bremen	ブレーメン
Sîn Nò-vî-ngî	ニーノシュク
Meu-thèu-tiâu	フクロウ目
Sṳ̀	時間 (単位)
Fap-lò-ngî	フェロー語
Kîm-eu-sṳ	カマウ
Meu-khô	ネコ科
Koet-chi Thai-khûng Chhàm	国際宇宙ステーション
Tà-la-sṳ	ダラット
Tat-tat-ngî	タタール語
Tshûng-liông	重さ
Tsûng-su	ナツメヤシ
Fan-tshiet-sṳ	ファンティエット
Sî Fut-lî-sî-ngî	フリジア語
Séu Vòng-chṳ́	星の王子さま
Phiàng-fông kûng-tshak	平方メートル
Fó-yam-chhùng	ホタル
Li̍p-fông kûng-tshak	立方メートル
Fàn-chiet-thûng-vu̍t-mùn	環形動物
Chhú-khô	ネズミ科
Lû-sêm-nì-â-ngî	ルシン語
Ede (Hò-làn)	エーデ
Sông-ngia̍p	商業
Fú-kîn	シャチ
Sâ-thi̍t-fut-lî-sî-ngî	東フリジア語
Liû-khiù-koet	琉球王国
Pet-fut-lî-sî-â-ngî	北フリジア語
Â-mê-ha̍p-lâ-ngî	アムハラ語
蝠婆	コウモリ
Tarnobrzeg	タルノブジェク
Vòng Ti	黄帝
Tiau-ǹg-thòi Lie̍t-yí	尖閣諸島
Khiung-fò-tóng (Mî-koet)	共和党 (アメリカ)
Â-sṳ̂-thù-lî-â-sṳ̂-ngî	アストゥリアス語
中國	中国
O-thi-li Pâ-vî-li-â-ngî	バイエルン・オーストリア語
Mìn-chú-tóng (Mî-koet)	民主党 (アメリカ)
Tsuk-pet-sṳ	竹北市
Sàng-tû-sṳ	成都市
Âi-sṳ̂-thi̍t-lùi-mâ-thu-lâ-ngî	エストレマドゥーラ語
Sàng-fà-khî	成華区
Séu-su mìn-chhu̍k	社会的少数者
Pô-lòi-kú	プレイク
Â-ha̍p-sṳ̂-vòng	アハズ
Chûng-chû-sṳ	忠州市
Yî-liàu Ví-sâng	医療
Yòng-suk-yen	陽朔県
Khiet-là-khô-fû	クラクフ
臺灣省	台湾省
Pet-kîn Sú-tû Koet-chi Kî-chhòng	北京首都国際空港
Sîn-kâ-po Hòng-khûng Kûng-sṳ̂	シンガポール航空
Thien-nó Thôn-chhèn Só-mèu	コンピュータ断層撮影
Vî-nî-sṳ̂-ngî	ヴェネト語
Vû-lòi-khî	烏来区
Koet-li̍p Thòi-vân Thai-ho̍k	国立台湾大学
Vì-phú-sêm-ngî	ヴェプス語
Fu̍t-lò-ngî	ヴォロ語
Pân-mâ	シマウマ
Valery Leontiev	ヴァレリー・レオンティエフ
Khô-sî-kâ-ngî	コルシカ語
Buryat-ngî	ブリヤート語
Sùn-tho-chûng	メソジスト
Mông-kiê-sṳ	モンカイ
Suk-vú-ngî	セブアノ語
Chavacano-ngî	チャバカノ語
Chûng-pí-khô-ngì-ngî	中央ビコール語
Tha̍t-lò-phî-thû Ngî-hì	ドラヴィダ語族
Ló-kiê-sṳ	ラオカイ
客家語	客家語
Liòng-sân-sṳ	ランソン
Hiuk-tsin-sṳ	ソクチャン
Liùng-chhôn-sṳ	ロンスエン
Mî-tshiu-sṳ	ミトー
Fut-liù-li-ngî	フリウリ語
Pâng-mî-tsuk	バンメトート
Kàm-ngî	カン語
Pok-vu̍t-kón	博物館
Yin-thu Yî-lóng Ngî-chhu̍k	インド・イラン語派
Thai-yùng-meu	ジャイアントパンダ
Kalmyk-ngî	カルムイク語
Mân-ngî	満州語
Kû-li̍p ngî-ngièn	孤立した言語
Kit-là-kî-ngî	ギラキ語
Khà-sû-pí-ngî	カシューブ語
Karachay-Balkar-ngî	カラチャイ・バルカル語
Maguindanao-ngî	マギンダナオ語
Lùn-pâ-tí-ngî	ロンバルド語
Sú	手
Thu fú	杜甫
Maranao-ngî	マラナオ語
O-lî-â-ngî	オリヤー語
Ngìn-khiéu	人口
Nò-man-thi-ngî	ノルマン語
Pâng-â-sî-nâm-ngî	パンガシナン語
Nèn-phìn-sṳ	ニンビン
Pet-sat-mí-ngî	北部サーミ語
O-set-thôi-ngî	オセット語
Sî-sî-lî-ngî	シチリア語
Sat-tên-nî-â-ngî	サルデーニャ語
Nì-ngá-ngì-ngî	ネパール・バサ語
Valparaíso	バルパライソ
Kóng-ngi-sṳ	クアンガイ
Yên-yèn	俳優
Thap-kâ-lo̍k-ngî	タガログ語
Thùng	青銅
Surigaonon-ngî	スリガオノン語
Tausūg-ngî	タウスグ語
Vlaams-ngî	フラマン語
Fà-liùng-ngî	ワロン語
Sú-ngî	手話
Yî-ngî	四川彝語
Międzyrzec Podlaski	ミェンヅィジェツ・ポドラスキ
Phiêu-chún Chhông-ngî	チベット語
Ngá-shuì-ngá-shuì-ngî	ワライ語
Yì-ku-tshu̍k	ユグル族
N̂g-ngî	呉語
Woodrow Wilson	ウッドロウ・ウィルソン
Fu̍t-sân-sṳ	仏山市
Ngiù-chîn Thai-ho̍k	オックスフォード大学
Sú-tsṳ́	指
Sṳ̍p-thiàu Kie-min	モーセの十戒
Yok-hon-nì-sṳ̂-páu	ヨハネスブルグ
Kî-tuk Kau-fi	教会
Pau-é	ヒョウ
Sîn-kiông	新疆ウイグル自治区
Muk-kôa	パパイア
Pu-lî-sṳ̂-pân	ブリスベン
Â-mî-ngî	アミ語
Vî-liâm Lùn-khìm	ヴィルヘルム・レントゲン
Chû-chhèu	周
Ido-ngî	イド語
Brad Pitt	ブラッド・ピット
Pa̍k-kiûng	ホワイトハウス
Tha̍t-mâ-thai-ngî	ダルマチア語
Tat-tat-chhu̍k	タタール
Thai-fán-sṳ	大阪市
Sên-khiù-ngî	地球同語
Kiam-khiâu Thai-ho̍k	ケンブリッジ大学
Kûng-khín	ヘクタール
Sé-lî	洗礼
Pông-hâ	気管支喘息
Chuk	竹
Hiligaynon-ngî	ヒリガイノン語
Fù Tsṳ-mìn	ホー・チ・ミン
Thièn-piên-fú	ディエンビエンフー
Khûn-sṳ-làn-chû	クイーンズランド州
Ha-liùng-sṳ	ハロン市
Kûi-yìn-sṳ	クイニョン
Mìn-nì-â-pô-li-sṳ̂	ミネアポリス
Li̍t-ka-sṳ	ラックザー
Li-kú-lî-â-ngî	リグリア語
Phô-lò-chû	ボルネオ島
Khà-phién-phién-kâm-ngî	パンパンガ語
Vù-fâ-kó	イチジク
Sun-fa-sṳ	フエ
Tshòng-thu	長さ
Sṳ̂-chhù-chṳ̂-lu	シルクロード
Hói-yòng-sṳ	ハイズオン
Mô-li-ngî	マオリ語
Mên-tûng-ngî	ビン東語
Mên-pet-ngî	ビン北語
Tô-se-pâu sâng-vu̍t	多細胞生物
Mên-nàm-ngî	ビン南語
Tshiên-ngièn	ミレニアム
Ho̍k-miàng	学名
Vì-tô-li-â-chû	ビクトリア州
Chong-chhu̍k	チワン族
Sông-hói-fa	上海語
Pet-kông	バクザン (ベトナム)
Aung San Suu Kyi翁山蘇姬	アウンサンスーチー
Tshèu-chû-fa	潮州語
Yok-hon-fuk-yîm	ヨハネによる福音書
William Vòng-chṳ́	ウィリアム (ケンブリッジ公)
Chhṳ̀n Kóng-sâng	ジャッキー・チェン
12	12
Vok-là-phú-khiet-ngî	ヴォラピュク
Toshiro Mifune	三船敏郎
Kám-lám-su	オリーブ
Só-lò-mùn-vòng	ソロモン
O-khiet-làn	オークランド (ニュージーランド)
Chhṳ̍t-sien	直線
11	11
13	13
Sûn-chṳ́	孫武
Sṳn-lìn	聖霊
Lû-pu-lìm	ルブリン
Thì-thèu	ラッカセイ
100	100
Tshit-thèu	膝
Tô-piên-hìn	多角形
Nàm Chûng-koet Hói	南シナ海
Campora San Giovanni	カンポラ・サン・ジョヴァンニ
Pien-set-liùng	カメレオン科
Bloemfontein	ブルームフォンテーン
Ngiam-set-thí	染色体
O-khiet-làn Vùn-fap Ho̍k-káu	オークランド・グラマー・スクール
Ngióng-kông	ヤンゴン
Ma̍k-tông-lò Kûng-sṳ̂	マクドナルド
1000000	1000000
Meu-miàng-sṳ	茂名市
Liú-chiu-sṳ	柳州市
Pet-pan-khiù	北半球
Ló-chhú	ハツカネズミ属
Thí-tsit	体積
Het-tsṳ̂	ヘルツ
Pak-pân-khiet	バーバンク (カリフォルニア州)
Sien-lia̍p-thí	ミトコンドリア
Yî-sên	医師
Ki-sa̍k-chhṳn	ストーンヘンジ
Chúng-thí Kîn-chi-ho̍k	マクロ経済学
Ágreda	アグレダ
Lu-kâ-fuk-yîm	ルカによる福音書
Sîn Kí-nui-â	ニューギニア島
Sṳ́-thù-hàng-chhon	使徒言行録
Mô-hái	カニ
PH	水素イオン指数
Khì-tó	祈り
Ôn-fui-sén	安徽省
Chûng-chhîn Pet-tho	忠清北道
Chûng-chhîn Nàm-tho	忠清南道
Kông-ngièn-tho (Hôn-koet)	江原道 (南)
Nui Mùng-kú	内モンゴル自治区
Kîm Ngit-sṳ̀n	金日成
Pí-tet-kô-sṳ̍p	ブィドゴシュチュ
Nottingham	ノッティンガム
Thai-ví-vòng	ダビデ
Li-vi-ki	レビ記
Sṳ̂-thán-fuk Thai-ho̍k	スタンフォード大学
Fuk-kian	福建省
Kûng-khiet	グラム
Mùng-kú-tshu̍k	モンゴル系民族
Khí-sṳ-liu̍k	ヨハネの黙示録
Kong-lîn-sṳ	江陵市
Kiê-liùng-sṳ	鶏龍市
Kô-yòng-sṳ	高陽市
Kûng-chû-sṳ	公州市
Kó-chhôn-sṳ	果川市
Kông-mìn-sṳ	光明市
Kóng-chû-sṳ (Hôn-koet)	広州市 (京畿道)
Kiú-lî-sṳ	九里市
Kiûn-phú-sṳ	軍浦市
Kîm-phú-sṳ	金浦市
Nàm-yòng-chû-sṳ	南楊州市
Lun-sân-sṳ	論山市
Thông-chîn-sṳ (Hôn-koet)	唐津市 (忠清南道)
Tûng-theu-chhôn-sṳ	東豆川市
Tûng-hói-sṳ (Hôn-koet)	東海市 (江原道)
Pó-nèn-sṳ	保寧市
Fu-chhôn-sṳ	富川市
Sâm-chit-sṳ	三陟市
Shuì-sân-sṳ	瑞山市
Sàng-nàm-sṳ	城南市
Suk-chhó-sṳ	束草市
Sṳ́-hîn-sṳ	始興市
Ngà-sân-sṳ	牙山市
Ôn-sân-sṳ	安山市
Ôn-sàng-sṳ (Hôn-koet)	安城市 (京畿道)
Ôn-yông-sṳ	安養市
Yòng-chû-sṳ	楊州市
Vû-sân-sṳ	烏山市
Ngièn-chû-sṳ	原州市
Ngi-vòng-sṳ	義王市
Ngi-chṳn-fú-sṳ	議政府市
Li-chhôn-sṳ (Hôn-koet)	利川市 (京畿道)
Thî-chhôn-sṳ	堤川市
Thiên-ôn-sṳ	天安市
Chhîn-chû-sṳ	清州市
Chhûn-chhôn-sṳ	春川市
Thai-pha̍k-sṳ	太白市
Po-chû-sṳ	坡州市
Phìn-tshe̍t-sṳ	平沢市
Phàu-chhôn-sṳ	抱川市
Hò-nàm-sṳ	河南市
Fà-sàng-sṳ	華城市
Buckingham Kiûng	バッキンガム宮殿
Hói-nàm	海南省
Yén-tûng	極東
Ngiên-kiu	研究
Kâm-suk	甘粛省
Pha̍k Se-pâu	白血球
York	ヨーク (イングランド)
Tsiú	肘
Sṳ̂n-min-ki	申命記
Sû-chû-sṳ	蘇州市
Vûn-chû-sṳ	温州市
Windsor Sàng-páu	ウィンザー城
Hòn-chhu̍k	漢民族
Nèn-pô-sṳ	寧波市
Tet-koet-ngìn	ドイツ人
Ko-men	アレルギー
Fù-khì	ヒル (動物)
Kîm-yùng	金融
1000	1000
Mìn-su-ki	民数記
Liu̍k Khiet-vùn	ケビン・ラッド
Ngo̍k-ǹg	クロコダイル科
Yùn-nàm	雲南省
Vû-â	カラス属
Plymouth	プリマス
Sân-tûng	山東省
Pí	腕
Derby-sṳ	ダービー (イギリス)
Thàn-khîn Fa-ha̍p-vu̍t	炭化水素
Hò-nàm	河南省
Montehermoso	モンテエルモーソ
Liâu-nèn	遼寧省
El Cid	エル・シッド
Jim Morrison	ジム・モリソン
Sin-ngi-hiông	信義郷
Kóng-khiéu	港湾
Thòi-vân Thò-yèn Koet-chi Kî-chhòng	台湾桃園国際空港
Kit-lìm	吉林省
Fù-nàm	湖南省
Chhiâng-hói	青海省
Vì-ngâ-ngì-tshu̍k	ウイグル
Rhône-sén	ローヌ県
Koet-kâ Kûng-yèn	国立公園
Pâ-lì Charles-de-Gaulle Koet-chi Kî-chhòng	パリ＝シャルル・ド・ゴール空港
Chṳ̂-sán	資産
