Áfríkà	アフリカ
4457 van Gogh	ファン・ゴッホ (小惑星)
4458 Oizumi	大泉 (小惑星)
4459 Nusamaibashi	幣舞橋 (小惑星)
446 Aeternitas	アエテルニタス (小惑星)
447 Valentine	ヴァレンティーネ (小惑星)
448 Natalie	ナターリエ (小惑星)
4488 Tokitada	時忠 (小惑星)
4492 Debussy	ドビュッシー (小惑星)
4496 Kamimachi	上町 (小惑星)
4498 Shinkoyama	小山伸 (小惑星)
450 Brigitta	ブリギッタ (小惑星)
45 Eugenia	ウジェニア (小惑星)
4511 Rembrandt	レンブラント (小惑星)
451 Patientia	パティエンティア (小惑星)
François Arago	フランソワ・アラゴ
4532 Copland	コープランド (小惑星)
Léopold Sédar Senghor	レオポール・セダール・サンゴール
462 Eriphyla	エリフィラ (小惑星)
463 Lola	ローラ (小惑星)
46610 Besixdouze	B612
467 Laura	ラウラ (小惑星)
469 Argentina	アルゼンチーナ (小惑星)
47 Aglaja	アグラヤ (小惑星)
470 Kilia	キリア (小惑星)
471 Papagena	パパゲーナ (小惑星)
472 Roma	ローマ (小惑星)
473 Nolli	ノーリ (小惑星)
474 Prudentia	プルーデンティア (小惑星)
475 Ocllo	オクリョ (小惑星)
4757 Liselotte	リーゼロッテ (小惑星)
476 Hedwig	ヘドウィグ (小惑星)
477 Italia	イタリア (小惑星)
478 Tergeste	テルゲステ (小惑星)
479 Caprera	カプレーラ (小惑星)
4797 Ako	赤穂 (小惑星)
480 Hansa	ハンザ (小惑星)
48 Doris	ドリス (小惑星)
Anschluss	アンシュルス
Carlos Fuentes	カルロス・フエンテス
481 Emita	エミタ (小惑星)
482 Petrina	ペトリーナ (小惑星)
483 Seppina	セッピナ (小惑星)
484 Pittsburghia	ピッツバーギア (小惑星)
485 Genua	ゲヌア (小惑星)
486 Cremona	クレモナ (小惑星)
487 Venetia	ヴェネチア (小惑星)
4876 Strabo	ストラボ (小惑星)
488 Kreusa	クレウサ (小惑星)
489 Comacina	コマチーナ (小惑星)
49 Pales	パレス (小惑星)
Àsìá ilẹ̀ Sri Lanka	スリランカの国旗
Norman Borlaug	ノーマン・ボーローグ
491 Carina	カリーナ (小惑星)
493 Griseldis	グリセルディス (小惑星)
494 Virtus	ヴィルトゥス (小惑星)
495 Eulalia	オイラリア (小惑星)
4951 Iwamoto	岩本 (小惑星)
Hepatitis C	C型肝炎
497 Iva	イヴァ (小惑星)
4980 Magomaev	マゴマエフ (小惑星)
498 Tokio	東京 (小惑星)
499 Venusia	ヴェヌシア (小惑星)
50 Virginia	ヴァージニア (小惑星)
500 Selinur	ゼリヌール (小惑星)
501 Urhixidur	ウールヒクシドゥール (小惑星)
502 Sigune	ジグネ (小惑星)
Hugo Grotius	フーゴー・グローティウス
503 Evelyn	イヴリン (小惑星)
5036 Tuttle	タットル (小惑星)
504 Cora	コーラ (小惑星)
5048 Moriarty	モリアーティ (小惑星)
5049 Sherlock	シャーロック (小惑星)
505 Cava	カバ (小惑星)
5050 Doctorwatson	ドクター・ワトスン (小惑星)
507 Laodica	ラオディカ (小惑星)
508 Princetonia	プリンストニア (小惑星)
509 Iolanda	イオランダ (小惑星)
510 Mabella	メイベラ (小惑星)
511 Davida	ダビダ (小惑星)
512 Taurinensis	タウリネンシス (小惑星)
513 Centesima	ケンテシマ (小惑星)
514 Armida	アルミーダ (小惑星)
516 Amherstia	アマースティア (小惑星)
517 Edith	イーディス (小惑星)
51823 Rickhusband	リック・ハズバンド (小惑星)
518 Halawe	ハラウェ (小惑星)
51826 Kalpanachawla	カルパナ・チャウラ (小惑星)
51828 Ilanramon	イラン・ラモーン (小惑星)
51829 Williemccool	ウィリー・マッコール (小惑星)
519 Sylvania	シルヴァニア (小惑星)
52 Europa	エウロパ (小惑星)
520 Franziska	フランツィスカ (小惑星)
5214 Oozora	おおぞら (小惑星)
521 Brixia	ブリクシア (小惑星)
522 Helga	ヘルガ (小惑星)
523 Ada	エイダ (小惑星)
5231 Verne	ヴェルヌ (小惑星)
524 Fidelio	フィデリオ (小惑星)
527 Euryanthe	オイリアンテ (小惑星)
528 Rezia	リツィア (小惑星)
National Basketball Association	NBA
529 Preziosa	プレチオーザ (小惑星)
53 Kalypso	カリプソ (小惑星)
530 Turandot	トゥーランドット (小惑星)
532 Herculina	エルクリーナ (小惑星)
533 Sara	セーラ (小惑星)
534 Nassovia	ナソビア (小惑星)
535 Montague	モンタギュー (小惑星)
536 Merapi	メラピ (小惑星)
537 Pauly	パウリ (小惑星)
5374 Hokutosei	北斗星 (小惑星)
538 Friederike	フリーデリーケ (小惑星)
539 Pamina	パミーナ (小惑星)
54 Alexandra	アレクサンドラ (小惑星)
541 Deborah	デボラ (小惑星)
542 Susanna	スザンナ (小惑星)
Charles Brenton Huggins	チャールズ・ハギンズ
543 Charlotte	シャルロッテ (小惑星)
Archibald Hill	アーチボルド・ヒル
Stanley B. Prusiner	スタンリー・B・プルシナー
544 Jetta	イェッタ (小惑星)
Gnassingbé Eyadéma	ニャシンベ・エヤデマ
545 Messalina	メッサリナ (小惑星)
Costas Simitis	コスタス・シミティス
Páúlù ilẹ̀ Gríìsì	パウロス1世 (ギリシャ王)
Heinrich Brüning	ハインリヒ・ブリューニング
546 Herodias	ヘロディアス (小惑星)
Sékou Touré	セク・トゥーレ
547 Praxedis	プラクセディス (小惑星)
Jean-Michel Basquiat	ジャン＝ミシェル・バスキア
5473 Yamanashi	山梨 (小惑星)
Toni Braxton	トニー・ブラクストン
Léon Jouhaux	レオン・ジュオー
Hans Luther	ハンス・ルター
548 Kressida	クレシダ (小惑星)
549 Jessonda	イェソンダ (小惑星)
550 Senta	ゼンタ (小惑星)
551 Ortrud	オルトルート (小惑星)
552 Sigelinde	ジークリンデ (小惑星)
5526 Kenzo	憲蔵 (小惑星)
554 Peraga	ペラーガ (小惑星)
César Milstein	セーサル・ミルスタイン
Eric Kandel	エリック・カンデル
556 Phyllis	フィリス (小惑星)
557 Violetta	ヴィオレッタ (小惑星)
558 Carmen	カルメン (小惑星)
559 Nanon	ナノン (小惑星)
56 Melete	メレテ (小惑星)
560 Delila	デリラ (小惑星)
562 Salome	サロメ (小惑星)
563 Suleika	ズライカ (小惑星)
5632 Ingelehmann	インゲ・レーマン (小惑星)
564 Dudu	ドゥードゥー (小惑星)
565 Marbachia	マールバッヒア (小惑星)
566 Stereoskopia	ステレオスコピア (小惑星)
567 Eleutheria	エレウテリア (小惑星)
568 Cheruskia	ケルスキア (小惑星)
569 Misa	ミサ (小惑星)
570 Kythera	キテラ (小惑星)
57 Mnemosyne	ムネモシュネ (小惑星)
571 Dulcinea	ドゥルシネーア (小惑星)
572 Rebekka	レベッカ (小惑星)
573 Recha	レーハ (小惑星)
574 Reginhild	レギンヒルト (小惑星)
575 Renate	レナーテ (小惑星)
576 Emanuela	エマヌエラ (小惑星)
577 Rhea	レア (小惑星)
578 Happelia	ハペリア (小惑星)
579 Sidonia	シドニア (小惑星)
58 Concordia	コンコルディア (小惑星)
580 Selene	セレーネ (小惑星)
582 Olympia	オリンピア (小惑星)
583 Klotilde	クロチルデ (小惑星)
584 Semiramis	セミラミス (小惑星)
585 Bilkis	ビルキス (小惑星)
586 Thekla	テクラ (小惑星)
587 Hypsipyle	ヒプシピレ (小惑星)
Chris Brown	クリス・ブラウン (歌手)
589 Croatia	クロアチア (小惑星)
5893 Coltrane	コルトレーン (小惑星)
590 Tomyris	トミリス (小惑星)
59 Elpis	エルピス (小惑星)
591 Irmgard	イルムガルト (小惑星)
592 Bathseba	バト・シェバ (小惑星)
5926 Schönfeld	シェーンフェルト (小惑星)
593 Titania	チタニア (小惑星)
594 Mireille	ミレーユ (小惑星)
595 Polyxena	ポリクセナ (小惑星)
596 Scheila	シャイラ (小惑星)
597 Bandusia	バンドゥーシア (小惑星)
Igor Tamm	イゴール・タム
598 Octavia	オクタヴィア (小惑星)
599 Luisa	ルイーザ (小惑星)
Masatoshi Koshiba	小柴昌俊
Hideki Yukawa	湯川秀樹
Louis Néel	ルイ・ネール
6000 United Nations	国際連合 (小惑星)
Dennis Gabor	ガーボル・デーネシュ
Eugene Wigner	ユージン・ウィグナー
601 Nerthus	ネルトゥス (小惑星)
Hans Bethe	ハンス・ベーテ
602 Marianna	マリアンナ (小惑星)
6025 Naotosato	佐藤直人 (小惑星)
603 Timandra	ティマンドラ (小惑星)
604 Tekmessa	テクメッサ (小惑星)
605 Juvisia	ジュヴィジア (小惑星)
Juscelino Kubitschek de Oliveira	ジュセリーノ・クビチェック
606 Brangäne	ブランゲーネ (小惑星)
607 Jenny	イェニー (小惑星)
6075 Zajtsev	ザイツェフ (小惑星)
Chinua Achebe	チヌア・アチェベ
608 Adolfine	アドルフィーネ (小惑星)
609 Fulvia	フルウィア (小惑星)
610 Valeska	ヴァレスカ (小惑星)
61 Danaë	ダナエ (小惑星)
6107 Osterbrock	オスターブロック (小惑星)
611 Valeria	ヴァレリア (小惑星)
612 Veronika	ヴェロニカ (小惑星)
6129 Demokritos	デモクリトス (小惑星)
Mirek Topolánek	ミレク・トポラーネク
613 Ginevra	ギネヴラ (小惑星)
614 Pia	ピア (小惑星)
615 Roswitha	ロスヴィタ (小惑星)
616 Elly	エリー (小惑星)
618 Elfriede	エルフリーデ (小惑星)
619 Triberga	トリベルガ (小惑星)
620 Drakonia	ドラコニア (小惑星)
STS-122	STS-122
622 Esther	エステル (小惑星)
623 Chimaera	キマエラ (小惑星)
Pópù Clement 10k	クレメンス10世 (ローマ教皇)
625 Xenia	クセニア (小惑星)
833 Monica	モニカ (小惑星)
Pópù Clement 9k	クレメンス9世 (ローマ教皇)
626 Notburga	ノートブルガ (小惑星)
627 Charis	カリス (小惑星)
628 Christine	クリスティーネ (小惑星)
629 Bernardina	ベルナルディーナ (小惑星)
Pópù Benedict 13k	ベネディクトゥス13世 (ローマ教皇)
631 Philippina	フィリッピナ (小惑星)
632 Pyrrha	ピュラ (小惑星)
633 Zelima	ツェリーマ (小惑星)
634 Ute	ウーテ (小惑星)
6354 Vangelis	ヴァンゲリス (小惑星)
635 Vundtia	フンティア (小惑星)
636 Erika	エリカ (小惑星)
638 Moira	モイラ (小惑星)
639 Latona	ラトナ (小惑星)
640 Brambilla	ブランビラ (小惑星)
64 Angelina	アンジェリーナ (小惑星)
641 Agnes	アグネス (小惑星)
642 Clara	クララ (小惑星)
643 Scheherezade	シェヘラザード (小惑星)
644 Cosima	コジマ (小惑星)
646 Kastalia	カスタリア (小惑星646番)
648 Pippa	ピッパ (小惑星)
649 Josefa	ヨゼファ (小惑星)
65 Cybele	キュベレー (小惑星)
650 Amalasuntha	アマラスンタ (小惑星)
651 Antikleia	アンティクレイア (小惑星)
652 Jubilatrix	ユビラトリックス (小惑星)
654 Zelinda	ツェリンダ (小惑星)
657 Gunlöd	グンレード (小惑星)
658 Asteria	アステリア (小惑星)
Pierre Bourdieu	ピエール・ブルデュー
Russell Alan Hulse	ラッセル・ハルス
Mẹ̀túsélà	メトシェラ
663 Gerlinde	ゲルリンデ (小惑星)
664 Judith	ユディト (小惑星)
665 Sabine	サビーヌ (小惑星)
J. B. S. Haldane	J・B・S・ホールデン
666 Desdemona	デズデモーナ (小惑星)
667 Denise	デニーゼ (小惑星)
Sarvepalli Radhakrishnan	サルヴパッリー・ラーダークリシュナン
668 Dora	ドーラ (小惑星)
669 Kypria	キプリア (小惑星)
670 Ottegebe	オッテゲーベ (小惑星)
671 Carnegia	カーネギア (小惑星)
672 Astarte	アスタルテ (小惑星)
674 Rachele	ラケーレ (小惑星)
677 Aaltje	アールチェ (小惑星)
678 Fredegundis	フレデグンディス (小惑星)
679 Pax	パクス (小惑星)
680 Genoveva	ゲノフェーファ (小惑星)
68 Leto	レト (小惑星)
682 Hagar	ハガル (小惑星)
681 Gorgo	ゴルゴ (小惑星)
683 Lanzia	ランツィア (小惑星)
Hugo Theorell	ヒューゴ・テオレル
Corneille Heymans	コルネイユ・ハイマンス
684 Hildburg	ヒルドブルク (小惑星)
6859 Datemasamune	伊達政宗 (小惑星)
William Howard Stein	ウィリアム・スタイン
686 Gersuind	ゲルスイント (小惑星)
687 Tinette	ティネット (小惑星)
Georgios Papadopoulos	ゲオルギオス・パパドプロス
688 Melanie	メラニー (小惑星)
Pierre Mauroy	ピエール・モーロワ
69 Hesperia	ヘスペリア (小惑星)
691 Lehigh	リーハイ (小惑星)
693 Zerbinetta	ツェルビネッタ (小惑星)
694 Ekard	エカルド (小惑星)
695 Bella	ベラ (小惑星)
697 Galilea	ガリレア (小惑星)
6977 Jaucourt	ジョクール (小惑星)
698 Ernestina	エルネスティナ (小惑星)
699 Hela	ヘラ (小惑星699番)
70 Panopaea	パノパエア (小惑星)
7000 Curie	キュリー (小惑星)
701 Oriola	オリオーラ (小惑星)
702 Alauda	アラウダ (小惑星)
703 Noëmi	ノエミ (小惑星)
704 Interamnia	インテラムニア (小惑星)
705 Erminia	エルミニア (小惑星)
706 Hirundo	ヒルンド (小惑星)
707 Steina	シュタイナー (小惑星)
708 Raphaela	ラファエラ (小惑星)
709 Fringilla	フリンギラ (小惑星)
713 Luscinia	ルスキニア (小惑星)
714 Ulula	ウルラ (小惑星)
715 Transvaalia	トランスヴァーリア (小惑星)
716 Berkeley	バークレー (小惑星)
717 Wisibada	ヴィシバダ (小惑星)
718 Erida	エリーダ (小惑星)
720 Bohlinia	ボーリニア (小惑星)
72 Feronia	フェロニア (小惑星)
721 Tabora	タボラ (小惑星)
722 Frieda	フリーダ (小惑星)
723 Hammonia	ハンモニア (小惑星)
724 Hapag	ハパク (小惑星)
725 Amanda	アマンダ (小惑星)
726 Joëlla	ジョエラ (小惑星)
727 Nipponia	ニッポニア (小惑星)
729 Watsonia	ワトソニア (小惑星)
730 Athanasia	アタナシア (小惑星)
Felipe González	フェリペ・ゴンサレス
7317 Cabot	カボット (小惑星)
731 Sorga	ソルガ (小惑星)
Konstantinos Karamanlis	コンスタンディノス・カラマンリス
732 Tjilaki	チラキ (小惑星)
733 Mocia	モッキア (小惑星)
734 Benda	ベンダ (小惑星)
735 Marghanna	マルクハンナ (小惑星)
737 Arequipa	アレキパ (小惑星)
Getúlio Vargas	ジェトゥリオ・ドルネレス・ヴァルガス
738 Alagasta	アラガスタ (小惑星)
739 Mandeville	マンデヴィル (小惑星)
74 Galatea	ガラテア (小惑星)
740 Cantabia	カンタビア (小惑星)
741 Botolphia	ボトルフィア (小惑星)
743 Eugenisis	エウゲニシス (小惑星)
744 Aguntina	アグンティーナ (小惑星)
745 Mauritia	マウリティア (小惑星)
746 Marlu	マールー (小惑星)
748 Simeïsa	シメイザ (小惑星)
7491 Linzerag	リンツァーアーゲー (小惑星)
749 Malzovia	マルゾビア (小惑星)
75 Eurydike	エウリュディケ (小惑星)
750 Oskar	オスカー (小惑星)
Dievs, svētī Latviju!	ラトビアに幸いあれ
751 Faïna	ファイナ (小惑星)
752 Sulamitis	スラミティス (小惑星)
753 Tiflis	ティフリス (小惑星)
7537 Solvay	ソルベー (小惑星)
754 Malabar	マラバル (小惑星)
756 Lilliana	リリアナ (小惑星)
7571 Weisse Rose	ヴァイセ・ローゼ (小惑星)
757 Portlandia	ポートランディア (小惑星)
758 Mancunia	マンクニア (小惑星)
759 Vinifera	ヴィニフェラ (小惑星)
760 Massinga	マシンガー (小惑星)
761 Brendelia	ブレンデリア (小惑星)
762 Pulcova	プルコヴァ (小惑星)
764 Gedania	ゲダニア (小惑星)
765 Mattiaca	マッティアカ (小惑星)
766 Moguntia	モグンティア (小惑星)
768 Struveana	シュトルーヴィーナ (小惑星)
769 Tatjana	タチヤーナ (小惑星)
770 Bali	バリ (小惑星)
77 Frigga	フリガ (小惑星)
771 Libera	リベラ (小惑星)
772 Tanete	タネテ (小惑星)
773 Irmintraud	イーミントラウト (小惑星)
774 Armor	アルモル (小惑星)
775 Lumière	リュミエール (小惑星)
776 Berbericia	ベルベリキア (小惑星)
777 Gutemberga	グーテンベルガ (小惑星)
778 Theobalda	テオバルダ (小惑星)
779 Nina	ニーナ (小惑星)
Emperor Taishō	大正天皇
780 Armenia	アルメニア (小惑星)
781 Kartvelia	カルトヴェリア (小惑星)
782 Montefiore	モンテフィオーレ (小惑星)
783 Nora	ノラ (小惑星)
784 Pickeringia	ピッカリンギア (小惑星)
785 Zwetana	ツヴェタナ (小惑星)
786 Bredichina	ブレディキナ (小惑星)
787 Moskva	モスクワ (小惑星)
788 Hohensteina	ホーヘンシュタイナ (小惑星)
789 Lena	レナ (小惑星)
7902 Hanff	ハンフ (小惑星)
7903 Albinoni	アルビノーニ (小惑星)
791 Ani	アニ (小惑星)
793 Arizona	アリゾナ (小惑星)
794 Irenaea	イレナエア (小惑星)
795 Fini	フィーニ (小惑星)
796 Sarita	サリタ (小惑星)
797 Montana	モンタナ (小惑星)
798 Ruth	ルツ (小惑星)
799 Gudula	グードゥラ (小惑星)
801 Helwerthia	ヘルヴェルティア (小惑星)
803 Picka	ピッカ (小惑星)
804 Hispania	イスパニア (小惑星)
805 Hormuthia	ホルムーティア (小惑星)
807 Ceraskia	ツェラスキア (小惑星)
806 Gyldenia	ギルデニア (小惑星)
808 Merxia	メルクシア (小惑星)
809 Lundia	ルンディア (小惑星)
William Cavendish-Bentinck, 3rd Duke of Portland	ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵)
Ryōji Noyori	野依良治
Odd Hassel	オッド・ハッセル
811 Nauheima	ナウハイマ (小惑星)
Kary Mullis	キャリー・マリス
813 Baumeia	バウマイア (小惑星)
814 Tauris	タウリス (小惑星)
Robert Aumann	ロバート・オーマン
Artturi Ilmari Virtanen	アルトゥーリ・ヴィルタネン
815 Coppelia	コッペリア (小惑星)
816 Juliana	ユリアナ (小惑星)
Alexander R. Todd, Baron Todd	アレクサンダー・トッド
Michael Spence	マイケル・スペンス
Harry Kroto	ハロルド・クロトー
818 Kapteynia	カプタイニア (小惑星)
Merton Miller	マートン・ミラー
819 Barnardiana	バーナーディアナ (小惑星)
John Russell, 1st Earl Russell	ジョン・ラッセル (初代ラッセル伯爵)
Leonid Hurwicz	レオニード・ハーヴィッツ
82 Alkmene	アルクメネ (小惑星)
820 Adriana	アドリアナ (小惑星)
Robert Solow	ロバート・ソロー
821 Fanny	ファニー (小惑星)
822 Lalage	ララージュ (小惑星)
824 Anastasia	アナスタシア (小惑星)
826 Henrika	ヘンリカ (小惑星)
828 Lindemannia	リンデマニア (小惑星)
829 Academia	アカデミア (小惑星)
830 Petropolitana	ペトロポリターナ (小惑星)
François Guizot	フランソワ・ピエール・ギヨーム・ギゾー
832 Karin	カリン (小惑星)
834 Burnhamia	バーナミア (小惑星)
835 Olivia	オリヴィア (小惑星)
836 Jole	ヨーレ (小惑星)
837 Schwarzschilda	シュヴァルツシルダ (小惑星)
838 Seraphina	セラフィナ (小惑星)
84 Klio	クリオ (小惑星)
840 Zenobia	ゼノビア (小惑星)
Golden State Warriors	ゴールデンステート・ウォリアーズ
843 Nicolaia	ニコライア (小惑星)
844 Leontina	レオンティーナ (小惑星)
845 Naëma	ナエマ (小惑星)
847 Agnia	アグニア (小惑星)
850 Altona	アルトナ (小惑星)
85 Io	イオ (小惑星)
852 Wladilena	ウラジレーナ (小惑星)
8524 Paoloruffini	パオロ・ルフィニ (小惑星)
853 Nansenia	ナンセニア (小惑星)
854 Frostia	フロスティア (小惑星)
855 Newcombia	ニューカミア (小惑星)
856 Backlunda	バックルンダ (小惑星)
857 Glasenappia	グラセナッピア (小惑星)
858 El Djezaïr	エル・ジェザイール (小惑星)
859 Bouzaréah	ブーザレアー (小惑星)
86 Semele	セメレ (小惑星)
860 Ursina	ウルジーナ (小惑星)
861 Aïda	アイーダ (小惑星)
862 Franzia	フランツィア (小惑星)
863 Benkoela	ベンクーラ (小惑星)
865 Zubaida	ツバイーダ (小惑星)
866 Fatme	ファトメ (小惑星)
867 Kovacia	コヴァキア (小惑星)
868 Lova	ローヴァ (小惑星)
869 Mellena	メレーナ (小惑星)
870 Manto	マント (小惑星)
871 Amneris	アムネリス (小惑星)
872 Holda	ホールダ (小惑星)
873 Mechthild	メヒティルト (小惑星)
874 Rotraut	ロートラウト (小惑星)
875 Nymphe	ニンフェ (小惑星)
876 Scott	スコット (小惑星)
877 Walküre	ワルキューレ (小惑星)
879 Ricarda	リカルダ (小惑星)
880 Herba	ヘルバ (小惑星)
881 Athene	アテネ (小惑星)
882 Swetlana	スヴェトラーナ (小惑星)
888 Parysatis	パリサティス (小惑星)
887 Alinda	アリンダ (小惑星)
889 Erynia	エリニア (小惑星)
89 Julia	ジュリア (小惑星)
Mairead Maguire	マイレッド・コリガン・マグワイア
890 Waltraut	ヴァルトラウト (小惑星)
8900 AAVSO	AAVSO (小惑星)
891 Gunhild	グンヒルト (小惑星)
892 Seeligeria	ゼーリゲリア (小惑星)
893 Leopoldina	レオポルディナ (小惑星)
894 Erda	エルダ (小惑星)
Betty Williams	ベティ・ウィリアムズ
895 Helio	ヘリオ (小惑星)
896 Sphinx	スフィンクス (小惑星)
Jaroslav Heyrovský	ヤロスラフ・ヘイロフスキー
897 Lysistrata	リシストラタ (小惑星)
898 Hildegard	ヒルデガルト (小惑星)
899 Jokaste	ヨーカステ (小惑星)
900 Rosalinde	ロザリンデ (小惑星)
9000 Hal	HAL (小惑星)
9007 James Bond	ジェームズ・ボンド (小惑星)
902 Probitas	プロビタス (小惑星)
903 Nealley	ニーリー (小惑星)
904 Rockefellia	ロックフェリア (小惑星)
906 Repsolda	レプソルダ (小惑星)
907 Rhoda	ローダ (小惑星)
9079 Gesner	ゲスナー (小惑星)
908 Buda	ブダ (小惑星)
909 Ulla	ウラ (小惑星)
9097 Davidschlag	ダヴィドシュラーク (小惑星)
910 Anneliese	アンネリーゼ (小惑星)
9119 Georgpeuerbach	ゲオルク・プールバッハ (小惑星)
912 Maritima	メリティマ (小惑星)
Thutmose 3k	トトメス3世
Seti 1k	セティ1世
Thutmose 1k	トトメス1世
Amenhotep 1k	アメンホテプ1世
914 Palisana	パリサナ (小惑星)
Thutmose 4k	トトメス4世
916 America	アメリカ (小惑星)
917 Lyka	リュカ (小惑星)
Horemheb	ホルエムヘブ
918 Itha	イタ (小惑星)
Oj, svijetla majska zoro	五月の夜明け
919 Ilsebill	イルゼビル (小惑星)
Smenkhkare	スメンクカーラー
920 Rogeria	ロゲリア (小惑星)
921 Jovita	ヨヴィータ (小惑星)
922 Schlutia	シュルーティア (小惑星)
923 Herluga	ヘルルーガ (小惑星)
Thutmose 2k	トトメス2世
924 Toni	トーニ (小惑星)
925 Alphonsina	アルフォンシーナ (小惑星)
Merneptah	メルエンプタハ
926 Imhilde	イムヒルデ (小惑星)
927 Ratisbona	ラティスボナ (小惑星)
Amenhotep 2k	アメンホテプ2世
928 Hildrun	ヒルドルン (小惑星)
W. E. B. Du Bois	W・E・B・デュボイス
930 Westphalia	ウェストファリア (小惑星)
931 Whittemora	ホイットモーラ (小惑星)
932 Hooveria	フーヴェリア (小惑星)
934 Thüringia	テューリンギア (小惑星)
940 Kordula	コールドゥーラ (小惑星)
941 Murray	マレー (小惑星)
942 Romilda	ロミルダ (小惑星)
943 Begonia	ベゴニア (小惑星)
944 Hidalgo	イダルゴ (小惑星)
945 Barcelona	バルセロナ (小惑星)
947 Monterosa	モンテ・ローザ (小惑星)
948 Jucunda	ユークンダ (小惑星)
949 Hel	ヘル (小惑星)
95 Arethusa	アレトゥーサ (小惑星)
950 Ahrensa	アーレンザ (小惑星)
952 Caia	ツァイア (小惑星)
953 Painleva	パンルヴァ (小惑星)
955 Alstede	アルステーデ (小惑星)
956 Elisa	エリザ (小惑星)
9561 van Eyck	ファン・エイク (小惑星)
957 Camelia	カメリア (小惑星)
96 Aegle	アエグレ (小惑星)
961 Gunnie	グニー (小惑星)
9626 Stanley	スタンリー (小惑星)
962 Aslög	アスレーク (小惑星)
964 Subamara	スバマラ (小惑星)
965 Angelica	アンゲリカ (小惑星)
966 Muschi	ムシー (小惑星)
968 Petunia	ペチュニア (小惑星)
969 Leocadia	レオカディア (小惑星)
970 Primula	プリムラ (小惑星)
973 Aralia	アラリア (小惑星)
972 Cohnia	コーニア (小惑星)
974 Lioba	リオバ (小惑星)
975 Perseverantia	ペルセヴェランティア (小惑星)
976 Benjamina	ベンジャミーナ (小惑星)
977 Philippa	フィリッパ (小惑星)
978 Aidamina	アイダミナ (小惑星)
979 Ilsewa	イルゼヴァ (小惑星)
9793 Torvalds	トーバルズ (小惑星)
98 Ianthe	イアンテ (小惑星)
980 Anacostia	アナコスティア (小惑星)
982 Franklina	フランクリーナ (小惑星)
983 Gunila	グーニラ (小惑星)
984 Gretia	グレーティア (小惑星)
985 Rosina	ロジーナ (小惑星)
986 Amelia	アメリア (小惑星)
987 Wallia	ヴァーリア (小惑星)
Eugene Cernan	ユージン・サーナン
989 Schwassmannia	シュヴァスマニア (小惑星)
990 Yerkes	ヤーキス (小惑星)
992 Swasey	スウェージー (小惑星)
Cevdet Sunay	ジェヴデト・スナイ
993 Moultona	モールトナ (小惑星)
994 Otthild	オッティールト (小惑星)
995 Sternberga	シュテルンベルガ (小惑星)
9969 Braille	ブライユ (小惑星)
997 Priska	プリスカ (小惑星)
Àsìá ilẹ̀ Guernsey	ガーンジーの旗
Albert Lebrun	アルベール・ルブラン
René Coty	ルネ・コティ
Vincent Auriol	ヴァンサン・オリオール
Patrice de Mac-Mahon, duc de Magenta	パトリス・ド・マクマオン
Georges Pire	ドミニク・ピール
Chulalongkorn	ラーマ5世
Katsura Tarō	桂太郎
Universidade Federal da Bahia	バイーア連邦大学
Jack Collison	ジャック・コリソン
Cemal Gürsel	ジェマル・ギュルセル
Òkun Chukchi	チュクチ海
Ìbu	カビ
Arcadius	アルカディウス
.cs	.cs
Ìnàkí	ヒヒ
Sósíálístì Káríayé	社会主義インターナショナル
Ajman	アジュマーン
Àsìá ilẹ̀ Sòmálí	ソマリアの国旗
Johannes Vilhelm Jensen	ヨハネス・ヴィルヘルム・イェンセン
Hugh Capet	ユーグ・カペー
Jet Li	ジェット・リー
Nathan Söderblom	ナータン・セーデルブロム
John Mott	ジョン・モット
San Antonio Spurs	サンアントニオ・スパーズ
Àsìá ilẹ̀ Nepal	ネパールの国旗
Àsìá ilẹ̀ Mónakò	モナコの国旗
Honorius (emperor)	ホノリウス
Àsìá ilẹ̀ Mòrókò	モロッコの国旗
Àsìá ilẹ̀ Kamẹrúùn	カメルーンの国旗
Atlanta Hawks	アトランタ・ホークス
Ìbejì	双生児
Àsìá ilẹ̀ Sìmbábúè	ジンバブエの国旗
Pópù Pius 3k	ピウス3世 (ローマ教皇)
Hen Wlad Fy Nhadau	我が父祖の土地
Ẹfọ̀n Áfríkà	アフリカスイギュウ
Ẹ̀bùn Booker	ブッカー賞
Pápá Ọkọ̀ Òfurufú Phu Bai	フバイ国際空港
Pópù Alexander 3k	アレクサンデル3世 (ローマ教皇)
Àsìá ilẹ̀ Tajikistan	タジキスタンの国旗
Pópù Honorius 3k	ホノリウス3世 (ローマ教皇)
Àsìá ilẹ̀ Bòtswánà	ボツワナの国旗
Àsìá ilẹ̀ Gúúsù Áfríkà	南アフリカの国旗
Àsìá ilẹ̀ Perú	ペルーの国旗
Àsìá ilẹ̀ New Zealand	ニュージーランドの国旗
Free State	フリーステイト州
.mf	.mf
Àmì ọ̀pá àṣẹ ilẹ̀ Austríà	オーストリアの国章
Edward Kẹrin Ilẹ̀gẹ̀ẹ́sì	エドワード4世 (イングランド王)
Charles 6k ilẹ̀ Fránsì	シャルル6世 (フランス王)
Pópù Callixtus 3k	カリストゥス3世 (ローマ教皇)
Pópù Marcellinus	マルケリヌス (ローマ教皇)
Simple Mail Transfer Protocol	Simple Mail Transfer Protocol
Telnet	Telnet
