Africa	アフリカ
Genusia	ジノーザ
Cryptaleae	グロッターリエ
Latertia	ラテルツァ
Leporanus	レポラーノ
Licyanum	リッツァーノ
Mandurium	マンドゥーリア
Martina (Italia)	マルティーナ・フランカ
Marubium (Apulia)	マルッジョ
Massa Afra	マッサフラ
Mons Iasium	モンテイアージ
Mons Mesula	モンテメーゾラ
Mons Paranus	モンテパラーノ
Motula	モットラ
Palatianellus	パラジャネッロ
Palatianus	パラジャーノ
Pulsanus	プルサーノ
Casalis Rocae	ロッカフォルツァータ
Fanum Sancti Georgii (Apulia)	サン・ジョルジョ・イオーニコ
Fanum Sancti Martialis	サン・マルツァーノ・ディ・サン・ジュゼッペ
Sava	サーヴァ
Statiae	スタッテ
Turricella (Apulia)	トッリチェッラ
Anglarium	アンギアーリ
Abbatia Teudalda	バディーア・テダルダ
Biblena	ビッビエーナ
Castrum Bucinae	ブーチネ
Campus Leonis	カポローナ
Caprisae	カプレーゼ・ミケランジェロ
Castrum Foconianum	カステル・フォコニャーノ
Castrum Sancti Nicolai	カステル・サン・ニッコロ
Castrum Francum Superius	カステルフランコ・ディ・ソプラ
Castillio de Filiis Bocchi	カスティリオーン・フィボッキ
Castillio Florentinus	カスティリオーン・フィオレンティーノ
Caprilia (Tuscia)	カヴリーリア
Chitinianum	キティニャーノ
Clusa (Tuscia)	キウージ・デッラ・ヴェルナ
Civitella Vicecomitatus Vallis Ambrae	チヴィテッラ・イン・ヴァル・ディ・キアーナ
Cortona	コルトーナ
Foianum (Tuscia)	フォイアーノ・デッラ・キアーナ
Laterinus	ラテリーナ
Laurus (Tuscia)	ローロ・チュッフェンナ
Lucinianum	ルチニャーノ
Marcianus (Arretium)	マルチャーノ・デッラ・キアーナ
Mons Sancti Sabini	モンテ・サン・サヴィーノ
Mons Mignarius	モンテミニャーイオ
Mons Ercli	モンテルキ
Mons Varchi	モンテヴァルキ
Ortignanum Castrum Rozoli	オルティニャーノ・ラッジョーロ
Pergina	ペルジネ・ヴァルダルノ
Planities ad Rescum	ピアーン・ディ・スコ
Plebs Sancti Stephani	ピエーヴェ・サント・ステーファノ
Popium	ポッピ
Pratum Vetus	プラトヴェッキオ
Fanum Sancti Ioannis in Altura	サン・ジョヴァンニ・ヴァルダルノ
Burgus Sancti Sepulcri	サンセポルクロ
Sentinum (Tuscia)	セスティーノ
Staia	スティーア
Medioburgum	ミデルブルフ
Subianum	スッビアーノ
Tallia	タッラ
Castrum Sanctae Mariae	テッラヌオーヴァ・ブラッチョリーニ
Habitatio	生息地
Biogeographia	生物地理学
Geographia physica	自然地理学
Aquara Capitis	アックーアリカ・デル・カーポ
Alexanum	アレッサーノ
Aletium	アレーツィオ
Alista	アッリステ
Andranum	アンドラーノ
Aradeum	アラデーオ
Arnesanum	アルネザーノ
Balneolum (Apulia)	バニョーロ・デル・サレント
Botrunum	ボトルーニョ
Calimera	カリメーラ
Campiae (Apulia)	カンピ・サレンティーナ
Cannulae	カンノレ
Caprarica Lycii	カプラーリカ・ディ・レッチェ
Carmianum	カルミアーノ
Carpinianum (Apulia)	カルピニャーノ・サレンティーノ
Caesaranum	カザラーノ
Castra Lupiensia	カストリ・ディ・レッチェ
Castrinianum Graecorum	カストリニャーノ・デ・グレーチ
Castrinianum Sanctae Mariae de Finibus Terrae	カストリニャーノ・デル・カーポ
Castrum Minervae	カストロ (レッチェ県)
Caballinum	カヴァッリーノ
Collispatium	コッレパッソ
Cupertinum	コペルティーノ
Corilianum	コリリアーノ・ドトラント
Corsanum	コルサーノ
Cursium	クルシ
Cutrophianum	クトロフィアーノ
Disum	ディーゾ
Galianum (Apulia)	ガリアーノ・デル・カーポ
Galatina	ガラティーナ
Galatona	ガラトーネ
Gallipolis	ガッリーポリ
Juianellum	ジュッジャネッロ
Jurdinianum	ジュルディニャーノ
Guanianum	グアニャーノ
Lequilae	レークイレ
Liberanum	レヴェラーノ
Licyanellum	リッツァネッロ
Malleae	マーリエ
Marthanum	マルターノ
Martinianum	マルティニャーノ (レッチェ県)
Matinum (Provincia Lupiensis)	マティーノ
Malenduneum	メレンドゥーニョ
Melissanum	メリッサーノ
Melpinianum	メルピニャーノ
Misianum	ミッジャーノ
Minervinum (Apulia)	ミネルヴィーノ・ディ・レッチェ
Montaurunium	モンテローニ・ディ・レッチェ
Mons Sanus Sallentinus	モンテサーノ・サレンティーノ
Morcianum (Apulia)	モルチャーノ・ディ・レウカ
Murus (Apulia)	ムーロ・レッチェーゼ
Neritum	ナルド
Nevianum	ネヴィアーノ
Nociliae	ノチーリア
Fanum Sanctae Mariae de Novis	ノーヴォリ
Hortellae	オルテッレ
Hydruntum	オトラント
Palmaricium	パルマリッジ
Parabita	パラービタ
Patum	パトゥ
Podium Arduum	ポッジャルド
Portus Sasinae	ポルト・チェザーレオ
Praesitium	プレシッチェ
Racleum	ラーカレ
Rufanum	ルッファーノ
Hasina Wajed	シェイク・ハシナ
Casalis Salicis	サリーチェ・サレンティーノ
Salvium	サルヴェ
Fanum Sancti Cassiani (Apulia)	サン・カッシアーノ
Fanum Sancti Caesarii (Apulia)	サン・チェザーリオ・ディ・レッチェ
Fanum Sancti Donati (Apulia)	サン・ドナート・ディ・レッチェ
Fanum Sancti Petri in Lama	サン・ピエトロ・イン・ラーマ
Sanarica	サナーリカ
Rinocallum	サンニコーラ
Fanum Sanctae Caesariae	サンタ・チェザーレア・テルメ
Scorranum	スコッラーノ
Syclum	セクリ
Soleanum	ソリアーノ・カヴール
Soletum	ソレート
Specla Presbyterorum	スペッキア
Sponganum	スポンガーノ
Quintianum (Apulia)	スクインツァーノ
Sternathia	ステルナティーア
Supersanum	スペルサーノ
Suranum (Apulia)	スラーノ
Surbium	スルボ
Trantor	トランター
Taurisanum	タウリザーノ
Tavianum	タヴィアーノ
Tigianum	ティッジャーノ
Treputiae	トレプッツィ
Tricasium	トリカーゼ
Tugliae	トゥーリエ
Uxentum	ウジェント
Ugianum Ecclesiae	ウッジャーノ・ラ・キエーザ
Argelata	アルジェラート
Veliae	ヴェーリエ
Vernulae	ヴェルノレ
Zullinum	ツォッリーノ
Aula (Italia)	アウッラ
Bagnonis	バニョーネ
Casula (Tuscia)	カーゾラ・イン・ルニジャーナ
Comanum (Tuscia)	コマーノ
Filictaria	フィラッティエーラ
Fivisanum	フィヴィッツァーノ
Fosdenovum	フォズディノーヴォ
Liciana	リッチャーナ・ナルディ
Mons Tiniosus	モンティニョーゾ
Munatium	ムラッツォ
Potentiana	ポデンツァーナ
Apua	ポントレーモリ
Tresiana	トレザーナ
Villa Franca (Tuscia)	ヴィッラフランカ・イン・ルニジャーナ
Silva Cerri	ゼーリ
Iron Comitatus (Visconsinia)	アイアン郡 (ウィスコンシン州)
Alexius Stachanov	アレクセイ・スタハノフ
Acceptura	アッチェットゥーラ
Alianum	アリアーノ
Bernauda	ベルナルダ
Calcianum	カルチャーノ
Cirilianum	チリリアーノ
Colobrarium	コロブラーロ
Cracum	クラーコ
Troilia	フェッランディーナ
Garagusium	ガラグーゾ
Gurgulio	ゴルゴリオーネ
Grassanum (Lucania)	グラッサーノ
Cryptulae	グロットレ
Mons Pelusiae	イルシーナ
Categoria:Alkanum	Category:アルカン
Categoria:Alkenum	Category:アルケン
Categoria:Alkinum	Category:アルキン
Milionicum	ミリオーニコ
Mons Albanus (Lucania)	モンタルバーノ・イオーニコ
Mons Caveosus	モンテスカリオーゾ
Bucita	ノーヴァ・シーリ
Olivetum (Lucania)	オリヴェート・ルカーノ
Pisticium	ピスティッチ
Polychorium	ポリコーロ
Pomaricum	ポマーリコ
Rotundella	ロトンデッラ
Salandra	サランドラ (イタリア)
Fanum Sancti Georgii (Lucania)	サン・ジョルジョ・ルカーノ
Fanum Sancti Mauri (Lucania)	サン・マウロ・フォルテ
Scantianum	スカンツァーノ・イオーニコ
Stilianum	スティリアーノ
Tricaricum	トリカーリコ
Tursium	トゥルシ
Favalis Sancti Cataldi	ヴァルシンニ
Universitas Kansiensis	カンザス大学
Spina Longa	ジュデッカ
Murianum	ムラーノ
Boreanum	ブラーノ
Turricellum	トルチェッロ
Wu-Tang Clan	ウータン・クラン
Formula:Taxobox	Template:生物分類表
Apriola	アブリオーラ
Acheruntia	アチェレンツァ
Albanum (Lucania)	アルバーノ・ディ・ルカーニア
Ansia	アンツィ
Armentum	アルメント
Atella (Lucania)	アテッラ
Avilianum (Lucania)	アヴィリアーノ
Balvanum	バルヴァーノ
Bantium	バンツィ
Baragianum	バラジャーノ
Barelium	バリーレ
Basilica Sanctae Mariae Salutis	サンタ・マリア・デッラ・サルーテ聖堂
Abella (Lucania)	ベッラ (ポテンツァ県)
Burgentia	ブリエンツァ
Brundisium de Montanea	ブリンディジ・モンターニャ
Calvellum (Lucania)	カルヴェッロ
Calaura	カルヴェーラ
Campus Maior (Lucania)	カンポマッジョーレ
Cancellaria	カンチェッラーラ
Carboni	カルボーネ
Castrum Grandine	カステルグランデ
Castellucium Inferum	カステッルッチョ・インフェリオーレ
Castellucium Superum	カステッルッチョ・スペリオーレ
Castrum Medianum	カステルメッツァーノ
Castrum Saracenum	カステルサラチェーノ
Castrum Novum (Lucania)	カストロヌオーヴォ・ディ・サンタンドレーア
Cersosimum	チェルソージモ
Clarus Mons (Italia)	キアロモンテ
Corletum (Lucania)	コルレート・ペルティカーラ
Episcopia	エピスコピーア
Fardella	ファルデッラ
Filianum	フィリアーノ
Forentia	フォレンツァ
Franca Villa (Lucania)	フランカヴィッラ・イン・シンニ
Gallicchium	ガッリッキオ
Gentianum (Lucania)	ジェンツァーノ・ディ・ルカーニア
Genestrum	ジネストラ
Grumentum Vetus	グルメント・ノーヴァ
Castrum Perticarii	グアルディア・ペルティカーラ
Nerulus	ラゴネグロ
Latronicum	ラトローニコ
Laurentiana (Lucania)	ラウレンツァーナ
Laurea	ラウリーア
Labellum	ラヴェッロ (ポテンツァ県)
Marathea	マラテーア
Marsicum Novum	マルシコ・ヌオーヴォ
Marsicum Vetus	マルシコヴェーテレ
Marchesium	マスキート
Missanellum	ミッサネッロ
Moliternum	モリテルノ
Mons Milo	モンテミローネ
Mons Murrus	モンテムッロ
Murus (Lucania)	ムーロ・ルカーノ
Nemus Olim	ネーモリ
Noia (Lucania)	ノエーポリ
Oppidum Lucanum	オッピド・ルカーノ
Frumentaria	フォルメンテラ島
Palatium Sancti Gervasii	パラッツォ・サン・ジェルヴァージオ
Paternum (Lucania)	パテルノ
Ebusus	イビサ島
Petrapagana	ペスコパガーノ
Picernum	ピチェルノ
Petragalla	ピエトラガッラ
Minorica	メノルカ島
Petrapertusia	ピエトラペルトーザ
Vineola (Lucania)	ピニョーラ
Rapolla	ラポッラ
Rapo	ラポーネ
Rivus Niger (Lucania)	リオネーロ・イン・ヴルトゥレ
Ripacandida	リパカンディダ
Rivellum (Lucania)	リヴェッロ
Roccha Nova	ロッカノーヴァ
Rotunda	ロトンダ
Rotum	ルオーティ
Rubi (Lucania)	ルーヴォ・デル・モンテ
Fanum Sancti Quirici	サン・キーリコ・ヌオーヴォ
Fanum Sancti Quirici Rapari	サン・キーリコ・ラパーロ
Fanum Sancti Costantini Albanici	サン・コスタンティーノ・アルバネーゼ
Fanum Sancti Felicis (Lucania)	サン・フェーレ
Fanum Sancti Martini ad Acirem	サン・マルティーノ・ダグリ
Fanum Sancti Pauli Albanici	サン・パオロ・アルバネーゼ
Fanum Sancti Severini (Lucania)	サン・セヴェリーノ・ルカーノ
Fanum Sancti Angeli de Fractis	サンタンジェロ・レ・フラッテ
Fanum Sancti Archangeli (Lucania)	サンタルカンジェロ
Sarconium	サルコーニ
Saxum (Lucania)	サッソ・ディ・カスタルダ
Petrafisia	サトリアーノ・ディ・ルカーニア
Salvia (Lucania)	サヴォイア・ディ・ルカーニア
Senisium	セニーゼ
Spinusium	スピノーゾ
Theana	テアーナ
Terra Nova (Lucania)	テッラノーヴァ・ディ・ポッリーノ
Titus (Italia)	ティート
Tulbium	トルヴェ
Tramutula	トラムートラ
Triclina	トレッキナ
Trivineum	トリヴィーニョ
Balium	ヴァーリオ・バジリカータ
Venusia	ヴェノーザ
Vetrum	ヴィエトリ・ディ・ポテンツァ
Vingianellum	ヴィッジャネッロ
Videianum	ヴィッジャーノ
Chambolle-Musigny	シャンボール＝ミュジニー
Communitas oeconomica Europaea	欧州経済共同体
Ethanum	エタン
Fiscinis	フィクサン
Gevrey-Chambertin	ジュヴレ＝シャンベルタン
Morey-Saint-Denis	モレ＝サン＝ドニ
Xaverius Zanetti	ハビエル・サネッティ
Gustavus VI Adolphus (rex Sueciae)	グスタフ6世アドルフ (スウェーデン王)
Gustavus V (rex Sueciae)	グスタフ5世 (スウェーデン王)
La sombra del viento	風の影
Fridericus Reinfeldt	フレドリック・ラインフェルト
Carolus Bildt	カール・ビルト
Anscharius II (rex Sueciae)	オスカル2世 (スウェーデン王)
Carolus XV (rex Sueciae)	カール15世 (スウェーデン王)
Anscharius I (rex Sueciae)	オスカル1世 (スウェーデン王)
Carolus XIV (rex Sueciae)	カール14世ヨハン (スウェーデン王)
Carolus XIII (rex Sueciae)	カール13世 (スウェーデン王)
Gustavus IV Adolphus (rex Sueciae)	グスタフ4世アドルフ (スウェーデン王)
Gustavus III (rex Sueciae)	グスタフ3世 (スウェーデン王)
Adolphus Fridericus (rex Sueciae)	アドルフ・フレドリク (スウェーデン王)
Fridericus I (rex Sueciae)	フレドリク1世 (スウェーデン王)
Ulrica Eleonora (regina Sueciae)	ウルリカ・エレオノーラ (スウェーデン女王)
Carolus XII (rex Sueciae)	カール12世 (スウェーデン王)
Carolus XI (rex Sueciae)	カール11世 (スウェーデン王)
Carolus X Gustavus (rex Sueciae)	カール10世 (スウェーデン王)
Christina (regina Sueciae)	クリスティーナ (スウェーデン女王)
Gustavus II Adolphus (rex Sueciae)	グスタフ2世アドルフ (スウェーデン王)
Carolus IX (rex Sueciae)	カール9世 (スウェーデン王)
Sigismundus (rex Sueciae)	ジグムント3世
Ioannes III (rex Sueciae)	ヨハン3世 (スウェーデン王)
Ericus XIV (rex Sueciae)	エリク14世 (スウェーデン王)
Gustavus I (rex Sueciae)	グスタフ1世 (スウェーデン王)
Alphonsinae	アルフォンシーネ
Bagnacaballum	バニャカヴァッロ
Silva Balnearia	バニャーラ・ディ・ロマーニャ
Castrum Brasichellae	ブリジゲッラ
Casula Vallis Simnii	カーゾラ・ヴァルセーニオ
Castrum Bononiense	カステル・ボロニェーゼ
Caervia	チェルヴィア
Caput Silicis	コンセーリチェ
Cotoniola	コティニョーラ
Faventia	ファエンツァ
Fusinianum	フジニャーノ
Lucus (Italia)	ルーゴ (イタリア)
Massa Langobardica	マッサ・ロンバルダ
Hergé	エルジェ
Riolus	リオーロ・テルメ
Castrum Russi	ルッシ
Plebs Sanctae Agathae	サンターガタ・スル・サンテルノ
Castrum Solarolii	ソラローロ
Otto Preminger	オットー・プレミンジャー
Ioannes Lucas Godard	ジャン＝リュック・ゴダール
Franciscus Truffaut	フランソワ・トリュフォー
Robertus Rossellini	ロベルト・ロッセリーニ
Victorius De Sica	ヴィットリオ・デ・シーカ
Bernardus Bertolucci	ベルナルド・ベルトルッチ
Marcus Bellocchio	マルコ・ベロッキオ
Darius Argento	ダリオ・アルジェント
Marcus Ferreri	マルコ・フェレーリ
Marius Monicelli	マリオ・モニチェリ
Gilbertus Pontecorvo	ジッロ・ポンテコルヴォ
Dinus Risi	ディーノ・リージ
Maximus Troisi	マッシモ・トロイージ
Hector Scola	エットーレ・スコラ
Lina Wertmüller	リナ・ウェルトミューラー
Franciscus Zeffirelli	フランコ・ゼフィレッリ
Iosephus Tornatore	ジュゼッペ・トルナトーレ
Carolus Verdone	カルロ・ヴェルドーネ
Franciscus Rosi	フランチェスコ・ロージ
Claudius Mons Viridis	クラウディオ・モンテヴェルディ
Saltillo	サルティーヨ
Coahuila	コアウイラ州
Hyracoidea	ハイラックス
High School Musical	ハイスクール・ミュージカル
High School Musical 2	ハイスクール・ミュージカル2
High School Musical 3: Senior Year	ハイスクール・ミュージカル/ザ・ムービー
Birotatio	サイクリング
Universitas Nationalis Pusanensis	釜山大学校
Copriva	カプリーヴァ・デル・フリウーリ
Cormones	コルモンス
Dobradanum	ドベルド・デル・ラーゴ
Dolenia	ドレーニャ・デル・コッリオ
Fara (Forum Iulii-Venetia Iulia)	ファッラ・ディゾンツォ
Folianum	フォリアーノ・レディプーリア
Gradisca (Italia)	グラディスカ・ディゾンツォ
Gradum	グラード (イタリア)
Marianum (Provincia Goritiensis)	マリアーノ・デル・フリウーリ
Medegia	メデーア
Mons Falconis (Italia)	モンファルコーネ
Morarium	モラーロ
Mossa	モッサ
Romani (Forum Iulii-Venetia Iulia)	ロマンス・ディゾンツォ
Ronches (Goritia)	ロンキ・デイ・レジョナーリ
Sagratum	サグラード
Tschita	チタ
Aquae Gradatae	サン・カンツィアン・ディゾンツォ
Fanum Sancti Floriani Collii	サン・フロリアーノ・デル・コッリオ
Fanum Sancti Laurentii Aesontini	サン・ロレンツォ・イゾンティーノ
Fanum Sancti Petri Aesontii	サン・ピエール・ディゾンツォ
Savonia (Goritia)	サヴォーニャ・ディゾンツォ
Starantianum	スタランツァーノ
Turiacum	トゥッリアーコ
Vilessum	ヴィッレッセ
Andreis	アンドレーイス
Arba (Italia)	アルバ (ポルデノーネ県)
Arzen	アルゼネ
Avianum	アヴィアーノ
Attianum (Forum Iulii-Venetia Iulia)	アッツァーノ・デーチモ
Barcis	バルチス
Brugnara	ブルニェーラ
Budoia	ブドーイア
Canipa	カーネヴァ
Caxarsa	カザルサ・デッラ・デリーツィア
Castrum Novum Foroiuliense	カステルノーヴォ・デル・フリーウリ
Cavassum Novum	カヴァッソ・ヌオーヴォ
Chaum	キオーンス
Cimolais	チモラーイス
Clautum	クラーウト
Claucedum	クラウツェット
Curtis Naonis	コルデノンス
Curtevadum	コルドヴァード
Erctum et Cassum	エルト・エ・カッソ
Fana	ファンナ
Flumen (Italia)	フィウーメ・ヴェーネト
Fons Frigida	フォンタナフレッダ
Frasanchum	フリザンコ
Curtis Maniaci	マニアーゴ
Medunum	メドゥーノ
Mons Regalis Vallis Cellinae	モンテレアーレ・ヴァルチェッリーナ
Paselanum	パジアーノ・ディ・ポルデノーネ
Pincianum	ピンツァーノ・アル・タリアメント
Paucinicum	ポルチェニーゴ
Castrum de Porcileis	ポルチャ
Prata (Forum Iulii-Venetia Iulia)	プラータ・ディ・ポルデノーネ
Pratum Vicedomini	プラヴィズドーミニ
Roveredum (Forum Iulii-Venetia Iulia)	ロヴェレード・イン・ピアーノ
Sacilum	サチーレ
Fanum Sancti Georgii (Forum Iulii-Venetia Iulia)	サン・ジョルジョ・デッラ・リキンヴェルダ
Fanum Sancti Martini (Forum Iulii-Venetia Iulia)	サン・マルティーノ・アル・タリアメント
Fanum Sancti Quirini	サン・クイリーノ
Fanum Sancti Viti (Forum Iulii-Venetia Iulia)	サン・ヴィート・アル・タリアメント
Subcolles	セクアルス
Sextus ab Urbe Lapis (Forum Iulii-Venetia Iulia)	セスト・アル・レーゲナ
Castrum de Spengenberg	スピリンベルゴ
Tramons Superior	トラモンティ・ディ・ソプラ
Tramons Inferior	トラモンティ・ディ・ソット
Travesium	トラヴェージオ
Valleonis	ヴァイオント
Valvason	ヴァルヴァゾーネ
Vitus (Italia)	ヴィート・ダージオ
Vivarium (Forum Iulii et Venetia Iulia)	ヴィヴァーロ
Zaupola	ゾッポラ
Agellum (Forum Iulii-Venetia Iulia)	アイエッロ・デル・フリウーリ
Amarum	アマーロ (イタリア)
Amplitium	アンペッツォ
Aquileia	アクイレイア
Arcta	アルタ・テルメ
Artenia	アルテーニャ
Attemis	アッティミス
Balnearia (Forum Iulii-Venetia Iulia)	バニャーリア・アルサ
Basilianum (Forum Iulii-Venetia Iulia)	バジリアーノ
Bertiolum	ベルティオーロ
Bicinis	ビチニッコ
Bordanum	ボルダーノ
Boga	ブーヤ
Buttrium	ブットリオ
Caminum de Quadrupio	カミーノ・アル・タリアメント
Campoformium	カンポフォルミド
Campolongum Tapolianum	カンポロンゴ・タポリアーノ
Carlinum	カルリーノ
Cassacchum	カッサッコ
Castillio de Strata Hungarorum	カスティオンス・ディ・ストラーダ
Cabatium	カヴァッツォ・カルニコ
Circumventum	チェルチヴェント
Cervenianum (Forum Iulii-Venetia Iulia)	チェルヴィニャーノ・デル・フリウーリ
Teupris - Viscon	キオプリス＝ヴィスコーネ
Clausa Fortis	キウザフォルテ
Forum Iulii (Italia)	チヴィダーレ・デル・フリウーリ
Quadruvium (Italia)	コドローイポ
Colloretum	コッロレード・ディ・モンテ・アルバーノ
Comelicanum	コメリアンス
Cornium	コルノ・ディ・ロザッツォ
Coseanum	コゼアーノ
Adinianum (Italia)	ディニャーノ
Dogna	ドーニャ
Drenchia	ドレンキア
Enemum	エネモンツォ
Fagete	ファエーディス
Fagannia	ファガーニャ
Flumisellum	フィウミチェッロ
Flaibanum	フライバーノ
Furgaria	フォルガリーア・ネル・フリウーリ
Furnum Avoltri	フォルニ・アヴォルトリ
Furnum Superius	フォルニ・ディ・ソプラ
Furnum Inferius	フォルニ・ディ・ソット
Glemona	ジェモーナ・デル・フリウーリ
Gonarium	ゴナルス
Grimaccum	グリマッコ
Toyota	トヨタ自動車
Apicilia	ラティザーナ
Laucum	ラウコ
Lastiza	レスティッツァ
Linianum	リニャーノ・サッビアドーロ
Ligosullum	リゴスッロ
Lusevera	ルゼーヴェラ
Magnanum (Forum Iulii-Venetia Iulia)	マニャーノ・イン・リヴィエーラ
Mayanum	マヤーノ
Bambergetum	マルボルゲット・ヴァルブルーナ
Manzanum	マンツァーノ
Maranum (Forum Iulii-Venetia Iulia)	マラーノ・ラグナーレ
Martignacchum	マルティニャッコ
Wernerus Faymann	ヴェルナー・ファイマン
Meleretum de Tomba	メレート・ディ・トンバ
Modium Utinensium	モッジョ・ウディネーゼ
Moimacum	モイマッコ
Montenarium	モンテナルス
Mortelianum	モルテリアーノ
Murutium	モルッツォ
Mucianum	ムッツァーナ・デル・トゥルニャーノ
Nimis	ニーミス
Ossopum	オゾッポ
Ovarum	オヴァーロ
Paniacum	パニャッコ
Palatiolum (Forum Iulii-Venetia Iulia)	パラッツォーロ・デッロ・ステッラ
Palma (Forum Iulii-Venetia Iulia)	パルマノーヴァ
Palluca	パルッツァ
Pasilianum (Provincia Utinensis)	パジアーン・ディ・プラート
Paularum	パウラーロ
Papia (Forum Iulii-Venetia Iulia)	パヴィーア・ディ・ウディーネ
Pulcinia	ポチェニーア
Pontebbia	ポンテッバ
Porpetum	ポルペット
Popoletum	ポヴォレット
Puteolum (Forum Iulii-Venetia Iulia)	ポッツオーロ・デル・フリウーリ
Predamanum	プラダマーノ
Pratum (Forum Iulii-Venetia Iulia)	プラート・カルニコ
Prissinicum	プレチェニッコ
Primariacum	プレマリアッコ
Prion	プレオーネ
Prepottum	プレポット
Pulferum	プルフェロ
Reunia	ラゴーニャ
Ravascletum	ラヴァスクレット
Rapeum	ラヴェーオ
Reyana	レアーナ・デル・ロイアーレ
Remanzacum	レマンツァッコ
Resia	レージア
Risiutta	レジウッタ
Rigulatum	リゴラート
Ripae Darcani	リーヴェ・ダルカーノ
Rivinianum	リヴィニャーノ
Ronches Utinensium	ロンキス
Riuda	ルーダ
Puella Magi Madoka Magica	魔法少女まどか☆マギカ
Fanum Sancti Danielis Foroiuliensium	サン・ダニエーレ・デル・フリウーリ
Fanum Sancti Georgii Nucarii	サン・ジョルジョ・ディ・ノガーロ
Fanum Sancti Ioannis de Manzano	サン・ジョヴァンニ・アル・ナティゾーネ
Fanum Sancti Leonardi (Forum Iulii-Venetia Iulia)	サン・レオナルド
Fanum Sancti Petri Sclavorum	サン・ピエトロ・アル・ナティゾーネ
Fanum Sancti Viti ad Turrim	サン・ヴィート・アル・トッレ
Fanum Sancti Viti de Phagania	サン・ヴィート・ディ・ファガーニャ
Meleretum	サンタ・マリーア・ラ・ロンガ
Sauris	サウリス
Savonia (Utinum)	サヴォーニャ・ディ・チヴィダーレ
Sedeglianum	セデリアーノ
Subclevum	ソッキエーヴェ
Striena	ストレーニャ
Sudrium	ストリオ
Taypana	タイパーナ
Talmassons	タルマッソンス
Tarcentum	タルチェント
Tavaniacum (Forum Iulii-Venetia Iulia)	タヴァニャッコ
Villa Thegori	テオール
Tertium Aquileiense	テルツォ・ダクイレーイア
Tulmentium	トルメッツォ
Taurianum (Forum Iulii-Venetia Iulia)	トッレアーノ
Turris de Zuino	トルヴィスコーザ
Trasages	トラザーギス
Treppum Carnicum	トレッポ・カルニコ
Treppum Magnum	トレッポ・グランデ
Tricesimum	トリチェージモ
Trivignanum	トリヴィニャーノ・ウディネーゼ
Varmum	ヴァルモ
Vannia	ヴェンゾーネ
Versegna	ヴェルゼーニス
Villa Invillini	ヴィッラ・サンティーナ
Villa Vicentina	ヴィッラ・ヴィチェンティーナ
Vuiscum	ヴィスコ
Iulium Carnicum	ズーリオ
Miecislaus I (dux Polanorum)	ミェシュコ1世
Boleslaus I (rex Poloniae)	ボレスワフ1世 (ポーランド王)
Fridericus Augustus I (rex Saxoniae)	フリードリヒ・アウグスト1世 (ザクセン王)
Henricus III (rex Franciae)	アンリ3世 (フランス王)
Hedvigis (regina Poloniae)	ヤドヴィガ (ポーランド女王)
Ioannes III (rex Poloniae)	ヤン3世 (ポーランド王)
Casimirus III (rex Poloniae)	カジミェシュ3世 (ポーランド王)
Categoria:Reges Poloniae	Category:ポーランド国王
Macropus rufus	アカカンガルー
Scrophulariaceae	ゴマノハグサ科
Acanthaceae	キツネノマゴ科
Lamiaceae	シソ科
Liliales	ユリ目
Liliaceae	ユリ科
Albinum (Italia)	アルビーノ
Amaronum	アマーロニ
Amatum	アマート (イタリア)
Andalum (Calabria Nova)	アンダリ
Argustum	アルグスト
Badolatum	バドラート
Belicastrum	ベルカストロ
Borgia (Italia)	ボルジャ
Botricellum	ボトリチェッロ
Carapha (Provincia Catacensis)	カラッファ・ディ・カタンザーロ
Cardinalum	カルディナーレ
Carlopolis	カルローポリ
Cenadium (Italia)	チェナーディ
Centracum	チェントラケ
Cerva	チェルヴァ
Claravallis (Bruttium)	キアラヴァッレ・チェントラーレ
Cicala	チカーラ
Confluentes (Italia)	コンフレンティ
Cortiladum	コルターレ
Cropanum	クローパニ
Curinga	クリンガ
Dalgolis	ダーヴォリ
Decollatorium	デコッラトゥーラ
Falerna	ファレルナ
Feroletum (Catacium)	フェロレート・アンティーコ
Fossatum (Italia)	フォッサート・セッラルタ
Galeatum (Bruttium)	ガリアート
Gasparina	ガスペリーナ
Gimilianum	ジミリアーノ
Girifarcum	ジリファルコ
Jezzaria	ジッツェリーア
Guardavallis	グアルダヴァッレ
Isca (Italia)	イスカ・スッロ・イオーニオ
Jacursum	ヤクルソ
Systema aerarium foederale	連邦準備制度
The Two Noble Kinsmen	二人の貴公子
Anura	カエル
Lametia Thermae	ラメーツィア・テルメ
Magisanum	マジザーノ
Mayda	マイダ
Marcedusia	マルチェドゥーザ
Marcellinaria	マルチェッリナーラ
Marturanum	マルティラーノ
Marturanum Novum	マルティラーノ・ロンバルド
Miglierina	ミリエリーナ
Mons Aureus (Catacium)	モンタウロ
Mons Pavonis	モンテパオーネ
Mota Sanctae Luciae	モッタ・サンタ・ルチーア
Nuceria Castelionis	ノチェーラ・テリネーゼ
Olivadium	オリヴァーディ
Laika	ライカ (犬)
Caudata	有尾目
Palermitium	パレルミーティ
Pentonum	ペントーネ
Petritium	ペトリッツィ
Petrona	ペトロナ
Feroletum Planum	ピアノーポリ
Platania	プラタニーア
Fanum Sancti Flori	サン・フローロ
Fanum Sancti Magni de Aquino	サン・マンゴ・ダクイーノ
Fanum Sancti Petri ad Tyriolum	サン・ピエトロ・アポストロ
