ᎬᎿᎦᏍᏛ	アフリカ
Template:User sv-1	Template:User sv-1
Category:ᎠᎹ	Category:水
Template:User ko-3	Template:User ko-3
Category:User sv-N	Category:User sv-N
Category:User wa	Category:User wa
Category:User wa-N	Category:User wa-N
Template:User tr-1	Template:User tr-1
Template:User zh-2	Template:User zh-2
Template:Multi-listen end	Template:Multi-listen end
Category:ᎠᎾᎵᏖᎸᎲᏍᎬ ᎦᏁᏰᎩ	Category:暴力
Category:ᏧᏓᎴᏅᏓ ᎫᎵᏍᏔᏅ ᏑᏓᎴᎩ	Category:元素
Template:User de-4	Template:User de-4
Category:ᎠᏣᏗ	Category:魚類
Category:ᎤᎾᏓᏔᏅ ᎠᎩᏍᏗ	Category:果物
Category:ᏙᏯᏗᎳ ᏄᏍᏗᏓᏅ	Category:気候
Category:Animalia	Category:動物
Category:ᎠᏂᎪᎢ ᎤᏂᏃᎮᎸᎯ	Category:ギリシア神話
Category:ᎠᏂᎩᏍᏙᏗ	Category:交通
Category:ᎾᎥ ᏄᎾᏓᎸ	Category:コミュニティ
Category:ᏧᏴᏢ ᎠᎹᏰᎵ	Category:北アメリカ
Template:Substituted	Template:Subst only
Template:User fo	Template:User fo
Category:ᎠᏥᎳ	Category:火
Category:ᏗᎧᏃᏗ	Category:色
Template:Image label begin	Template:Image label begin
Category:User chr-3	Category:User chr-3
Template:Ombox/core	Template:Ombox/core
Category:User en-1	Category:User en-1
Category:User de-1	Category:User de-1
Template:Wstress3d	Template:Wstress3d
Wikipedia:VOTE	Wikipedia:投票は議論の代用とはならない
ᎧᎹᎹ (ᏨᏍᎪᏱ)	チョウ
Wikipedia:Deletion log	Wikipedia:削除記録
Template:Multi-listen item	Template:Multi-listen item
Special:RecentChanges	特別:最近の更新
Module:HtmlBuilder	モジュール:HtmlBuilder
