ਅਫ਼ਰੀਕਾ	アフリカ
ਵਾਲੈਂਸੀਆ	バレンシア (スペイン)
ਕੰਨਿਆ ਤਾਰਾਮੰਡਲ	おとめ座
ਨਰਤੁਰੰਗ ਤਾਰਾਮੰਡਲ	ケンタウルス座
ਕਰਕ ਤਾਰਾਮੰਡਲ	かに座
ਮਾਲਾਗਾ	マラガ
ਪਰਣਿਨ ਘੋੜਾ ਤਾਰਾਮੰਡਲ	ペガスス座
ਸੱਤਿਆਜੀਤ ਰਾਏ	サタジット・レイ
ਸਟੀਵਨ ਸਪੀਲਬਰਗ	スティーヴン・スピルバーグ
ਸਪਤਰਿਸ਼ੀ	おおぐま座
ਮਾਰੀਓਂ ਕੋਤੀਯਾਰ	マリオン・コティヤール
ਮੋ ਯਾਨ	莫言
ਮਾਕਸ ਪਲਾਂਕ	マックス・プランク
ਗੁਆਦਾਲਾਹਾਰਾ	グアダラハラ (メキシコ)
ਸਵੀਡਿਸ਼ ਭਾਸ਼ਾ	スウェーデン語
ਡੈਨਿਸ਼ ਭਾਸ਼ਾ	デンマーク語
ਨਿਕੋਲਾ ਟੈਸਲਾ	ニコラ・テスラ
ਮੁਹੰਮਦ ਇਬਨ ਮੂਸਾ ਅਲ-ਖ਼ਵਾਰਿਜ਼ਮੀ	フワーリズミー
ਨਾਰਵੇਜੀਆਈ ਭਾਸ਼ਾ	ノルウェー語
ਚਾਣਕਿਆ	カウティリヤ
ਨੌਮ ਚੌਮਸਕੀ	ノーム・チョムスキー
ਲਕਸਮਬਰਗੀ ਭਾਸ਼ਾ	ルクセンブルク語
ਚੈੱਕ ਭਾਸ਼ਾ	チェコ語
ਸਲੋਵਾਕ ਭਾਸ਼ਾ	スロバキア語
ਕਾਰਲ ਮਾਰਕਸ	カール・マルクス
ਮਗਿਆਰ ਭਾਸ਼ਾ	ハンガリー語
ਵੋਲਟੇਅਰ	ヴォルテール
ਏਸਟੋਨਿਆਈ ਭਾਸ਼ਾ	エストニア語
ਮੂਸਾ	モーセ
ਗਿਆਨ	知識
ਹਿੰਦੂ ਧਰਮ	ヒンドゥー教
ਬੇਲਾਰੂਸੀ ਭਾਸ਼ਾ	ベラルーシ語
ਖੋਸੇ ਮੂਖੀਕਾ	ホセ・ムヒカ
ਤਾਬਾਰੇ ਵਾਸਕੇਸ	タバレ・バスケス
ਦਮੀਤਰੀ ਮੈਂਡਲੀਵ	ドミトリ・メンデレーエフ
ਪਰਮਾਣੂ	原子
ਅਰਨਸਟ ਰਦਰਫ਼ੋਰਡ	アーネスト・ラザフォード
ਪ੍ਰਕਾਸ਼	光
ਯੂਨਾਨੀ ਭਾਸ਼ਾ	ギリシア語
ਮਿੱਥ ਵਿਗਿਆਨ	神話
ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ	オペレーティングシステム
ਤਾਜ ਮਹਿਲ	タージ・マハル
ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ	プログラミング言語
ਈ-ਮੇਲ	電子メール
ਇੱਕ ਈਸ਼ਵਰਵਾਦ	一神教
ਜੋਸਿਪ ਬਰੋਜ਼ ਟੀਟੋ	ヨシップ・ブロズ・チトー
ਆਤਮਾ	霊魂
ਮਾਲਟਾਈ ਭਾਸ਼ਾ	マルタ語
ਫ਼ਾਰਸੀ ਭਾਸ਼ਾ	ペルシア語
ਧਰਮ	宗教
ਕੋਰੀਅਨ ਭਾਸ਼ਾ	朝鮮語
ਅਬਰਾਹਮ	アブラハム
ਜਣਨ ਦੀ ਕਿਤਾਬ	創世記
ਰੇਨੇ ਦੇਕਾਰਤ	ルネ・デカルト
ਮੰਦਾਰਿਨ ਭਾਸ਼ਾ	官話
ਵੀਅਤਨਾਮੀ ਭਾਸ਼ਾ	ベトナム語
ਸਟੈਚੂ ਆਫ਼ ਲਿਬਰਟੀ	自由の女神像 (ニューヨーク)
ਖਮੇਰ ਭਾਸ਼ਾ	クメール語
ਲੁੰਬਿਨੀ	ルンビニ
ਸਿਗਮੰਡ ਫ਼ਰਾਇਡ	ジークムント・フロイト
ਥਾਈ ਭਾਸ਼ਾ	タイ語
ਬਰਮੀ ਭਾਸ਼ਾ	ビルマ語
ਜੈਨ ਧਰਮ	ジャイナ教
ਗਿਓਕ ਵਿਲਹੈਲਮ ਫ਼ਰੀਡਰਿਸ਼ ਹੇਗਲ	ゲオルク・ヴィルヘルム・フリードリヒ・ヘーゲル
ਮੰਗੋਲ ਭਾਸ਼ਾ	モンゴル語
ਬਾਕੂ	バクー
ਕਜ਼ਾਖ ਭਾਸ਼ਾ	カザフ語
ਕਿਰਗੀਜ਼ ਭਾਸ਼ਾ	キルギス語
ਵਿਸ਼ਵ ਵਿਰਾਸਤ ਟਿਕਾਣਾ	世界遺産
ਉਜ਼ਬੇਕ ਭਾਸ਼ਾ	ウズベク語
ਯਹੂਦੀ ਧਰਮ	ユダヤ教
ਥਿੰਫੂ	ティンプー
ਬੰਦਰ ਸੇਰੀ ਬੇਗਵਾਨ	バンダルスリブガワン
ਹਿਬਰੂ ਭਾਸ਼ਾ	ヘブライ語
ਅਜ਼ੇਰੀ ਭਾਸ਼ਾ	アゼルバイジャン語
ਸਰਬੀਆਈ ਭਾਸ਼ਾ	セルビア語
ਦੀਲੀ	ディリ
ਇਮੈਨੂਅਲ ਕਾਂਤ	イマヌエル・カント
ਸਿੱਖੀ	シク教
ਜਾਨ ਮੇਨਾਰਡ ਕੇਨਜ਼	ジョン・メイナード・ケインズ
ਵਿਆਂਗ ਚਾਨ	ヴィエンチャン
ਮੋਪਾਸਾਂ	ギ・ド・モーパッサン
ਮਾਲੇ	マレ
ਯੋਗਾਸਣ	ヨーガ
ਜਾਨ ਲਾਕ	ジョン・ロック
ਫ਼ਰੀਡਰਿਸ਼ ਨੀਤਸ਼ੇ	フリードリヒ・ニーチェ
ਬਿਸ਼ਕੇਕ	ビシュケク
ਯਾਂ ਪਾਲ ਸਾਰਤਰ	ジャン＝ポール・サルトル
ਦੁਸ਼ਾਂਬੇ	ドゥシャンベ
ਕਾਲਜਾ	肝臓
ਗੁਰਦਾ	腎臓
ਐਡਮ ਸਮਿਥ	アダム・スミス
ਮੈਕਸ ਵੈਬਰ	マックス・ヴェーバー
ਲੁਡਵਿਗ ਵਿਟਗਨਸਟਾਈਨ	ルートヴィヒ・ウィトゲンシュタイン
ਖਰਗੋਸ਼	ウサギ
ਨਿੰਜਾ	忍者
ਵਲਵਲਾ	感情
ਮਨੋਵਿਗਿਆਨ	心理学
ਤਿੰਬਕਤੂ	トンブクトゥ
ਮਹਾਂਸਾਗਰ	大洋
﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ	ヴィクトリア (イギリス女王)
ਗੌਤਮ ਬੁੱਧ	釈迦
ਲੋਥਲ	ロータル
ਪੀਟ ਸੈਮਪਰਾਸ	ピート・サンプラス
ਵਿਰੋਧਵਿਕਾਸ	弁証法
ਵੱਲਭਭਾਈ ਪਟੇਲ	ヴァッラバーイ・パテール
ਮੁਹੰਮਦ	ムハンマド・イブン＝アブドゥッラーフ
ਨੀਤੀ ਵਿਗਿਆਨ	倫理学
ਧੋਲਾਵੀਰਾ	ドーラビーラ
ਗਿਆਨ ਮੀਮਾਂਸਾ	認識論
ਕਾਟੋ	リス
ਸਚਿਨ ਤੇਂਦੁਲਕਰ	サチン・テンドルカール
ਯਥਾਰਥ	現実
ਏ ਪੀ ਜੇ ਅਬਦੁਲ ਕਲਾਮ	アブドゥル・カラーム
ਬੀਬੀਸੀ	英国放送協会
ਸ਼ਾਹਰੁਖ ਖਾਨ	シャー・ルク・カーン
ਸਲਮਾਨ ਖ਼ਾਨ	サルマン・カーン
ਅਲ-ਗ਼ਜ਼ਾਲੀ	ガザーリー
ਮਾਰਟਿਨ ਲੂਥਰ	マルティン・ルター
ਆਮਿਰ ਖ਼ਾਨ	アーミル・カーン
ਅਮਿਤਾਭ ਬੱਚਨ	アミターブ・バッチャン
ਸ਼ੀਆ ਇਸਲਾਮ	シーア派
ਕੈਥੋਲਿਕ ਗਿਰਜਾਘਰ	カトリック教会
ਤਾਓਵਾਦ	道教
ਪਾਰਸੀ ਧਰਮ	ゾロアスター教
ਸੂਫ਼ੀਵਾਦ	スーフィズム
ਸ਼ਿਰਾ	静脈
ਬੰਗਾਲੀ ਭਾਸ਼ਾ	ベンガル語
ਚੈਲਸੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	チェルシーFC
ਆਰਸਨਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	アーセナルFC
ਘੰਡੀ	喉頭
ਜੋੜ (ਸਰੀਰੀ ਬਣਤਰ)	関節
ਹਿੱਕ	胸
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ	フォークランド諸島
ਇਪ੍ਸਵਿਚ ਟਾਊਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	イプスウィッチ・タウンFC
ਧਮਣੀ	動脈
A	A
ਕਰਨਲ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	カーネル
ਮਾਈਕਲ ਸ਼ੂਮਾਕਰ	ミハエル・シューマッハ
ਲੂਇਸ ਹੈਮਿਲਟਨ	ルイス・ハミルトン
ਮੈਨ ਟਾਪੂ	マン島
ਨਿਊਯਾਰਕ ਟਾਈਮਜ਼	ニューヨーク・タイムズ
ਜੇ ਐੱਫ਼ ਕੈਨੇਡੀ	ジョン・F・ケネディ
B	B
ਭੁਕਾਨਾ	風船
ਆਨਰੇ ਦੇ ਬਾਲਜ਼ਾਕ	オノレ・ド・バルザック
G	G
U	U
Z	Z
ਫ਼ਲੇਮੇਂਕੋ	フラメンコ
F	F
J	J
ਵਰਨਮਾਲਾ	アルファベット
ਰੇਗੇ	レゲエ
T	T
C	C
R	R
D	D
ਕੋਇੰਬਟੂਰ	コーヤンブットゥール
ਅਲਫ਼ਾ	Α
ਉਦਗਮੰਦਲਮ	ウダカマンダラム
ਓਮੇਗਾ	Ω
I	I
ਮਿਊ (ਅੱਖਰ)	Μ
E	E
H	H
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ਡੱਚ ਵਿਕੀਪੀਡੀਆ	オランダ語版ウィキペディア
ਫਾਈ	Φ
ਟੀਪੂ ਸੁਲਤਾਨ	ティプー・スルターン
ਮੀਲ ਪੱਥਰ	マイルストーン
ਰਾਹੁਲ ਗਾਂਧੀ	ラーフル・ガンディー
ਭਾਰਤੀ ਰਾਸ਼ਟਰੀ ਕਾਂਗਰਸ	インド国民会議
ਭਾਰਤੀ ਜਨਤਾ ਪਾਰਟੀ	インド人民党
ਦਿਵਾਲੀ	ディーワーリー
ਪਲਾਜ਼ਮਾ	プラズマ
ਹੋਲੀ	ホーリー祭
ਪਾਈਥਾਗੋਰਸ	ピタゴラス
ਨਰਾਤੇ	ナヴラトリ
ਕੁੰਭ ਮੇਲਾ	クンブ・メーラ
ਕੋਲੋਸੀਅਮ	コロッセオ
ਤਾਰਾਗੋਤਾ	サラゴサ
ਰਿਆਲ ਸੋਸੀਏਦਾਦ	レアル・ソシエダ
ਸਿਵਿਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	セビージャFC
ਵਾਲੈਂਸੀਆ ਕਲੱਬ ਦੀ ਫੁੱਟਬਾਲ	バレンシアCF
ਉੱਤਰਕਿਰੀਟ ਤਾਰਾਮੰਡਲ	かんむり座
ਕਬੂਤਰ ਤਾਰਾਮੰਡਲ	はと座
ਇਕਊਲੀਅਸ	こうま座
ਫੀਨਿਕਸ ਤਾਰਾਮੰਡਲ	ほうおう座
ਖ਼ਰਗੋਸ਼ ਤਾਰਾਮੰਡਲ	うさぎ座
ਕਰਾਇਨਾ ਤਾਰਾਮੰਡਲ	りゅうこつ座
ਐਂਤਲਿਆ ਤਾਰਾਮੰਡਲ	ポンプ座
ਡੇਵਿਡ ਬੈਕਮ	デビッド・ベッカム
ਰਾਯਨ ਗਿੱਗਸ	ライアン・ギグス
ਵ੍ਰਸ਼ ਤਾਰਾਮੰਡਲ	おうし座
ਕਾਰਡਿਫ਼	カーディフ
ਮਿਆਦੀ ਪਹਾੜਾ	周期表
ਥੋਸ਼ਾਊਨ	トースハウン
ਜਾਰਜਟਾਊਨ, ਗੁਇਆਨਾ	ジョージタウン (ガイアナ)
ਖ਼ੁਦਕੁਸ਼ੀ	自殺
ਡੀਵੈਨ ਜਾਨਸਨ	ドウェイン・ジョンソン
ਕੁਤਰਦੰਦੀ ਜੀਵ	ネズミ目
ਕਬੂਤਰ	ハト科
ਬੈਕਟੀਰੀਆ	真正細菌
ਰੁੱਖ	木
ਲੈਮਡਾ	Λ
ਇਨਕਲਾਬ	革命
ਪਨੀਰ	チーズ
ਟਾਈਗਰ ਵੁਡਜ਼	タイガー・ウッズ
ਆਲੂ	ジャガイモ
ਸ਼ੱਕਰ	砂糖
ਸਬਜੀ	野菜
ਰੋਬੋਟ	ロボット
ਟੈਕਨਾਲੋਜੀ	テクノロジー
ਪੇਚ	ねじ
ਇੰਜੀਨੀਅਰੀ	工学
ਜਾਣਕਾਰੀ	情報
ਸੱਭਿਆਚਾਰ	文化
ਹਿੰਦੁਸਤਾਨੀ ਭਾਸ਼ਾ	ヒンドゥスターニー語
ਸੰਸਕ੍ਰਿਤ ਭਾਸ਼ਾ	サンスクリット
ਅਲਜ਼ਾਈਮਰ ਰੋਗ	アルツハイマー型認知症
ਪਾਰਕਿਨਸਨ ਰੋਗ	パーキンソン病
ਇਬਨ ਅਲ-ਹੀਸ਼ਮ	イブン・ハイサム
ਦ ਗਾਰਡੀਅਨ	ガーディアン
ਤਿਜ਼ਾਬ	酸
ਰਸਾਇਣਕ ਯੋਗ	化合物
ਔਸ਼ਧੀ ਵਿਗਿਆਨ	医学
ਖ਼ਾਰ	塩基
ਸਾਰਾਯੇਵੋ	サラエヴォ
ਲਘੂਗਣਕ	対数
ਵਿਧਾਨ ਸਭਾ	立法府
ਗਿਣਤੀ	算術
ਸੰਵਿਧਾਨਕ ਕਨੂੰਨ	憲法
ਪੈਂਟਾਗਨ	ペンタゴン
ਗੁਣਕ ਪ੍ਰਬੰਧ	座標
ਲੂਣ	塩
ਫ਼ੀਦੇਲ ਕਾਸਤਰੋ	フィデル・カストロ
ਮਾਈਕਰੋਸਾਫਟ ਵਰਡ	Microsoft Word
ਕਿਊਬਾ ਦਾ ਇਨਕਲਾਬ	キューバ革命
ਮੂੰਗੇ ਦੀਆਂ ਚਟਾਨਾਂ	サンゴ礁
ਮੈਨਹੈਟਨ	マンハッタン
ਰਸਾਇਣਕ ਤੱਤ	元素
ਸਮੀਕਰਨ	方程式
ਫੰਕਸ਼ਨ (ਹਿਸਾਬ)	関数 (数学)
ਕਾਰਬਨੀ ਰਸਾਇਣ ਵਿਗਿਆਨ	有機化学
ਕੋਣ	角度
ਕਾਰਬੋਹਾਈਡਰੇਟ	炭水化物
ਆਰੀਆਭੱਟ	アリヤバータ
ਹਾਰਮੋਨ	ホルモン
ਅਣੂ	分子
ਪ੍ਰਵੇਗ	加速度
ਸ਼ਿਵ	シヴァ
ਊਰਜਾ	エネルギー
ਵਿਸ਼ਨੂੰ	ヴィシュヌ
ਮੁਕਾਮੀ ਇਲਾਕਾ ਜਾਲ	Local Area Network
ਬਿਜਲਚੁੰਬਕੀ ਕਿਰਨ	電磁波
ਲਾਲਹੇਠ ਕਿਰਨ	赤外線
ਪਰਾਬੈਂਗਣੀ ਕਿਰਨਾਂ	紫外線
ਘਰੋਗੀਕਰਨ	家畜化
ਟਕਸਾਲੀ ਮਕੈਨਕੀ	古典力学
ਜੀਵ ਵਿਗਿਆਨਕ ਵਰਗੀਕਰਨ	生物の分類
ਜ਼ੋਰ	力
ਚੁੰਬਕੀ ਖੇਤਰ	磁場
ਨਸਲੀ ਵਿਤਕਰਾ	アパルトヘイト
ਗੁਰੂਤਾ ਖਿੱਚ	重力
ਤਕੜਾ ਮੇਲ-ਜੋਲ	強い相互作用
ਜੰਗੀ ਕਲਾ	格闘技
ਮਾੜਾ ਮੇਲ-ਜੋਲ	弱い相互作用
ਕਰਾਟੇ	空手道
ਜੂਡੋ (ਖੇਡ)	柔道
ਚੁੰਬਕ	磁石
ਪੁੰਜ	質量
ਫ਼ਿਲਮ	映画
ਧਾਤ	金属
ਨਿਊਕਲੀ ਫੱਟ	核分裂反応
ਫੂ	気体
ਤਰਲ	液体
ਠੋਸ	固体
ਸਮੁੰਦਰੀ ਜਹਾਜ਼	船
ਖੇਤੀਬਾੜੀ	農業
ਕਪਾਹ	木綿
ਪਹਿਰਾਵਾ	被服
ਹਲ	プラウ
ਵੇਗ	速度
ਤਾਪਮਾਨ	温度
ਨੈਨੋਤਕਨਾਲੋਜੀ	ナノテクノロジー
ਸਮਾਂ	時間
ਕਾਗ਼ਜ਼	紙
ਪਲਾਸਟਿਕ	合成樹脂
ਖ਼ਲਾਅ	真空
ਖੇਤਰਫਲ	面積
ਪਾਈਥਾਗੋਰਸ ਥਿਊਰਮ	ピタゴラスの定理
ਗਾਮਾ ਕਿਰਨ	ガンマ線
ਅੰਕ	数
ਕੰਪਲੈਕਸ ਨੰਬਰ	複素数
ਡਾਰਵਿਨ, ਉੱਤਰੀ ਰਾਜਖੇਤਰ	ダーウィン (ノーザンテリトリー)
ਕ੍ਰਿਸਟੀਆਨੋ ਰੋਨਾਲਡੋ	クリスティアーノ・ロナウド
ਮੀਟਰ	メートル
ਸਕਿੰਟ	秒
ਮੱਕੀ	トウモロコシ
ਜੌਂ	オオムギ
ਕੈਲਵਿਨ	ケルビン
ਚਿੱਤਰਕਾਰੀ	絵画
ਰੰਗ-ਮੰਚ	演劇
ਬਿਜਲਾਣੂ ਤਕਨਾਲੋਜੀ	電子機器
ਚਲੰਤ ਬਿਜਲੀ	電流
ਵਾਰਵਾਰਤਾ	周波数
ਡਾਇਓਡ	ダイオード
ਬਣਾਉਟੀ ਮਸ਼ੀਨੀ ਬੁੱਧੀ	人工知能
ਮੌਸਮ	気象
ਮਾਰੀਆ ਸ਼ਾਰਾਪੋਵਾ	マリア・シャラポワ
ਨਿੱਕੀ ਹੈਲੀ ਰੰਧਾਵਾ	ニッキー・ヘイリー
ਵਾਲ ਸਟਰੀਟ	ウォール街
ਸਟਾਕ ਐਕਸਚੇਂਜ	証券取引所
ਸੰਯੁਕਤ ਰਾਜ ਵਰਜਿਨ ਟਾਪੂ	アメリカ領ヴァージン諸島
ਦੱਖਣ-ਪੂਰਬੀ ਏਸ਼ੀਆ	東南アジア
ਲੋਧੀ ਖ਼ਾਨਦਾਨ	ローディー朝
ਸ਼ੇਨਯਾਂਗ	瀋陽市
ਚੌਂਗਕਿੰਗ	重慶市
ਥਿਆਨਚਿਨ	天津市
ਲਹੌਰ	ラホール
ਵੂਖ਼ਨ	武漢市
ਦੇਸ਼ਾਂ ਦੀ ਸੂਚੀ	国の一覧
ਲੁਦਵਿਕ ਜ਼ਾਮੇਨਹੋਫ	ルドヴィコ・ザメンホフ
ਪੱਥਰ ਯੁੱਗ	石器時代
ਕਾਂਸੀ ਯੁੱਗ	青銅器時代
ਲੋਹਾ ਯੁੱਗ	鉄器時代
ਮੈਸੋਪੋਟਾਮੀਆ	メソポタミア
ਪ੍ਰਾਚੀਨ ਮਿਸਰ	古代エジプト
ਬੇਰਿੰਗ ਪਣਜੋੜ	ベーリング海峡
ਪ੍ਰਾਚੀਨ ਯੂਨਾਨ	古代ギリシア
ਗੁਪਤ ਸਲਤਨਤ	グプタ朝
ਜਾਨ ਐਡਮਜ਼	ジョン・アダムズ
ਥਾਮਸ ਜੈਫ਼ਰਸਨ	トーマス・ジェファーソン
ਅਲਬਰੂਨੀ	アブー・ライハーン・ビールーニー
ਸਿੰਡਰੇਲਾ	シンデレラ
ਨਿੱਕੀ ਜਲਪਰੀ (ਕਹਾਣੀ)	人魚姫
ਗਾਂਧੀਨਗਰ	ガンディーナガル
ਪੀ. ਏਸ. ਵੀ. ਏਇਂਧੋਵੇਨ	PSVアイントホーフェン
ਪ੍ਰਕਾਸ਼ ਸੰਸਲੇਸ਼ਣ	光合成
ਪ੍ਰਜਨਨ	生殖
ਸ਼ਾਹਬਲੂਤ	オーク
ਤਹਿਰੀਰ ਚੌਕ	タハリール広場
ਰਾਜਫੋੜਾ	悪性腫瘍
ਅਰਨੈਸਟੋ ਟੇਓਡੋਰੋ ਮੋਨੇਟਾ	エルネスト・テオドロ・モネータ
ਜੀਨ ਹੈਨਰੀ ਡੁਨਾਂਟ	アンリ・デュナン
ਤਲਵਾਰਬਾਜ਼ੀ	フェンシング
ਕਣਕ	コムギ
ਆਦਰਾ	ベテルギウス
ਜੁਕਾਮ	風邪
ਜੰਤਰੀ	暦
ਬੋਲਾਪਣ	ろう者
ਮਨੋਵਿਕਾਰ	精神障害
ਰੋਗ	病気
ਗ੍ਰੈਗੋਰੀਅਨ ਕਲੰਡਰ	グレゴリオ暦
ਸਮਾਂ ਖੇਤਰ	時間帯 (標準時)
ਸਿਹਤ	健康
ਦਿਲ ਦਾ ਦੌਰਾ	心筋梗塞
ਤੂਤਨਖ਼ਾਮੁਨ	ツタンカーメン
ਮਲੇਰੀਆ	マラリア
ਰੋਹੀਣੀ ਤਾਰਾ	アルデバラン
ਮੁਟਾਪਾ	肥満
ਮਿੱਤਰ ਤਾਰਾ	ケンタウルス座アルファ星
ਬੈਕਟੀਰੀਆ-ਵਿਰੋਧੀ ਦਵਾਈ	抗生物質
ਕੈਨੋਪਸ	カノープス
ਨੌਂਤ	ナント
ਏਡਜ਼	後天性免疫不全症候群
ਟੀਬੀ	結核
ਸ਼ੱਕਰ ਰੋਗ	糖尿病
ਚੇਚਕ	天然痘
ਕੁਰਦ ਲੋਕ	クルド人
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਆਈਸਲੈਂਡ	Template:Location map Iceland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵੀਡਨ	Template:Location map Sweden
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਫ਼ਿਨਲੈਂਡ	Template:Location map Finland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਸਤੋਨੀਆ	Template:Location map Estonia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਆਇਰਲੈਂਡ	Template:Location map Ireland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Template:Location map United Kingdom
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਫ਼ਰਾਂਸ	Template:Location map France
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅੰਡੋਰਾ	Template:Location map Andorra
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਪੇਨ	Template:Location map Spain
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਟਲੀ	Template:Location map Italy
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵਿਟਜ਼ਰਲੈਂਡ	Template:Location map Switzerland
ਉਸਾਰੀ ਕਲਾ	建築
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵਾਕੀਆ	Template:Location map Slovakia
ਪੁਲ	橋
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹੰਗਰੀ	Template:Location map Hungary
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵੇਨੀਆ	Template:Location map Slovenia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕ੍ਰੋਏਸ਼ੀਆ	Template:Location map Croatia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਸੋਵੋ ਗਣਰਾਜ	Template:Location map Kosovo
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਂਟੇਨੇਗਰੋ	Template:Location map Montenegro
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Template:Location map Republic of Macedonia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅਲਬਾਨੀਆ	Template:Location map Albania
ਵਿਲਾਰਿਆਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	ビジャレアルCF
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੁਲਗਾਰੀਆ	Template:Location map Bulgaria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਰੋਮਾਨੀਆ	Template:Location map Romania
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਲਦੋਵਾ	Template:Location map Moldova
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਯੂਕਰੇਨ	Template:Location map Ukraine
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੈਲਾਰੂਸ	Template:Location map Belarus
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਾਰਜੀਆ	Template:Location map Georgia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤੁਰਕਮੇਨਿਸਤਾਨ	Template:Location map Turkmenistan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਉਜ਼ਬੇਕਿਸਤਾਨ	Template:Location map Uzbekistan
ਬੰਨ੍ਹ	ダム
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਿਰਗਿਜ਼ਸਤਾਨ	Template:Location map Kyrgyzstan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤਾਜਿਕਿਸਤਾਨ	Template:Location map Tajikistan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਾਈਪ੍ਰਸ	Template:Location map Cyprus
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੀਰੀਆ	Template:Location map Syria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲਿਬਨਾਨ	Template:Location map Lebanon
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਜ਼ਰਾਈਲ	Template:Location map Israel
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਾਰਡਨ	Template:Location map Jordan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਰਾਨ	Template:Location map Iran
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੁਵੈਤ	Template:Location map Kuwait
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਾਊਦੀ ਅਰਬ	Template:Location map Saudi Arabia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਹਿਰੀਨ	Template:Location map Bahrain
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਤਰ	Template:Location map Qatar
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	Template:Location map United Arab Emirates
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਓਮਾਨ	Template:Location map Oman
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਯਮਨ	Template:Location map Yemen
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪਾਕਿਸਤਾਨ	Template:Location map Pakistan
