Afraga	アフリカ
Aiseal	軸 (機械要素)
1400an	1400年代
Cunbhal	定数
Sioman	電線
Eilean Cheap Bhreatainn	ケープ・ブレトン島
140an	140年代
Ceithir dùil phrìomh-shamhlach	四大元素
1410an	1410年代
Pangram	パングラム
Sephaniah	ゼファニヤ書
Curran geal	パースニップ
Anaconda	アナコンダ
Cagailt	暖炉
Achadh	畑
1430an	1430年代
Ròs-chraobh	ツツジ
Fàsach Sonora	ソノラ砂漠
Vladimir Voronin	ウラジーミル・ヴォローニン
Oilthigh Jagiellonian	ヤギェウォ大学
Yossi Benayoun	ヨッシ・ベナユン
18mh linn RC	紀元前18世紀
Theodore William Richards	セオドア・リチャーズ
Rèabhlaid Ghlòrmhor	名誉革命
Aol-tàthaidh	モルタル
Contae Aontroma	アントリム州
Keith Richards	キース・リチャーズ
Arthur Harden	アーサー・ハーデン
Aonaran	隠者
1460an	1460年代
Alice in Wonderland (film 1951)	ふしぎの国のアリス
Siorrachd Obar Dheathain	アバディーンシャー
Iain Knox	ジョン・ノックス
Ùth	乳腺
Sligeach	スライゴ
1470an	1470年代
Hare Krishna	クリシュナ意識国際協会
John Paul Jones	ジョン・ポール・ジョーンズ (ミュージシャン)
1480an	1480年代
Willard Frank Libby	ウィラード・リビー
Henrik Carl Peter Dam	カール・ピーター・ヘンリク・ダム
Christopher Plummer	クリストファー・プラマー
Aaron Klug	アーロン・クルーグ
Contae Fhear Manach	ファーマナ州
Contae an Dúin	ダウン州
1490an	1490年代
Famke Janssen	ファムケ・ヤンセン
Bòtann	ブーツ
Gary Becker	ゲーリー・ベッカー
Edward Sapir	エドワード・サピア
Tunna	トン
BBC a h-aon	BBC One
Pàipear-balla	壁紙
Santo André	サントアンドレ
Clavichord	クラヴィコード
Bàta-slaodaidh	タグボート
Taoiseach	アイルランドの首相
Abhainn Mhagdalena	マグダレナ川
Bhàsa	花瓶
150an	150年代
Don Giovanni	ドン・ジョヴァンニ
Uèir-bhiorach	有刺鉄線
Aillse chraicinn	皮膚がん
Crudha	蹄鉄
Contae Dhoire	ロンドンデリー州
Contae Thír Eoghain	ティロン州
Guido da Arezzo	グイード・ダレッツォ
1520an	1520年代
Nathair-uisge	ヒドラ (生物)
Breabadair	織り
Mac an aba	薬指
1530an	1530年代
Boulder, Colorado	ボルダー (コロラド州)
Canari	カナリア
Fuerteventura	フエルテベントゥラ島
Streymoy	ストレイモイ島
Daibhidh Trimble	デヴィッド・トリンブル
Edmund Phelps	エドムンド・フェルプス
Hyères	イエール (ヴァール県)
Simon Kuznets	サイモン・クズネッツ
Dreuchdan	職業
Duffy	ダフィー (歌手)
Kenneth Arrow	ケネス・アロー
C.B. Hibernian	ハイバーニアンFC
George A. Olah	ジョージ・オラー
Clannad	クラナド
Tràth làthaireach	現在時制
Bràigh (duine)	人質
The Yardbirds	ヤードバーズ
Contae Ard Mhacha	アーマー州
Oilthigh Ghlaschu	グラスゴー大学
Nokia (baile)	ノキア (都市)
C.B. Dùn Dèagh Aonaichte	ダンディー・ユナイテッドFC
Jan Palach	ヤン・パラフ
Cathair Luail	カーライル (イングランド)
1550an	1550年代
Marajó	マラジョ島
Spiorad	精神
Beul-an-latha	天体の出没
Ard Mhacha	アーマー
Noel Gallagher	ノエル・ギャラガー
A Night at the Opera	オペラ座の夜
1560an	1560年代
Oilthigh Phadua	パドヴァ大学
Achd an Aonaidh	連合法 (1707年)
Dlighe Charles	シャルルの法則
Pàirc Hampden	ハムデン・パーク
Henry Temple, 3rd Viscount Palmerston	ヘンリー・ジョン・テンプル (第3代パーマストン子爵)
James McAvoy	ジェームズ・マカヴォイ
1570an	1570年代
Sugababes	シュガーベイブス
Gath na grèine	太陽光
Leaba chrochta	ハンモック
Live 8	LIVE 8
Bruis-pheant	画筆
Neasgaid	せつ
Urchasg	解毒剤
Uaireadair-uisge	水時計
Cola	コル島
Linne Salmhaigh	ソルウェー湾
Monroe County, Michigan	モンロー郡 (ミシガン州)
1620an	1620年代
Yuba County, Calafòrnia	ユバ郡
1630an	1630年代
1640an	1640年代
1650an	1650年代
1660an	1660年代
1670an	1670年代
Aisean	肋骨
1690an	1690年代
1710an	1710年代
1720an	1720年代
Ziebach County, Dakota a Deas	ジーバック郡 (サウスダコタ州)
1760an	1760年代
Coloimbia Mhòr	大コロンビア
Magdalena (Roinn)	マグダレーナ県
1790an	1790年代
Hamilton, Sealainn Nuadh	ハミルトン (ニュージーランド)
Dòbhran	カワウソ
Eilean Bhanks	バンクス島
Àrd-bhaile	メトロポリス
Kamakura	鎌倉市
Roger Y. Tsien	ロジャー・Y・チエン
180an	180年代
James Caviezel	ジェームズ・カヴィーゼル
Eysturoy	エストゥロイ島
Châtenay-Malabry	シャトネ＝マラブリー
Perquimans County, Carolina a Tuath	パーキマンス郡 (ノースカロライナ州)
Cliabh	籠
Anna na Breatainn Bheag	アンヌ・ド・ブルターニュ
Fìobha	ファイフ
Kohtla-Järve	コフトラ＝ヤルヴェ
Edward Said	エドワード・サイード
Nori	海苔
Piast	ピャスト朝
Alter ego	オルター・エゴ
La Palma (eilean)	ラ・パルマ島
Dealg	棘 (植物)
David Hasselhoff	デビッド・ハッセルホフ
Herm	ハーム島
Foghar (cànanachas)	単音
Linn Giùdain	フォース湾
C.B. Cridhe Mheadhan-Lodainn	ハート・オブ・ミドロシアンFC
Robert Grubbs	ロバート・グラブス
Yves Chauvin	イヴ・ショーヴァン
Lagh Gay-Lussac	ゲイ＝リュサックの法則
Gary Speed	ガリー・スピード
Còigeamhan na h-Èireann	アイルランドの地方
Richard Schrock	リチャード・シュロック
Borðoy	ボルウォイ島
Comhairle Earra-Ghàidheal is Bhòid	アーガイル・アンド・ビュート
Comhairle Aonghais	アンガス (スコットランド)
The Rescuers Down Under	ビアンカの大冒険 ゴールデン・イーグルを救え!
Adag	コダラ
Walworth County, Wisconsin	ウォルワース郡 (ウィスコンシン州)
Gruag bhàn	金髪
Wyclef Jean	ワイクリフ・ジョン
Bheat	獣医師
Peairt	パース (スコットランド)
Napier, Sealainn Nuadh	ネーピア
Saint John, Brunswick Nuadh	セントジョン (ニューブランズウィック州)
Manuel Azaña Díaz	マヌエル・アサーニャ
Modesto, Calafòrnia	モデスト
Walter Norman Haworth	ウォルター・ハース
Sìobar-spàs	サイバースペース
Ball-coise Gàidhealach	ゲーリックフットボール
Being	ベンチ
Eigir	エーギル
Dìcheannachadh	斬首刑
Lodainn an Iar	ウェスト・ロージアン
Brian Jones	ブライアン・ジョーンズ
Bogha (ceòl)	ボウイング
Dún Dealgan	ダンドーク
Vézelay (Yonne)	ヴェズレー
Protractair	分度器
Naomh Crìstean (eilean)	セントクリストファー島
Talking Heads	トーキング・ヘッズ
The Flowers of Romance	フラワーズ・オブ・ロマンス
Osamu Shimomura	下村脩
James Buchanan (eaconomaiche)	ジェームズ・M・ブキャナン
Tenacious D	テネイシャスD
Bloc Party	ブロック・パーティ
Aspen, Colorado	アスペン (コロラド州)
Franco Modigliani	フランコ・モディリアーニ
Lancaster	ランカスター (イングランド)
Tàrmachan	ライチョウ
190an	190年代
Sgeir Rocail	ロッコール島
Pàrlamaid na h-Alba	スコットランド議会
Bith-mhoileciuil	生体物質
Thomas Schelling	トーマス・シェリング
Abeokuta	アベオクタ
Stuth-togail	建築材料
Nelson, Sealainn Nuadh	ネルソン (ニュージーランド)
Redon	ルドン (イル＝エ＝ヴィレーヌ県)
Comhairle Shiorrachd Àir a Tuath	ノース・エアシャー
Lítla Dímun	小ドゥイムン島
Meadhan Lodainn	ミッドロージアン
Comhairle Shiorrachd Lannraig a Tuath	ノース・ラナークシャー
Sir Fynwy	モンマスシャー
Comhairle Lodainn an Ear	イースト・ロージアン
Siorrachd Chlach Mhanainn	クラックマナンシャー
Isambard Kingdom Brunel	イザムバード・キングダム・ブルネル
Innis (eilean)	島嶼
Sylvia Kristel	シルビア・クリステル
Comhairle Pheairt is Cheann Rois	パース・アンド・キンロス
Cill Rìmhinn	セント・アンドルーズ
Tauranga	タウランガ
Feur	芝
Nibheis	ネイビス島
Cumadh	形態
Peter D. Mitchell	ピーター・ミッチェル
Fellowship of the Ring (leabhar)	旅の仲間
Comhairle Dhùn Bhreatainn an Iar	ウェスト・ダンバートンシャー
Trygve Haavelmo	トリグヴェ・ホーヴェルモ
Galar iomallach na pearsantachd	境界性パーソナリティ障害
Comhairle Inbhir Chluaidh	インヴァークライド
Flùr na h-Alba	スコットランドの花
Comhairle na Gàidhealtachd	ハイランド
Fàsach Araibianach	アラビア砂漠
Sandoy	サンドイ島
Hestur	ヘストゥル島
Bàgh na h-Eaglaise	カークウォール
Koltur	コルトゥル島
Sgrab	マンクスミズナギドリ
William Pitt, 1ad Iarla Chatham	ウィリアム・ピット (初代チャタム伯爵)
Gilbert N. Lewis	ギルバート・ルイス
Loch Laomainn	ローモンド湖
Rotorua	ロトルア
Santa Marta (baile)	サンタ・マルタ (コロンビア)
Comhairle Shiorrachd Àir a Deas	サウス・エアシャー
Comhairle Shiorrachd Àir an Ear	イースト・エアシャー
Comhairle Shiorrachd Lannraig a Deas	サウス・ラナークシャー
Appenzell	アッペンツェル
Oxnard, Calafòrnia	オックスナード (カリフォルニア州)
Brùchd	げっぷ
Beul-aithris	口承
Sgadan	ニシン属
Fugloy	フグロイ島
Fiodh almhaig	ビャクダン
Balla Antonine	アントニヌスの長城
Gérard Debreu	ジェラール・ドブルー
C.B. Cille Mheàrnaig	キルマーノックFC
Comhairle Shiorrachd Rinn Friù	レンフルーシャー
Ronnie Wood	ロン・ウッド
Finn E. Kydland	フィン・キドランド
Fulangach (gràmar)	態
Comhairle Mhoireibh	マレー (スコットランド)
Alasdair III na h-Alba	アレグザンダー3世 (スコットランド王)
Comhairle nan Crìochan	スコティッシュ・ボーダーズ
Òr-cheàrdaichean	金細工職人
Ruaraidh MacFhionghain	ロデリック・マキノン
Garaids	ガレージロック
Rìgh Seumas VIII Alba agus III Shasainn	ジェームズ・フランシス・エドワード・ステュアート
Alexandrine	アレクサンドラン
Ceatharlach	カーロウ
200an	200年代
James Tobin	ジェームズ・トービン
Fàsach Shimpson	シンプソン砂漠
Pàislig	ペイズリー (イギリス)
Arainn	アラン島 (スコットランド)
Bangor	バンゴール
Comhairle Dhùn Bhreatainn an Ear	イースト・ダンバートンシャー
Comhairle Shiorrachd Rinn Friù an Ear	イースト・レンフルーシャー
Auld Lang Syne	オールド・ラング・サイン
Dùn Phàrlain	ダンファームリン
Cù Chullain	クー・フーリン
Kunoy	クノイ島
Kalsoy	ケァルソイ島
Caisteal Dhùn Éideann	エディンバラ城
Roger Ebert	ロジャー・イーバート
P. W. Botha	ピーター・ウィレム・ボータ
Palmerston North	パーマストンノース
Fawlty Towers	フォルティ・タワーズ
Wadowice	ヴァドヴィツェ
20an RC	紀元前20年代
Na Seumasaich	ジャコバイト
New Plymouth, Sealainn Nuadh	ニュープリマス
Briogais-snàmh	水着
Santa Rosa, Calafòrnia	サンタローザ (カリフォルニア州)
Antidorcas marsupialis	スプリングボック
Aberystwyth	アベリストウィス
Clamecy (Nièvre)	クラムシー (ニエーヴル県)
Sir Benfro	ペンブルックシャー
Mykines	ミキネス島
Liùrabhaig	ラーウィック
210an	210年代
Rutger Hauer	ルトガー・ハウアー
Uachtaran	アイルランドの大統領
Tom Selleck	トム・セレック
Camanachd Èireannach	ハーリング
Buain	収穫
The Hunchback of Notre Dame (film 1996)	ノートルダムの鐘
Rìghrean na h-Alba	スコットランド君主一覧
Adolfo Suárez y González	アドルフォ・スアレス
Andy Williams	アンディ・ウィリアムス
220an	220年代
Leticia (baile)	レティシア
An Cabhán	キャバン
Ceannaiche	商人
Roinnean ann an Coloimbia	コロンビアの行政区画
230an	230年代
Carabhan	キャンピングトレーラー
Stràc gheur	アキュート・アクセント
Charlie Watts	チャーリー・ワッツ
Plastair	絆創膏
Bàrc	バーク
BBC a dhà	BBC Two
Hilo, Hawaii	ヒロ (ハワイ島)
Oilthigh Chill Rìmhinn	セント・アンドルーズ大学 (スコットランド)
Eun-turais	渡り鳥
Fianna Fáil	フィアナ・フォイル
C.B. Tobar na Màthar	マザーウェルFC
Basgaid-sgudail	ごみ箱
Sam Houston	サミュエル・ヒューストン
Caibe	鋤
Daibhidh I na h-Alba	デイヴィッド1世 (スコットランド王)
Breacan	タータン
Comhairle na h-Eaglaise Brice	フォルカーク (カウンシル・エリア)
Cúcuta	ククタ
N.W.A.	N.W.A. (ヒップホップグループ)
Oliver & Company	オリバー ニューヨーク子猫ものがたり
240an	240年代
Yr Wyddfa	スノードン山
Richard Trevithick	リチャード・トレビシック
Ùrlar	床
David Letterman	デイヴィッド・レターマン
Ithaca, Eabhraig Nuadh	イサカ (ニューヨーク州)
Florence and the Machine	フローレンス・アンド・ザ・マシーン
Walter Gilbert	ウォルター・ギルバート
Kenichi Fukui	福井謙一
Fir-thàileisg Leòdhais	ルイス島のチェス駒
Ceredigion	ケレディジョン
Grianaig	グリーノック
Comhairle Shruighlea	スターリング (カウンシル・エリア)
Sir Gaerfyrddin	カーマーゼンシャー
250an	250年代
Halifax	ハリファックス (曖昧さ回避)
C.B. na h-Eaglaise Brice	フォルカークFC
Pietrasanta	ピエトラサンタ
260an	260年代
Fayetteville, Arkansas	フェイエットビル (アーカンソー州)
Oilthigh Washington	ワシントン大学 (ワシントン州)
Na Deuchainnean na Buidseachd Salem	セイラム魔女裁判
Robert Mundell	ロバート・マンデル
George Canning	ジョージ・カニング
Richard Stone	リチャード・ストーン
270an	270年代
Hunter S. Thompson	ハンター・S・トンプソン
Fiodh-fillte	合板
Daviess County, Indiana	デイビーズ郡 (インディアナ州)
Sgoil Eòlas an Oirthir agus Afraga	東洋アフリカ研究学院
Bàirneach	蔓脚類
Roquebrune-Cap-Martin	ロクブリュヌ＝カップ＝マルタン
Charles Rennie Mackintosh	チャールズ・レニー・マッキントッシュ
The Killers	ザ・キラーズ
280an	280年代
Pío Baroja	ピオ・バローハ
Anggun	アングン
290an	290年代
Bearnard	ベルナルド
Còrnaich	コーンウォール人
Blàr Allt a' Bhonnaich	バノックバーンの戦い
George Akerlof	ジョージ・アカロフ
Itapúa	イタプア県
Tè-bhuairidh	ファム・ファタール
Arm na Breatainne	イギリス陸軍
Seumas III Alba	ジェームズ3世 (スコットランド王)
Ibagué	イバゲ
Muir-seilche	カメ
Cogadh Chaco	チャコ戦争
Casper, Wyoming	キャスパー (ワイオミング州)
Barraigh	バラ島
300an	300年代
Robert Bruce Merrifield	ロバート・メリフィールド
30an RC	紀元前30年代
310an	310年代
Nelson	ネルソン
Fe	FE
BMI	BMI
320an	320年代
Henrik Pontoppidan	ヘンリク・ポントピダン
Riverside	リバーサイド
Aodh Mór Ó Néill	ヒュー・オニール (第2代ティロン伯)
330an	330年代
340an	340年代
Carl Friedrich Georg Spitteler	カール・シュピッテラー
Lùdag	小指
Creithleag-nan-each	アブ科
Neach-iùil	車掌
Rub' al Khali	ルブアルハリ砂漠
Cuthag-bhogaidh	セキレイ
Nariño (Roinn)	ナリーニョ県
Arauca (Roinn)	アラウカ県
Chocó (Roinn)	チョコ県
Bolívar (Roinn)	ボリーバル県 (コロンビア)
Cauca (Roinn)	カウカ県
Caldas (Roinn)	カルダス県
Edward Doisy	エドワード・アダルバート・ドイジー
Irwin Rose	アーウィン・ローズ
Atlántico (Roinn)	アトランティコ県
Ball-lìn	ネットボール
Jacques Monod	ジャック・モノー
400an	400年代
Acton	アクトン
Michael Smith	マイケル・スミス (化学者)
John Cowdery Kendrew	ジョン・ケンドリュー
Avram Hershko	アブラム・ハーシュコ
40an RC	紀元前40年代
Robert Burns Woodward	ロバート・バーンズ・ウッドワード
Rem Koolhaas	レム・コールハース
Carice van Houten	カリス・ファン・ハウテン
410an	410年代
Cundinamarca (Roinn)	クンディナマルカ県
Roger Myerson	ロジャー・マイヤーソン
Putumayo (Roinn)	プトゥマヨ県
Arne Wilhelm Kaurin Tiselius	ウィルヘルム・ティセリウス
Eric Maskin	エリック・マスキン
Norte de Santander (Roinn)	ノルテ・デ・サンタンデール県
Peoria, Illinois	ピオリア (イリノイ州)
420an	420年代
Aaron Ciechanover	アーロン・チカノーバー
Robert Sanderson Mulliken	ロバート・マリケン
Laoidh Nàiseanta Choloimbia	コロンビアの国歌
Gisborne, Sealainn Nuadh	ギズボーン (ニュージーランド)
430an	430年代
Rockford, Illinois	ロックフォード (イリノイ州)
Theodore W. Schultz	セオドア・シュルツ
Daniel Kahneman	ダニエル・カーネマン
John A. Pople	ジョン・ポープル
Luis F. Leloir	ルイ・ルロワール
Spencer Perceval	スペンサー・パーシヴァル
Erie, Pennsylvania	エリー (ペンシルベニア州)
Biadh Seapanach	日本料理
Giulio Natta	ジュリオ・ナッタ
Adhaltranas	姦通罪
440an	440年代
Tolima (Roinn)	トリマ県
Vaupés (Roinn)	バウペス県
Cecilia Payne-Gaposchkin	セシリア・ペイン＝ガポーシュキン
Córdoba (Roinn)	コルドバ県 (コロンビア)
Cesar (Roinn)	セサール県
Huila (Roinn)	ウイラ県
450an	450年代
Aingeal	天使
Santander (Roinn)	サンタンデール県 (コロンビア)
Miso	味噌
John E. Walker	ジョン・E・ウォーカー
Sucre (Roinn)	スクレ県
Manizales (baile)	マニサレス
Clash of Civilizations	文明の衝突
Seumas I, Rìgh Alba	ジェームズ1世 (スコットランド王)
460an	460年代
Bòrd-dubh	黒板
Fisting	フィストファック
Ronald George Wreyford Norrish	ロナルド・ノーリッシュ
James Meade	ジェイムズ・ミード
Henry Taube	ヘンリー・タウベ
470an	470年代
Calum Cille	コルンバ
Ubhal-ghort	果樹園
Dùthchannan Ceilteach	ケルト国
Tunja	トゥンハ
480an	480年代
Lucía Etxebarría	ルシア・エチェバリア
Feamainn	海藻
Dubravka Ugrešić	ドゥブラヴカ・ウグレシィチ
490an	490年代
Robert Fogel	ロバート・フォーゲル
John C. Polanyi	ジョン・ポラニー
Edward Smith-Stanley, 14th Earl of Derby	エドワード・スミス＝スタンリー (第14代ダービー伯爵)
Seòras Santayana	ジョージ・サンタヤーナ
Alasdair II na h-Alba	アレグザンダー2世 (スコットランド王)
Meta (Roinn)	メタ県
William Cavendish, 4th Duke of Devonshire	ウィリアム・キャヴェンディッシュ (第4代デヴォンシャー公爵)
Guainía (Roinn)	グアイニア県
Mary Mallon	メアリー・マローン
Dolores Ibárruri	ドロレス・イバルリ
Sacagawea	サカガウィア
Rudolph A. Marcus	ルドルフ・マーカス
Daibhidh II, Rìgh Alba	デイヴィッド2世 (スコットランド王)
Page County, Iowa	ページ郡 (アイオワ州)
500an	500年代
Dessau-Roßlau	ナタリー・デセイ
Provençal	プロヴァンス語
Orhan Pamuk	オルハン・パムク
50an RC	紀元前50年代
510an	510年代
Carpineto Romano	カルピネート・ロマーノ
Cinn Tìre	キンタイア
Castel Gandolfo	カステル・ガンドルフォ
520an	520年代
530an	530年代
Naperville, Illinois	ネイパービル (イリノイ州)
Poli	ポーリ
Yuan T. Lee	李遠哲
Douglass North	ダグラス・ノース
Dudley R. Herschbach	ダドリー・ハーシュバック
540an	540年代
George J. Stigler	ジョージ・スティグラー
Robert Gascoyne-Cecil, 3rd Marquess of Salisbury	ロバート・ガスコイン＝セシル (第3代ソールズベリー侯)
550an	550年代
Bucaramanga	ブカラマンガ
Bàrd Spàinnteach Antonio Machado	アントニオ・マチャード
560an	560年代
Banntach	蝶番
Ken Kesey	ケン・キージー
MacBheatha na h-Alba	マクベス (スコットランド王)
570an	570年代
Bolgan	バルブ (曖昧さ回避)
George Grenville	ジョージ・グレンヴィル
Archibald Primrose, 5th Earl of Rosebery	アーチボルド・プリムローズ (第5代ローズベリー伯爵)
580an	580年代
Henry Pelham	ヘンリー・ペラム
Bòdhran	バウロン
Charles J. Pedersen	チャールズ・ペダーセン
590an	590年代
William Styron	ウィリアム・スタイロン
600an	600年代
Fine Gael	フィナ・ゲール
Meade County, Kansas	ミード郡 (カンザス州)
60an RC	紀元前60年代
610an	610年代
Sherman County, Kansas	シャーマン郡 (カンザス州)
Ball-coise Canaidianach	カナディアンフットボール
620an	620年代
Companaidh Obrachaidh Trèanaichean	鉄道事業者
Winnebago County, Iowa	ウィネベーゴ郡 (アイオワ州)
800an	800年代
Stafa	スタファ島
Aol	石灰
Sgioba nàiseanta rugbaidh na Portagail	ラグビーポルトガル代表
Sgioba nàiseanta rugbaidh na Spàinne	ラグビースペイン代表
630an	630年代
Hawke's Bay Region	ホークス・ベイ地方
640an	640年代
Jefferson County, Oregon	ジェファーソン郡 (オレゴン州)
650an	650年代
Perry County, Alabama	ペリー郡 (アラバマ州)
660an	660年代
Brìghde	ブリギッド
670an	670年代
Liberty County, Florida	リバティ郡 (フロリダ州)
Hamilton County, Florida	ハミルトン郡 (フロリダ州)
Jefferson County, Kansas	ジェファーソン郡 (カンザス州)
Kaitaia	カイタイア
Caergybi	ホリーヘッド
690an	690年代
Bainsiò	バンジョー
Ralls County, Missouri	ラルズ郡 (ミズーリ州)
Buidseachd	ウィッチクラフト
Grundy County, Illinois	グランディ郡 (イリノイ州)
700an	700年代
Lauderdale County, Alabama	ローダーデール郡 (アラバマ州)
70an	70年代
An Tìr Glan	浄土教
70an RC	紀元前70年代
710an	710年代
Manatee County, Florida	マナティ郡 (フロリダ州)
720an	720年代
Washington County, Florida	ワシントン郡 (フロリダ州)
Monroe County, Florida	モンロー郡 (フロリダ州)
730an	730年代
Hancock County, Illinois	ハンコック郡 (イリノイ州)
740an	740年代
Cnàmh	骨
750an	750年代
760an	760年代
Kingfisher County, Oklahoma	キングフィッシャー郡 (オクラホマ州)
Bataraidh	電池
770an	770年代
Bòrd	板
Vichada (Roinn)	ビチャーダ県
780an	780年代
Montgomery County, Kentucky	モンゴメリー郡 (ケンタッキー州)
Seòras V	ジョージ5世 (イギリス王)
790an	790年代
Iúr Cinn Trá	ニューリー
Spencer Compton, 1st Earl of Wilmington	スペンサー・コンプトン (初代ウィルミントン伯)
Oilthigh Obar Dheathain	アバディーン大学
80an	80年代
80an RC	紀元前80年代
810an	810年代
Glenn County, Calafòrnia	グレン郡 (カリフォルニア州)
Colusa County, Calafòrnia	コルサ郡 (カリフォルニア州)
Calaveras County, Calafòrnia	カラベラス郡 (カリフォルニア州)
820an	820年代
Fresno County, Calafòrnia	フレズノ郡 (カリフォルニア州)
Eddie van Halen	エドワード・ヴァン・ヘイレン
830an	830年代
Craobhlann	樹木園
840an	840年代
Marcus Garvey	マーカス・ガーベイ
Taibhse an Opra	オペラ座の怪人
Harry Markowitz	ハリー・マーコウィッツ
John Harsanyi	ジョン・ハーサニ
Joseph Black	ジョゼフ・ブラック
Dasht-e Kavir	カヴィール砂漠
Kasabian	カサビアン
Sir Arthur Lewis	アーサー・ルイス
Ténéré	テネレ
Mu (tìr)	ムー大陸
Fàsach Ghibson	ギブソン砂漠
850an	850年代
La Guajira (Roinn)	ラ・グアヒーラ県
Seumas II Alba	ジェームズ2世 (スコットランド王)
Guaviare (Roinn)	グアビアーレ県
Ceàrn dearg	風俗街
Ionmhas	宝
Bean-shìdh	バンシー
Leopoldo Calvo-Sotelo y Bustelo	レオポルド・カルボ＝ソテーロ
Roald Hoffmann	ロアルド・ホフマン
Partan tuathal	ヤドカリ
Rapunsail	ラプンツェル
Urk	ユルク
Thomas Pelham-Holles, 1st Duke of Newcastle-upon-Tyne	トマス・ペラム＝ホールズ (初代ニューカッスル公)
Aparan	エプロン
William Sharpe	ウィリアム・フォーサイス・シャープ
Geoffrey Wilkinson	ジェフリー・ウィルキンソン
Loreena McKennitt	ロリーナ・マッケニット
900an	900年代
90an	90年代
910an	910年代
Uilebheist	怪物
Sgioba nàiseanta rugbaidh na h-Uruguaidh	ラグビーウルグアイ代表
Seumas Mac an Deòir	ジェイムズ・デュワー
Rùm	ラム島 (スコットランド)
San José de David	ダビッド (パナマ)
Jim Hogg County, Texas	ジムホッグ郡 (テキサス州)
Seminole County, Florida	セミノール郡 (フロリダ州)
Seòras VI	ジョージ6世 (イギリス王)
Grant County, Washington	グラント郡 (ワシントン州)
Cosgais cuairt-bheatha	ライフサイクルコスト
Acarsaid	泊地
Nicholas County, Virginia an Iar	ニコラス郡 (ウェストバージニア州)
Lafayette, Calafòrnia	ラファイエット (カリフォルニア州)
Wright County, Missouri	ライト郡 (ミズーリ州)
Latah County, Idaho	レイタ郡 (アイダホ州)
Augusta County, Virginia	オーガスタ郡 (バージニア州)
Robert Merton	ロバート・マートン
Carl Reiner	カール・ライナー
Adhbharachas	不可知論
Emily Carr	エミリー・カー
Maries County, Missouri	マリーズ郡 (ミズーリ州)
Étretat	エトルタ
Gaidhealtachd Innis Tìle	アイスランド中央高地
Martin Landau	マーティン・ランドー
Iain Stiubhart, 3mh Iarla Bhoid	ジョン・ステュアート (第3代ビュート伯)
Charles Grey, 2nd Earl Grey	チャールズ・グレイ (第2代グレイ伯爵)
Raibeart III, Rìgh Alba	ロバート3世 (スコットランド王)
Myron Scholes	マイロン・ショールズ
Robert F. Engle	ロバート・エングル
William Vickrey	ウィリアム・ヴィックリー
Vernon Smith	バーノン・スミス
Lawrence Klein	ローレンス・クライン
Dare County, Carolina a Tuath	デア郡 (ノースカロライナ州)
Sgiath	ウイング
Alistair Darling	アリスター・ダーリング
Hendrik Verwoerd	ヘンドリック・フルウールト
Coinneach I na h-Alba	ケネス1世 (スコットランド王)
Lincoln County, Oregon	リンカーン郡 (オレゴン州)
Talladega County, Alabama	タラデガ郡 (アラバマ州)
Sherman County, Oregon	シャーマン郡 (オレゴン州)
Lee County, Carolina a Deas	リー郡 (サウスカロライナ州)
Miami County, Indiana	マイアミ郡 (インディアナ州)
Skamania County, Washington	スカマニア郡
Quidditch	クィディッチ
James Gandolfini	ジェームズ・ギャンドルフィーニ
Cupa na h-Alba (Ball-coise)	スコティッシュカップ
Jean-Claude Van Damme	ジャン＝クロード・ヴァン・ダム
Oilthigh Shalamanca	サラマンカ大学
C.B. Cluaran Cailleannach Inbhir Nis	インヴァネス・カレドニアン・シッスルFC
Crogall	クロコダイル属
Prionnsalachd Schaumburg-Lippe	シャウムブルク＝リッペ侯国
Henri Victor Regnault	アンリ・ヴィクトル・ルニョー
Lüneburger Heide	リューネブルガーハイデ
Mariana na h-Ostaire	マリアナ・デ・アウストリア
Fachach	ツノメドリ属
Costilla County, Colorado	コスティラ郡 (コロラド州)
Cheyenne County, Colorado	シャイアン郡 (コロラド州)
Sedgwick County, Colorado	セジウィック郡 (コロラド州)
Faoiteag	タカラガイ
Delta County, Colorado	デルタ郡 (コロラド州)
Custer County, Colorado	カスター郡 (コロラド州)
Andy Griffith	アンディ・グリフィス
Crowley County, Colorado	クロウリー郡 (コロラド州)
Dolores County, Colorado	ドロレス郡 (コロラド州)
Phillips County, Colorado	フィリップス郡 (コロラド州)
Summit County, Colorado	サミット郡 (コロラド州)
Conejos County, Colorado	コネホス郡 (コロラド州)
Logan County, Colorado	ローガン郡 (コロラド州)
Mineral County, Colorado	ミネラル郡 (コロラド州)
Pitkin County, Colorado	ピトキン郡 (コロラド州)
Washington County, Colorado	ワシントン郡 (コロラド州)
Montezuma County, Colorado	モンテズマ郡 (コロラド州)
Otero County, Colorado	オテロ郡 (コロラド州)
Bill Wyman	ビル・ワイマン
Daniel McFadden	ダニエル・マクファデン
James Heckman	ジェームズ・ヘックマン
Seumas Mac a' Phearsain	ジェイムズ・マクファーソン (詩人)
Saguache County, Colorado	サワチ郡 (コロラド州)
Douglas Haig	ダグラス・ヘイグ
William Lamb, 2na Biocas Melbourne	ウィリアム・ラム (第2代メルバーン子爵)
Robert Jenkinson, 2na Iarla de Pholl a' Ghrùthain	ロバート・ジェンキンソン (第2代リヴァプール伯爵)
Johan Gadolin	ヨハン・ガドリン
