आफ्रिकाखण्डः	アフリカ
ओट्टो वॉन बिस्मार्क	オットー・フォン・ビスマルク
तैमुरलंग	ティムール
पीटर महान (रूस)	ピョートル1世
काफीपेयम्	コーヒー
फलरसः	ジュース
क्षीरम्	乳
पर्वताः	山
मरुस्थलीयभूमिः	砂漠
सलाउद्दीन	サラーフッディーン
अशोकः	アショーカ王
अक्बरः	アクバル
साइमन बोलीवार	シモン・ボリバル
क्वामे एन्क्रूमाह	クワメ・エンクルマ
हांग् कांग् नगरम्	香港
कराची	カラチ
अरब-इस्रैल सङ्घर्षः	中東戦争
वाल्ट डिज्नी	ウォルト・ディズニー
आर्किमिडीस्	アルキメデス
थामस् एडिसन्	トーマス・エジソン
एन्रीको फर्मी	エンリコ・フェルミ
हेन्री फोर्ड	ヘンリー・フォード
जोसेफ फोरिए	ジョゼフ・フーリエ
गेलेन्	ガレノス
कोषि अगस्टीन् लूयी	オーギュスタン＝ルイ・コーシー
सत्यजित राय	サタジット・レイ
स्टीवन स्पीलबर्ग	スティーヴン・スピルバーグ
योहानेस केप्लर्	ヨハネス・ケプラー
माक्स प्लान्क	マックス・プランク
निकोला टेस्ला	ニコラ・テスラ
चाणक्यः	カウティリヤ
गाटफ्रीड् लैबनिट्ज्	ゴットフリート・ライプニッツ
कार्ल मार्क्स	カール・マルクス
विद्या	知識
लेतुवाभाषा	リトアニア語
हिन्दूधर्मः	ヒンドゥー教
कुचः	乳房
परमाणुः	原子
अर्विन श्रोडिन्गर	エルヴィン・シュレーディンガー
मिथकशास्त्रं	神話
ताजमहल्	タージ・マハル
आत्मा	霊魂
धर्मशास्त्रप्रविभागः	宗教
कोरियालि भाषा	朝鮮語
नारायणी	ナラヤニ県
कैंटोनी भाषा	広東語
रने देकार्त	ルネ・デカルト
वियतनामी भाषा	ベトナム語
सिग्मण्ड् फ़्रुड्	ジークムント・フロイト
थाई भाषा	タイ語
जैनमतम्	ジャイナ教
जार्ज विल्हेम फ्रेडरिच हेगेल	ゲオルク・ヴィルヘルム・フリードリヒ・ヘーゲル
बहासा इंडोनेशिया	インドネシア語
विश्वपरम्परास्थानानि	世界遺産
इमान्युएल काण्ट	イマヌエル・カント
सिखमतम्	シク教
योगः	ヨーガ
यकृत्	肝臓
वृक्का	腎臓
एडम स्मिथ	アダム・スミス
शशः	ウサギ
महावीरः	マハーヴィーラ
सागरः	大洋
दिगम्बरः सम्प्रदायः	ディガンバラ派
थामस एक्विनास	トマス・アクィナス
विक्टोरिया	ヴィクトリア (イギリス女王)
गौतमबुद्धः	釈迦
लोथाल्	ロータル
सरदार वल्लभभाई पटेल	ヴァッラバーイ・パテール
मुहम्मद्	ムハンマド・イブン＝アブドゥッラーフ
चिक्रोड़ः	リス
सचिन तेण्डुलकर	サチン・テンドルカール
ए पि जे अब्दुल् कलाम्	アブドゥル・カラーム
शाहरूख खान	シャー・ルク・カーン
टोनी ब्लेयर	トニー・ブレア
मार्टिन लूथर	マルティン・ルター
आमिर खान	アーミル・カーン
अमिताभ बच्चन	アミターブ・バッチャン
नाभिः	腹
बाङ्गला भाषा	ベンガル語
जिह्वा	舌
नाडी	神経
कण्ठः	首
वक्त्रम्	口
अन्त्रम्	腸
वक्षःस्थलम्	胸
एलिज़बेथ २	エリザベス2世
डायना राजकुमारी	ダイアナ (プリンセス・オブ・ウェールズ)
कोयम्बत्तूरु	コーヤンブットゥール
ऊटी	ウダカマンダラム
मैसूरु	マイソール
राफेल् नडाल्	ラファエル・ナダル
राहुल गान्धी	ラーフル・ガンディー
भारतीयराष्ट्रियकाङ्ग्रेस्	インド国民会議
भारतीयजनतापक्षः	インド人民党
दीपावलिः	ディーワーリー
होलीपर्व	ホーリー祭
पैथागोरस्	ピタゴラス
रक्षाबन्धनम्	ラーキ
नवरात्रोत्सवः	ナヴラトリ
कुम्भोत्सवः	クンブ・メーラ
रायन गिग्स	ライアン・ギグス
टॉम क्लेवेर्ली	トム・クレヴァリー
एश्ली यंग	アシュリー・ヤング
११००	1100年
सर्पण-शीलः	爬虫類
अन्धता	失明
जीवाणुः	真正細菌
तरुः	木
द्राक्षा	ブドウ
मधु (आहारपदार्थः)	蜂蜜
आलुकम्	ジャガイモ
शर्करा	砂糖
शाकानि	野菜
सोयामाषः	ダイズ
सञ्चारः	コミュニケーション
वार्त्तापत्रम्	新聞
दूरवाणी	電話機
संस्कृतम्	サンスクリット
इन्द्रियाणि	感覚器
अम्लम्	酸
आयुर्विज्ञान	医学
क्षारः	塩基
लवणम्	塩
फिदेल कास्ट्रो	フィデル・カストロ
तत्त्वम् (रसायनशास्त्रम्)	元素
आर्यभटः	アリヤバータ
शिवः	シヴァ
विष्णुः	ヴィシュヌ
ब्रह्मा	ブラフマー
परस्परक्रिया	力
गुरुत्वाकर्षणशक्तिः	重力
संहतिः (भौतविज्ञानम्)	質量
चलच्चित्रम्	映画
द्विचक्रिका	自転車
कृषिः	農業
शब्दः	音
क्षेत्रफलम्	面積
यवः	オオムギ
हैरी ट्रूमन	ハリー・S・トルーマン
चित्रकला	絵画
नृत्यम्	ダンス
ऋणाणुशास्त्र	電子機器
आवर्तनम् (Frequency)	周波数
लाहोर	ラホール
देशाः	国の一覧
पाषाणयुगम्	石器時代
कांस्ययुगम्	青銅器時代
लोहयुगम्	鉄器時代
पौराणयवनसंस्कृतिः	古代ギリシア
गुप्त-साम्राज्यम्	グプタ朝
थामस् जेफरसन्	トーマス・ジェファーソン
राजकोट	ラージコート
सिल्विओ बर्लुस्कोनी	シルヴィオ・ベルルスコーニ
जुनागढ	ジューナーガド
वडोदरा	ヴァドーダラー
गान्धीनगरम्	ガンディーナガル
प्रभासंयोगः	光合成
११०१	1101年
११०२	1102年
कर्कटरोगः	悪性腫瘍
विसूचिका	コレラ
गोधूमः	コムギ
यावानलः	モロコシ属
बधिरता	ろう者
मानसिकरोगः	精神障害
ग्रेगोरी-कालगणना	グレゴリオ暦
समयवलयः	時間帯 (標準時)
स्वस्थ:	健康
हृदयाघातः	心筋梗塞
शीतज्वरः	マラリア
मेदुरता	肥満
एइड्स्	後天性免疫不全症候群
क्षयरोगः	結核
मधुमेहः	糖尿病
वास्तुशास्त्रम्	建築
फलकम्:Location map India	Template:Location map India
मापनप्रविधिः	測定
संख्याशास्त्रम्	数論
११०३	1103年
११०४	1104年
आस्ट्टाल्ट् फ्रिडरिक् विल्हेल्म्	ヴィルヘルム・オストヴァルト
अण्वस्त्रम्	核兵器
कपालः	頭蓋骨
तृणबदरफलम्	イチゴ
केरवृक्षः	ココナッツ
दाडिमफलम्	ザクロ
नारङ्गफलम्	オレンジ
राजस्थानी	ラージャスターン語
हार्वर्ड् विश्वविद्यालयः	ハーバード大学
११०५	1105年
अरबीभाषा	アラビア語
कासनी जियावानि डोमिनिको	ジョヴァンニ・カッシーニ
ब्रान्टोसारस्	アパトサウルス
नागदामिनी	パンノキ
चेन्नैमण्डलम्	チェンナイ県
कोयम्बत्तूरुमण्डलम्	コーヤンブットゥール県
कडलूरुमण्डलम्	カダルール県
धर्मपुरीमण्डलम्	ダルマプリ県
दिण्डुगलमण्डलम्	ティンドゥッカル県
ईरोडमण्डलम्	イーロードゥ県
काञ्चिपुरमण्डलम्	カーンチープラム県
कन्याकुमारीमण्डलम्	カンニヤークマリ県
अधरम्	唇
श्मश्रु	口髭
करूरुमण्डलम्	カルール県
कृष्णगिरिमण्डलम्	クリシュナギリ県
मधुरैमण्डलम्	マドゥライ県
नागपट्टिणमण्डलम्	ナーガパッティナム県
पेरम्बलूरुमण्डलम्	ペランバルール県
नामक्कलमण्डलम्	ナーマッカル県
नीलगिरीमण्डलम्	ニーラギリ県
पुदुक्कोट्टैमण्डलम्	プドゥコーッタイ県
रामनाथपुरमण्डलम्	ラーマナータプラム県
सेलम्-मण्डलम्	セーラム県 (インド)
तञ्जावूरुमण्डलम्	タンジャーヴール県
शिवगङ्गामण्डलम्	シヴァガンガイ県
तेनिमण्डलम्	テーニ県
तिरुवारूरुमण्डलम्	ティルヴァールール県
तूतुकुडिमण्डलम्	トゥーットゥックディ県
तिरुनेल्वेलीमण्डलम्	ティルネルヴェーリ県
तिरुच्चिरापळ्ळिमण्डलम्	ティルチラーパッリ県
तिरुवळ्ळूरुमण्डलम्	ティルヴァッルール県
विऴुप्पुरमण्डलम्	ヴィリュップラム県
वेल्लूरुमण्डलम्	ヴェールール県
तिरुवण्णामलैमण्डलम्	ティルヴァンナーマライ県
विरुदुनगरमण्डलम्	ヴィルドゥナガル県
अदिलाबादमण्डलम्	アーディラーバード県
अनन्तपुरमण्डलम्	アナンタプラム県
चित्तूरुमण्डलम्	チットゥール県
मेदकमण्डलम्	メダック県
तवाङ्गमण्डलम्	タワング
चरणम्	足
एमील डर्खीम	エミール・デュルケーム
स्कन्दः	肩
विकिपीडिया:निर्वाचित लेख	Wikipedia:秀逸な記事
फलकम्:Link FA	Template:Link FA
विकिपीडिया:विचारमण्डपम्	Wikipedia:井戸端
कमलम्	ハス
वर्मांट	バーモント州
डेन्वर्	デンバー
फिनिक्स्, एॅरिझोना	フェニックス (アリゾナ州)
आस्टिन्	オースティン
ISO 15924	ISO 15924
विकिया	ウィキア
स्टार् वार्स्:अ नुय्य् होप्	スター・ウォーズ エピソード4/新たなる希望
साक्रामेन्टो	サクラメント (カリフォルニア州)
हानलूलू	ホノルル
कोरिया	朝鮮
प्राविडेन्स्	プロビデンス (ロードアイランド州)
१०००	1000年
९९९	999年
वैश्विकस्थितिसूचकपद्धतिः	グローバル・ポジショニング・システム
मामे बिराम दिउफ़	マメ・ビラム・ディウフ
ताजमहल् प्यालेस्	タージマハル・ホテル
१००१	1001年
१००२	1002年
१००३	1003年
१००५	1005年
१००६	1006年
१००७	1007年
१००८	1008年
१००९	1009年
१०१०	1010年
१०११	1011年
१०१२	1012年
१०१३	1013年
१०१४	1014年
१०१५	1015年
१०१६	1016年
१०१७	1017年
१०१८	1018年
१०१९	1019年
१०२०	1020年
१०२१	1021年
१०२२	1022年
१०२३	1023年
१०२४	1024年
१०२५	1025年
१०२६	1026年
१०२७	1027年
१०२८	1028年
१०२९	1029年
१०३०	1030年
१०३१	1031年
१०३२	1032年
१०३३	1033年
१०३४	1034年
१०३५	1035年
१०३६	1036年
१०३७	1037年
१०३८	1038年
१०३९	1039年
१०४०	1040年
१०४१	1041年
१०४२	1042年
१०४३	1043年
१०४४	1044年
१०४५	1045年
१०४६	1046年
१०४७	1047年
१०४८	1048年
१०४९	1049年
१०५०	1050年
१०५१	1051年
१०५२	1052年
१०५३	1053年
१०५४	1054年
१०५५	1055年
१०५६	1056年
१०५७	1057年
१०५८	1058年
१०५९	1059年
१०६०	1060年
१०६१	1061年
१०६२	1062年
१०६३	1063年
१०६४	1064年
१०६५	1065年
१०६६	1066年
१०६७	1067年
१०६८	1068年
१०६९	1069年
१०७०	1070年
१०७१	1071年
१०७२	1072年
१०७३	1073年
१०७४	1074年
१०७५	1075年
१०७६	1076年
१०७७	1077年
१०७८	1078年
१०७९	1079年
१०८०	1080年
१०८१	1081年
१०८२	1082年
१०८३	1083年
१०८४	1084年
१०८५	1085年
१०८६	1086年
१०८७	1087年
१०८८	1088年
१०८९	1089年
१०९०	1090年
१०९१	1091年
१०९२	1092年
१०९३	1093年
१०९४	1094年
१०९५	1095年
१०९६	1096年
१०९७	1097年
१०९८	1098年
१०९९	1099年
११०६	1106年
११०७	1107年
११०८	1108年
११०९	1109年
१११०	1110年
पोडाल्स्क्	ポドリスク
११११	1111年
१११२	1112年
१११३	1113年
१११४	1114年
१११५	1115年
१११६	1116年
१११७	1117年
१११८	1118年
१११९	1119年
११२०	1120年
११३०	1130年
११३१	1131年
११३२	1132年
११३३	1133年
११३४	1134年
११३५	1135年
११३६	1136年
११३७	1137年
११३८	1138年
११३९	1139年
५	5年
११४०	1140年
११४१	1141年
११४२	1142年
११४३	1143年
११४४	1144年
४	4年
११४५	1145年
११४६	1146年
११४७	1147年
११४८	1148年
३	3年
११४९	1149年
११५०	1150年
११५१	1151年
११५२	1152年
११५३	1153年
२	2年
११५४	1154年
११५५	1155年
११५६	1156年
११५७	1157年
११५८	1158年
११५९	1159年
११६०	1160年
११६१	1161年
११६२	1162年
११६३	1163年
११६४	1164年
११६५	1165年
११६६	1166年
११६७	1167年
११६८	1168年
११६९	1169年
११७०	1170年
११७१	1171年
११७२	1172年
११७३	1173年
११७४	1174年
११७५	1175年
११७६	1176年
११७७	1177年
११७८	1178年
११७९	1179年
११८०	1180年
११८१	1181年
११८२	1182年
११८३	1183年
११८४	1184年
११८५	1185年
११८६	1186年
११८७	1187年
११८८	1188年
११८९	1189年
११९०	1190年
११९१	1191年
११९२	1192年
११९३	1193年
११९४	1194年
११९५	1195年
११९६	1196年
११९७	1197年
११९८	1198年
११९९	1199年
कच्छवनस्पतियुक्तभूमिः	マングローブ
६	6年
क्रिस्मस्	クリスマス
अधिवर्षम्	閏年
स्टीव जाब्स	スティーブ・ジョブズ
व्याघ्रः	トラ
हरितकानि	葉菜類
कन्दमूलानि	芋
निस्सान् मोटार् कम्पनि	日産自動車
स्याम्सङ्ग्	サムスングループ
एडवर्ड ७	エドワード7世 (イギリス王)
चिशिनौ	キシナウ
सङ्गणकविज्ञानम्	計算機科学
ओडिशाराज्यम्	オリッサ州
पञ्जाबराज्यम्	パンジャーブ州 (インド)
जनसङ्ख्यासान्द्रता	人口密度
आयर्लैंड	アイルランド島
१	1年
१०	10年
नाश्विल्	ナッシュビル
२०	20年
३०	30年
४०	40年
साल्ट् लेक् सिटी	ソルトレイクシティ
९	9年
७	7年
८	8年
१२	12年
हरिणः	シカ
लशुनम्	ニンニク
मानवविज्ञानं	人類学
९३०	930年
१३	13年
९८५	985年
११२२	1122年
९८१	981年
९३९	939年
उर्वारुकम्	キュウリ
५१	51年
श्वेत	白
कृष्ण वर्णः	黒
८१४	814年
६७८	678年
९५०	950年
६७९	679年
९९६	996年
६८०	680年
३७	37年
९८०	980年
९००	900年
११२९	1129年
८४३	843年
६९०	690年
६९१	691年
९८८	988年
६९२	692年
४७६	476年
६९३	693年
६९४	694年
६९५	695年
पलाण्डुः	タマネギ
६९६	696年
६९७	697年
६९८	698年
६९९	699年
७००	700年
७०१	701年
७०२	702年
पुरातत्त्व	考古学
७०३	703年
वार्तकी	トマト
७०४	704年
७०५	705年
७०६	706年
६८	68年
८९	89年
७०७	707年
७०८	708年
७०९	709年
११	11年
७१०	710年
७११	711年
७१२	712年
७१३	713年
७१४	714年
७१५	715年
७१६	716年
७१७	717年
७१८	718年
७१९	719年
७२०	720年
७२१	721年
७२२	722年
७२३	723年
नासा	アメリカ航空宇宙局
७२४	724年
७२५	725年
७२६	726年
अटलान्टा	アトランタ
७२७	727年
बेनितो मुसोलिनी	ベニート・ムッソリーニ
७२८	728年
७२९	729年
९६३	963年
७३०	730年
७३१	731年
९६२	962年
७३२	732年
७३३	733年
९९७	997年
७३४	734年
९७२	972年
७३५	735年
९५५	955年
९०१	901年
७३६	736年
७३७	737年
९३६	936年
७३८	738年
९५३	953年
९०२	902年
७३९	739年
१५	15年
७४०	740年
१४	14年
७४१	741年
७४२	742年
१७	17年
७४३	743年
९५८	958年
७४४	744年
५००	500年
७४५	745年
१५०	150年
७४६	746年
८८०	880年
७४७	747年
७४८	748年
७४९	749年
८७०	870年
९०३	903年
७५०	750年
७५१	751年
७५२	752年
मस्तकम्	頭
७५३	753年
९८७	987年
७५४	754年
९६५	965年
७५५	755年
९२४	924年
९५१	951年
९३२	932年
२३	23年
८००	800年
१२०	120年
४२	42年
९६७	967年
९८९	989年
९६०	960年
९६९	969年
९५७	957年
११२४	1124年
९७१	971年
९३७	937年
९९२	992年
९९०	990年
८९९	899年
९७५	975年
९४२	942年
९६६	966年
११२८	1128年
९५९	959年
९७३	973年
१८	18年
१९	19年
१६	16年
२१	21年
२६	26年
४१	41年
३२	32年
३३	33年
९८२	982年
९७४	974年
९७६	976年
९७९	979年
९८६	986年
९१९	919年
९९८	998年
९९५	995年
९७७	977年
११२५	1125年
९३४	934年
अल्फ्रेड नोबेल	アルフレッド・ノーベル
२००	200年
८७६	876年
८७५	875年
८१०	810年
९२९	929年
८८२	882年
११२७	1127年
९४०	940年
८८९	889年
८४४	844年
९१२	912年
८३८	838年
९८४	984年
८७४	874年
३८	38年
४३	43年
१२७	127年
९५४	954年
३९	39年
२४	24年
७९	79年
६१	61年
१०४	104年
२९	29年
१०२	102年
८६६	866年
८३९	839年
६२२	622年
९१८	918年
१००	100年
९६१	961年
५७०	570年
६३२	632年
९४६	946年
८३५	835年
८८४	884年
८५९	859年
८३२	832年
८४९	849年
८७७	877年
८७८	878年
८६१	861年
८६९	869年
९६८	968年
९८३	983年
९६४	964年
११२१	1121年
११२३	1123年
९३३	933年
९१५	915年
९७०	970年
९११	911年
९९३	993年
९९१	991年
९९४	994年
८९८	898年
९४४	944年
९०७	907年
९४३	943年
९४५	945年
९२२	922年
९०५	905年
९४१	941年
९२५	925年
९२८	928年
९४८	948年
९४७	947年
९४९	949年
९२६	926年
ऋतुः	季節
१२६	126年
१०१	101年
१०५	105年
१०८	108年
११७	117年
११५	115年
२२	22年
४६	46年
२५	25年
१५३	153年
१५६	156年
३१	31年
८२५	825年
३०१	301年
११६	116年
८८६	886年
३३०	330年
८६०	860年
८४२	842年
१६५	165年
८७१	871年
८९३	893年
२०३	203年
९०९	909年
२२२	222年
९३१	931年
९३८	938年
९१७	917年
१६०	160年
२८	28年
८५	85年
८८	88年
७६	76年
५४	54年
४७७	477年
९१४	914年
९२०	920年
९१३	913年
अल्बानी, न्यू यार्क्	オールバニ (ニューヨーク州)
९३५	935年
८४१	841年
८२०	820年
९०६	906年
९१६	916年
८८५	885年
१६८	168年
६०	60年
४७	47年
८३६	836年
११२	112年
८५४	854年
८६२	862年
८७९	879年
८८७	887年
७७०	770年
८१७	817年
८६४	864年
८६३	863年
८६८	868年
सुदाबसस्यम्	ヘンルーダ
८५५	855年
८१८	818年
८३७	837年
८४५	845年
१६६	166年
उलूकः	フクロウ目
हरेणुः	エンドウ
कशेरुकाः	脊椎動物
५५२	552年
खर्जूरम्	ナツメヤシ
नाट्यकला	ドラマ
केसरम्	サフラン
६००	600年
४००	400年
३००	300年
इरावती नदी	エーヤワディー川
मान्ट्पेलियर्, वर्मान्ट्	モントピリア (バーモント州)
बि एम् डब्ल्यू	BMW
मिश्रेयसस्यम्	イノンド
हम्पी	ハンピ (インド)
लवङ्गम्	クローブ
हेरोडोटस	ヘロドトス
लक्षद्वीपाः	ラクシャディープ諸島
शाका ज़ूलू	シャカ・ズールー
वराङ्गम्	シナモン
अगस्टा	オーガスタ (メイン州)
बेटन रूज	バトンルージュ
लान्सिङ्	ランシング (ミシガン州)
आनापालिस्	アナポリス (メリーランド州)
कुस्तुम्बरीपर्णम्	セロリ
३६	36年
केशः	毛 (動物)
स्प्रिंग्फ़ील्ड्	スプリングフィールド (イリノイ州)
फ़्रांक्फ़ोर्ट्, केन्टकी	フランクフォート (ケンタッキー州)
कासिमिर फन्क	カシミール・フンク
फील्ड्स् पदकप्रशस्तिः	フィールズ賞
इग्नेसी ल्युकसिविक्ज	イグナツィ・ウカシェヴィチ
कणादः	カナーダ
मान्टगोमेरी	モンゴメリー (アラバマ州)
असमिया	アッサム語
जुनो	ジュノー (アラスカ州)
क्रिस स्मालिंग	クリス・スモーリング
जोनी एवंस	ジョニー・エヴァンズ
चीनादेशः	中国
घनत्वम् (भौतविज्ञानम्)	密度
अवधी भाषा	アワディー語
८१५	815年
८१६	816年
८२२	822年
८४०	840年
८२३	823年
८११	811年
७७१	771年
८८८	888年
७६८	768年
८५१	851年
२०५	205年
१५९	159年
१०७	107年
१६२	162年
१०३	103年
८०२	802年
८०४	804年
११९	119年
११८	118年
८०१	801年
८०७	807年
८०६	806年
१५२	152年
२४०	240年
२१८	218年
६५५	655年
४९६	496年
२३८	238年
१९७	197年
४५१	451年
७७५	775年
४८९	489年
७८४	784年
६६१	661年
६२५	625年
६५३	653年
९०४	904年
९२१	921年
९२३	923年
११२६	1126年
६६८	668年
६३६	636年
४०८	408年
४६४	464年
४१०	410年
९५६	956年
९५२	952年
६५८	658年
६५०	650年
५१८	518年
७०	70年
८१	81年
६९	69年
८७	87年
६५	65年
६६	66年
६७	67年
५५	55年
३४	34年
४४	44年
३५	35年
६४	64年
५०४	504年
४५३	453年
१६१	161年
१६९	169年
४८१	481年
१५१	151年
१५५	155年
१२८	128年
१२९	129年
४६३	463年
१९३	193年
६७४	674年
६८७	687年
२५१	251年
३३७	337年
७८६	786年
६६०	660年
५०	50年
२६०	260年
५०१	501年
४५	45年
४९१	491年
४९	49年
९७८	978年
२२१	221年
५४३	543年
५३६	536年
२३०	230年
७६२	762年
६१०	610年
७८७	787年
४८०	480年
२०९	209年
२०२	202年
१९२	192年
६८१	681年
८१९	819年
१७३	173年
८६७	867年
८६५	865年
८२७	827年
८२४	824年
८४७	847年
८८३	883年
८२९	829年
८१३	813年
९१०	910年
८५०	850年
८०८	808年
८५३	853年
८७२	872年
८७३	873年
८५६	856年
८५८	858年
८३१	831年
८५७	857年
८२८	828年
८२६	826年
८३३	833年
८४८	848年
८३४	834年
८८१	881年
८५२	852年
१६३	163年
१५४	154年
२०१	201年
८०३	803年
८०५	805年
५२	52年
५३२	532年
८२	82年
८४	84年
७३	73年
७२	72年
६२	62年
७१	71年
७५	75年
७४	74年
८३	83年
७८	78年
७७	77年
९०	90年
८०	80年
६२७	627年
४५६	456年
९१	91年
१९०	190年
१०९	109年
५३	53年
२७०	270年
६८८	688年
४५२	452年
७९५	795年
४६५	465年
७७८	778年
८४६	846年
८३०	830年
४०४	404年
९०८	908年
८९६	896年
८९७	897年
९२७	927年
६३	63年
५५५	555年
५७१	571年
८६	86年
४०१	401年
८९०	890年
५३३	533年
२६४	264年
मिखाइल् गोर्बचोफ्	ミハイル・ゴルバチョフ
९९	99年
४१५	415年
४८३	483年
४६९	469年
४६२	462年
४५९	459年
४६६	466年
४०२	402年
७६१	761年
७८०	780年
६७५	675年
६८९	689年
७७४	774年
७५९	759年
७५८	758年
३५०	350年
मदर् तेरेसा	マザー・テレサ
७८२	782年
७६०	760年
७८५	785年
७८३	783年
७६७	767年
७६६	766年
२११	211年
२३२	232年
२०४	204年
१८८	188年
९८	98年
८९४	894年
८९१	891年
६०२	602年
६२८	628年
८९२	892年
६०१	601年
६७२	672年
६८२	682年
८२१	821年
६४८	648年
६८६	686年
६६४	664年
६७७	677年
६४०	640年
११०	110年
१११	111年
१३७	137年
१३८	138年
१२२	122年
१४०	140年
८०९	809年
१६७	167年
६६५	665年
७७६	776年
७६३	763年
७६९	769年
६६७	667年
५२९	529年
७७७	777年
७८८	788年
६७१	671年
७७२	772年
४३२	432年
२३१	231年
२३७	237年
२३९	239年
१३०	130年
२२६	226年
२०७	207年
४७५	475年
४५४	454年
४९५	495年
२०६	206年
४६८	468年
४६१	461年
४६०	460年
१९४	194年
२१०	210年
२२५	225年
३११	311年
२२०	220年
५४१	541年
६४२	642年
३१३	313年
१८०	180年
७९४	794年
५८७	587年
५३०	530年
६०९	609年
४९७	497年
५४०	540年
४२८	428年
५४८	548年
४२२	422年
५४९	549年
४५७	457年
४७८	478年
२५३	253年
४६७	467年
४५८	458年
१५८	158年
१५७	157年
१६४	164年
१२४	124年
११३	113年
१२१	121年
१०६	106年
५५१	551年
४९४	494年
३२०	320年
२४२	242年
२९१	291年
४८	48年
९७	97年
५६	56年
९३	93年
५७	57年
५०३	503年
५१०	510年
५०९	509年
४७४	474年
४८४	484年
५७६	576年
४९३	493年
४७९	479年
२८७	287年
४०७	407年
४८५	485年
५४७	547年
५४६	546年
५४४	544年
५३७	537年
५३५	535年
५०२	502年
५२७	527年
५०८	508年
५२५	525年
६१३	613年
६१८	618年
६१७	617年
६०८	608年
६४५	645年
६२१	621年
६०६	606年
६२३	623年
६०४	604年
६०३	603年
६२६	626年
६१९	619年
६३४	634年
६३०	630年
६१४	614年
५०५	505年
४४६	446年
७९१	791年
५५७	557年
६५६	656年
६५७	657年
६५९	659年
६५१	651年
६७६	676年
६७०	670年
६५२	652年
६७३	673年
६५४	654年
६४७	647年
८१२	812年
६६९	669年
७९२	792年
६४९	649年
८९५	895年
७५६	756年
६६३	663年
७७९	779年
६६२	662年
६८४	684年
७७३	773年
७५७	757年
४३५	435年
७९०	790年
४३७	437年
४३३	433年
७६४	764年
४२६	426年
७८१	781年
४२५	425年
४२९	429年
४२३	423年
७६५	765年
२३५	235年
२३३	233年
२२३	223年
२२४	224年
२१६	216年
२१९	219年
२५४	254年
२७२	272年
२०८	208年
१७५	175年
१७०	170年
१७१	171年
१७२	172年
५८	58年
५९	59年
१३९	139年
११४	114年
१३४	134年
१३५	135年
१७९	179年
१४२	142年
९६	96年
१८१	181年
१४६	146年
१४५	145年
१८३	183年
१८२	182年
१८४	184年
३२४	324年
५८९	589年
शुकः	オウム目
५२१	521年
९२	92年
५९७	597年
३२९	329年
१३३	133年
४१३	413年
२५८	258年
२५९	259年
१९६	196年
२३६	236年
७८९	789年
३३२	332年
६३१	631年
४८७	487年
६३८	638年
४७३	473年
१७६	176年
१४३	143年
६४३	643年
५२३	523年
२१५	215年
१४८	148年
२४७	247年
४२४	424年
६४१	641年
४९२	492年
६३९	639年
२५६	256年
४४१	441年
१३१	131年
१९१	191年
४५०	450年
६१२	612年
६३५	635年
६११	611年
५३४	534年
४८८	488年
६०७	607年
५२४	524年
२८२	282年
४७२	472年
४७१	471年
४९०	490年
३१६	316年
७९७	797年
५११	511年
सन्तरणक्रीडा	競泳
२९५	295年
५९८	598年
३०३	303年
२५०	250年
५१५	515年
५१२	512年
४१८	418年
३३३	333年
२९४	294年
२१७	217年
२७७	277年
५७८	578年
३१२	312年
२८४	284年
२८३	283年
२४१	241年
मेषराशिः	白羊宮
२४३	243年
२६२	262年
४९८	498年
३३६	336年
३३४	334年
२६६	266年
मुष्टिकाताडनक्रीडा	ボクシング
२६१	261年
४७०	470年
३४९	349年
२७१	271年
२७५	275年
२९२	292年
२९६	296年
३४५	345年
४३१	431年
३०४	304年
५५०	550年
५८६	586年
५८८	588年
५५४	554年
२२९	229年
५८३	583年
२६५	265年
२६३	263年
५८५	585年
५८२	582年
५५६	556年
४२०	420年
२८०	280年
५८१	581年
५५८	558年
३०२	302年
३०९	309年
३५३	353年
३३५	335年
३६७	367年
३४४	344年
२४५	245年
२९०	290年
४४९	449年
३०८	308年
२५५	255年
४३९	439年
३१९	319年
३१८	318年
२९९	299年
४१९	419年
४१६	416年
३३८	338年
३१०	310年
३१५	315年
३५९	359年
३६०	360年
२७३	273年
२८६	286年
२८८	288年
२७८	278年
४५५	455年
५७७	577年
५७५	575年
४८२	482年
४८६	486年
५८०	580年
५६७	567年
५६४	564年
५६१	561年
३२८	328年
३२५	325年
३१७	317年
५७४	574年
५६६	566年
२४९	249年
३४८	348年
४४२	442年
४४३	443年
२६७	267年
२४४	244年
२४८	248年
३४३	343年
५६२	562年
४१७	417年
२६८	268年
५९०	590年
२६९	269年
४९९	499年
मलाला युसुफजई	マララ・ユスフザイ
४०९	409年
४०५	405年
४०६	406年
४०३	403年
४१४	414年
४११	411年
४१२	412年
५६०	560年
५९२	592年
२७६	276年
३१४	314年
३२३	323年
३६६	366年
३६२	362年
५४५	545年
५३१	531年
५१४	514年
५१३	513年
५३९	539年
५३८	538年
५१९	519年
५१६	516年
५२०	520年
५२२	522年
५२८	528年
५०६	506年
५२६	526年
५०७	507年
२१४	214年
२१३	213年
२१२	212年
२२८	228年
२२७	227年
१४९	149年
१७४	174年
१८९	189年
१९९	199年
१४१	141年
१३२	132年
१२५	125年
१२३	123年
१४७	147年
१४४	144年
१९८	198年
१७८	178年
१७७	177年
१८७	187年
