Afríka	アフリカ
Vestur-Pommern (hérað)	西ポモージェ県
Miðkerfisvökvi	脳脊髄液
Klingon	クリンゴン人
Ritvinnsluforrit	ワードプロセッサ
Trollhättan	トロルヘッタン
Skellefteå	シェレフテオ
Ska	スカ
Sydneyhafnarbrúin	ハーバーブリッジ
Yle	フィンランド国営放送
Ängelholm	エンゲルホルム
Visby	ヴィスビュー
Katrineholm	カトリーネホルム
Falkenberg	ファルケンベリ
Skapahár	陰毛
Merkingarvefur	セマンティック・ウェブ
RDF	Resource Description Framework
San Cristóbal de La Laguna	サン・クリストバル・デ・ラ・ラグーナ
Covent Garden	コヴェント・ガーデン
Fjölbrautaskóli	ギムナジウム
Ludwig-Maximilian-háskóli	ルートヴィヒ・マクシミリアン大学ミュンヘン
Robert Altman	ロバート・アルトマン
David Lean	デヴィッド・リーン
Peter Greenaway	ピーター・グリーナウェイ
Flokkur:Gamanmyndir	Category:コメディ映画
Flokkur:Kvikmyndir eftir löndum	Category:各国の映画作品
Flokkur:Kvikmyndir eftir leikstjóra	Category:監督別の映画作品
Leni Riefenstahl	レニ・リーフェンシュタール
Michelangelo Antonioni	ミケランジェロ・アントニオーニ
Marcello Mastroianni	マルチェロ・マストロヤンニ
Lestarstöð	鉄道駅
Jamie Lynn Spears	ジェイミー・リン・スピアーズ
Snið:Saga Japans	Template:日本の歴史
Spice Girls	スパイス・ガールズ
Need for Speed	ニード・フォー・スピード
Astrid Lindgren	アストリッド・リンドグレーン
Paleógentímabilið	古第三紀
Vélamál	機械語
Fjöldaútdauði	大量絶滅
Deccan-flæðibasaltið	デカントラップ
Jarosław Kaczyński	ヤロスワフ・カチンスキ
Lumière-bræður	リュミエール兄弟
Siðspeki	メタ倫理学
Ridley Scott	リドリー・スコット
Tim Burton	ティム・バートン
Katharine Hepburn	キャサリン・ヘプバーン
Stöðuheiti í hernaði	軍隊の階級
Kanslari Þýskalands	ドイツの首相
Sameining Þýskalands	ドイツ再統一
Stjórnsýslueining	行政区画
Francis Ford Coppola	フランシス・フォード・コッポラ
Borðtölva	デスクトップパソコン
Lise Meitner	リーゼ・マイトナー
24 (sjónvarpsþáttur)	24 -TWENTY FOUR-
Sindarin	シンダール語
Samísk tungumál	サーミ語
Haúsa	ハウサ語
Leifturstríð	電撃戦
Wii fjarstýring	Wiiリモコン
Parasetamól	アセトアミノフェン
Otto Hahn	オットー・ハーン
Max von Laue	マックス・フォン・ラウエ
Nelly Sachs	ネリー・ザックス
Fritz Haber	フリッツ・ハーバー
Jürgen Klinsmann	ユルゲン・クリンスマン
Paul Ehrlich	パウル・エールリヒ
Karl Weierstrass	カール・ワイエルシュトラス
Josef Mengele	ヨーゼフ・メンゲレ
Oswald Spengler	オスヴァルト・シュペングラー
Alfred Jodl	アルフレート・ヨードル
Hans Adolf Krebs	ハンス・クレブス
Gerhard Domagk	ゲルハルト・ドーマク
Moritz Schlick	モーリッツ・シュリック
Erich Hartmann	エーリヒ・ハルトマン
Friðrik 5. kjörfursti	フリードリヒ5世 (プファルツ選帝侯)
Franz Brentano	フランツ・ブレンターノ
Martin Waldseemüller	マルティーン・ヴァルトゼーミュラー
Niklas Luhmann	ニクラス・ルーマン
Ferdinand Porsche	フェルディナント・ポルシェ
Alexandrine af Mecklenburg-Schwerin	アレクサンドリーネ・フォン・メクレンブルク＝シュヴェリーン
Ólafur Ragnar Grímsson	オラフル・ラグナル・グリムソン
Haraldur 5. Noregskonungur	ハーラル5世 (ノルウェー王)
Abdullah bin Abdul Aziz al-Saud	アブドゥッラー・ビン・アブドゥルアズィーズ
Bamir Topi	バミル・トピ
Peter Weiss	ペーター・ヴァイス
Norodom Sihamoni	ノロドム・シハモニ
Hermann Ebbinghaus	ヘルマン・エビングハウス
Dimitris Christofias	ディミトリス・フリストフィアス
Isaias Afewerki	イサイアス・アフェウェルキ
Hadríanusarmúrinn	ハドリアヌスの長城
Helmut Newton	ヘルムート・ニュートン
Cavaco Silva	アニーバル・カヴァコ・シルヴァ
Armin Meiwes	アルミン・マイヴェス
Choummaly Sayasone	チュンマリー・サイニャソーン
Daniel Kehlmann	ダニエル・ケールマン
Jakaya Kikwete	ジャカヤ・キクウェテ
George Abela	ジョージ・アベーラ
Múhameð VI af Marokkó	ムハンマド6世 (モロッコ王)
Þjóðhátíðardagur	国家の日
Janez Janša	ヤネス・ヤンシャ
Jyrki Katainen	ユルキ・カタイネン
Jens Stoltenberg	イェンス・ストルテンベルグ
Vlad Filat	ヴラド・フィラト
Jóhanna Sigurðardóttir	ヨハンナ・シグルザルドッティル
Hun Sen	フン・セン
Játvarður 1.	エドワード1世 (イングランド王)
Virki	要塞
Thongsing Thammavong	トーンシン・タムマヴォン
Peter O'Neill	ピーター・オニール
Jóhannes Hevelíus	ヨハネス・ヘヴェリウス
Kristófer af Bæjaralandi	クリストファ3世 (デンマーク王)
Petró Pórósjenkó	ペトロ・ポロシェンコ
Össur Skarphéðinsson	オッシュル・スカルプヘイジンソン
Fjórmenningarnir	ヨハネの黙示録の四騎士
Dimmu Borgir	ディム・ボガー
Hollandaise-sósa	オランデーズソース
Guido Westerwelle	ギド・ヴェスターヴェレ
Diskó	ディスコ (音楽)
Amon	アメン
André Schürrle	アンドレ・シュールレ
Windows 1.0	Microsoft Windows 1.0
Duran Duran	デュラン・デュラン
Búrbónar	ブルボン家
The Shins	シンズ
Forræðishyggja	パターナリズム
Slackware	Slackware
Kúrilstraumurinn	親潮
Loðvík 12.	ルイ12世 (フランス王)
Friedrich Wöhler	フリードリヒ・ヴェーラー
Edmund Husserl	エトムント・フッサール
Púndjabí	パンジャーブ語
Kál	アブラナ属
Pastú	パシュトー語
Adam og Eva	アダムとエバ
Arabíuhaf	アラビア海
Aeroflot	アエロフロート・ロシア航空
Mósambíkurstraumurinn	モザンビーク海流
Stóra stökkið fram á við	大躍進政策
.si	.si
Mengun	公害
Lily Allen	リリー・アレン
Kylie (breiðskífa)	ラッキー・ラヴ (アルバム)
Kerfi	システム
Hasselt	ハッセルト
Alríkislögregla Rússneska Sambandsríkisins	ロシア連邦保安庁
Sólarsella	太陽電池
Síberíuflæðibasaltið	シベリア・トラップ
Friðarsinni	平和主義
Bókmenntarýni	文芸評論
Melodifestivalen	メロディーフェスティバル
Billy Mays	ビリー・メイズ
Filippus 1. Frakkakonungur	フィリップ1世 (フランス王)
Courteney Cox	コートニー・コックス
Gelding	去勢
Hiksti	しゃっくり
Sanderla	ミユビシギ
Rokkur	糸車
Cydonia (Mars)	火星の人面岩
Jurtaæta	草食動物
Narvik	ナルヴィク
Pioneer 10	パイオニア10号
Meginlandsheimspeki	大陸哲学
Gylfi Þór Sigurðsson	ギルフィ・シグルズソン
Vísindaheimspeki	科学哲学
Díogenes Laertíos	ディオゲネス・ラエルティオス
Námssálfræði	教育心理学
Narsarsuaq	ナルサルスアーク
Díogenes hundingi	ディオゲネス (犬儒学派)
Varennes	ヴァレンヌ＝アン＝アルゴンヌ
Slöngustjarna	クモヒトデ
Mervíkingar	メロヴィング朝
Apaplánetan (1968 kvikmynd)	猿の惑星 (映画)
Granar	ナマズ目
Flatfiskar	カレイ目
Elinóra af Kastilíu	エリナー・オブ・カスティル
Bengúelastraumurinn	ベンゲラ海流
Nýja-Bretland	ニューブリテン島
Wicca	ウィッカ
Garden State (kvikmynd)	終わりで始まりの4日間
Hannah Arendt	ハンナ・アーレント
Gottlob Frege	ゴットロープ・フレーゲ
Heidi Klum	ハイディ・クルム
Reinhard Heydrich	ラインハルト・ハイドリヒ
Max Müller	フリードリヒ・マックス・ミュラー
Hinrik 4. keisari	ハインリヒ4世 (神聖ローマ皇帝)
Otto von Guericke	オットー・フォン・ゲーリケ
Konrad Gesner	コンラート・ゲスナー
.sn	.sn
1151-1160	1150年代
Indlandsskagi	インド亜大陸
Danski fáninn	デンマークの国旗
Heróín	ヘロイン
Loftsteinn	隕石
Táknfræði	記号学
1031-1040	1030年代
Ariel Sharon	アリエル・シャロン
1051-1060	1050年代
Eneasarkviða	アエネーイス
Koffín	カフェイン
Fiskifræði	魚類学
Joshua Malina	ジョシュア・マリーナ
Ursula von der Leyen	ウルズラ・フォン・デア・ライエン
Norræna myntbandalagið	スカンディナヴィア通貨同盟
Brian Greene	ブライアン・グリーン
Stefán Englandskonungur	スティーブン (イングランド王)
Víxlunarröðun	バブルソート
Jeremy Bentham	ジェレミ・ベンサム
Rófa	尾
Sakis Rouvas	サキス・ルーヴァス
Dulnefni	偽名
Vatnaíþróttir	ウォータースポーツ
Walter Gropius	ヴァルター・グロピウス
Walter Benjamin	ヴァルター・ベンヤミン
Campeche-flói	カンペチェ湾
IPhone 5	IPhone 5
Útvistun	アウトソーシング
Barnadauði	乳幼児死亡率
Ulrich von Wilamowitz-Moellendorff	ウルリヒ・フォン・ヴィラモーヴィッツ＝メレンドルフ
Carl von Linde	カール・フォン・リンデ
Bernd Schneider	ベルント・シュナイダー (レーサー)
Dóróthea af Brandenborg	ドロテア・フォン・ブランデンブルク (1430-1495)
Agnes af Meraníu	アニェス・ド・メラニー
Johann Friedrich Struensee	ヨハン・フリードリヒ・ストルーエンセ
Bernd Eichinger	ベルント・アイヒンガー
Flugher	空軍
Carl Gustav Hempel	カール・ヘンペル
Fritz Haarmann	フリッツ・ハールマン
Walter Burkert	ヴァルター・ブルケルト
Weil am Rhein	ヴァイル・アム・ライン
Ordóvisíumtímabilið	オルドビス紀
Lappland	ラップランド
Edna St. Vincent Millay	エドナ・ミレイ
Harstad	ハーシュタ
Aðskeyti	接辞
Jarviseyja	ジャーヴィス島
Pólýkarbónat	ポリカーボネート
Álasund	オーレスン
Lundúnaturn	ロンドン塔
Westminsterhöll	ウェストミンスター宮殿
Sílúrtímabilið	シルル紀
Skauthnitakerfi	極座標系
Jónatengi	イオン結合
Eðlisfræðivél	物理演算エンジン
Jónahlið	イオンチャネル
BeOS	BeOS
Konungsríkið Ísland	アイスランド王国
Sænsk-norska sambandið	スウェーデン＝ノルウェー
Kalmarsambandið	カルマル同盟
Stórfurstadæmið Finnland	フィンランド大公国
Dansk-norska ríkið	デンマーク＝ノルウェー
Jay-Z	ジェイ・Z
Fræva	雌蕊
Koszalin	コシャリン
Kartesíusarhnitakerfið	直交座標系
Stafræn ljósmyndun	デジタルカメラ
Burj Al Arab	ブルジュ・アル・アラブ
Adda	アッダ川
Töluorð	数詞
Airbnb	Airbnb
Unity (leikjaumhverfi)	Unity (ゲームエンジン)
Rafsegulhögg	電磁パルス
Dvergtré	盆栽
Gallblaðra	胆嚢
Rafgreining	電気分解
Stórskotalið	砲兵
Sigurboginn	エトワール凱旋門
Marx-bræður	マルクス兄弟
Hasselblad	ハッセルブラッド
Gegnvirk vensl	推移関係
Friedrich August Wolf	フリードリヒ・アウグスト・ヴォルフ
Anthony Hopkins	アンソニー・ホプキンス
Setning (stærðfræði)	定理
Devontímabilið	デボン紀
Habsborgarar	ハプスブルク家
Gall	胆汁
Kalífi	カリフ
Menntagyðjur	ムーサ
Deutsche Bank	ドイツ銀行
Almennt brot	分数
Sahel	サヘル
Niccolò Paganini	ニコロ・パガニーニ
Öldungadeild Bandaríkjaþings	アメリカ合衆国上院
Gengi	為替レート
Henry Kissinger	ヘンリー・キッシンジャー
Vinnsluminni	記憶装置
Afleiða (fjármál)	デリバティブ
Seðlabanki	中央銀行
Kanpur	カーンプル
Daman og Diu	ダマン・ディーウ連邦直轄領
Puducherry	ポンディシェリ連邦直轄領
Davos	ダボス
Frauenfeld	フラウエンフェルト
La Chaux-de-Fonds	ラ・ショー＝ド＝フォン
Olten	オルテン
Sion	シオン (スイス)
Zug	ツーク
Altdorf (Uri)	アルトドルフ
Checkpoint Charlie	チェックポイント・チャーリー
Deila og drottna	分割統治
Chur	クール (スイス)
Nathaniel Hawthorne	ナサニエル・ホーソーン
Neuchâtel	ヌーシャテル
Montreux	モントルー
Morges	モルジュ
MDMA	メチレンジオキシメタンフェタミン
Stjórnspekin	政治学 (アリストテレス)
Barrskógabelti	タイガ
Síberíutígur	アムールトラ
Vichy-stjórnin	ヴィシー政権
Borgarskipulagning	都市計画
Óregluleg sögn	不規則動詞
Regluleg sögn	規則動詞
Alois Alzheimer	アロイス・アルツハイマー
Theo Jörgensmann	テオ・ユルゲンスマン
Margrét af Búrgund	マルグリット・ド・ブルゴーニュ (フランス王妃)
Beiskjuefni	アルカロイド
Hildegard von Bingen	ヒルデガルト・フォン・ビンゲン
Bette Davis	ベティ・デイヴィス
Clark Gable	クラーク・ゲーブル
Windows Live Messenger	Windows Live メッセンジャー
Drómedari	ヒトコブラクダ
Tetris	テトリス
Wii Sports	Wii Sports
Rage Against the Machine	レイジ・アゲインスト・ザ・マシーン
Amundsenhaf	アムンゼン海
Portsmouth	ポーツマス (イングランド)
Ljósbrot	屈折
Fridtjof Nansen	フリチョフ・ナンセン
1371-1380	1370年代
Toni Morrison	トニ・モリスン
Skrifræði	官僚制
Pungrækjur	クーマ目
Schwarzschild-geisli	シュヴァルツシルト半径
Craig Ferguson	クレイグ・ファーガソン
Cheech Marin	チーチ・マリン
George Lopez	ジョージ・ロペス
Austurför Kýrosar	アナバシス
Skandinavíuskaginn	スカンディナヴィア半島
Thibaut Courtois	ティボ・クルトゥワ
Jimmy Smits	ジミー・スミッツ
Willian	ウィリアン・ボルジェス・ダ・シウヴァ
Roddy Doyle	ロディ・ドイル
Arkesilás	アルケシラオス
Fjarlæg framtíð	フューチュラマ (アニメ)
Ólympíumót fatlaðra	パラリンピック
Thorstein Veblen	ソースティン・ヴェブレン
Pappírsskutla	紙飛行機
Hobbitinn	ホビットの冒険
Sæðisfruma	精子
Silfurfiskaætt	ムネエソ科
Jackie Mason	ジャッキー・メイソン
Öskjuvatn	エスキュヴァトン
Pax Romana	パクス・ロマーナ
Delfí	デルポイ
Fornlífsöld	古生代
282 f.Kr.	紀元前282年
279 f.Kr.	紀元前279年
404 f.Kr.	紀元前404年
Miguel Angel Asturias	ミゲル・アンヘル・アストゥリアス
Isaac Bashevis Singer	アイザック・バシェヴィス・シンガー
Pierre de Fermat	ピエール・ド・フェルマー
406 f.Kr.	紀元前406年
Macintosh	Macintosh
Evangelísk-lúthersk kirkja	ルーテル教会
Norbert Elias	ノルベルト・エリアス
Wilhelm Wundt	ヴィルヘルム・ヴント
Clara Zetkin	クララ・ツェトキン
Rudolf Hess	ルドルフ・ヘス
Persastríð	ペルシア戦争
Fríríkið Kongó	コンゴ自由国
Hægristefna	右翼
Glysrokk	グラムロック
Rauðvik	赤方偏移
Paleósentímabilið	暁新世
Plíósen	鮮新世
Míósen	中新世
Eósentímabilið	始新世
Grunnungur	テンチ
Stjörnubreidd	赤緯
Alfred Wegener	アルフレート・ヴェーゲナー
Dietrich Bonhoeffer	ディートリッヒ・ボンヘッファー
Mileva Marić	ミレヴァ・マリッチ
Hans-Georg Gadamer	ハンス・ゲオルク・ガダマー
Jürgen Habermas	ユルゲン・ハーバーマス
Wilhelm Keitel	ヴィルヘルム・カイテル
Hans Zimmer	ハンス・ジマー
Johann Müller	レギオモンタヌス
Permtímabilið	ペルム紀
Leopold Kronecker	レオポルト・クロネッカー
Georg Cantor	ゲオルク・カントール
Ludwig Andreas Feuerbach	ルートヴィヒ・アンドレアス・フォイエルバッハ
Emil von Behring	エミール・アドルフ・フォン・ベーリング
Carl Philipp Emanuel Bach	カール・フィリップ・エマヌエル・バッハ
Eva Braun	エヴァ・ブラウン
Dopplerhrif	ドップラー効果
Áttundakerfi	八進法
Kirsten Dunst	キルスティン・ダンスト
Rainer Maria Rilke	ライナー・マリア・リルケ
Michael Ende	ミヒャエル・エンデ
Karl Jaspers	カール・ヤスパース
Rudolf Carnap	ルドルフ・カルナップ
Carl Gustav Jacob Jacobi	カール・グスタフ・ヤコブ・ヤコビ
Talningarfræði	組合せ数学
Frank-Walter Steinmeier	フランク＝ヴァルター・シュタインマイアー
Friedrich Fröbel	フリードリッヒ・フレーベル
Simon Marius	シモン・マリウス
Claudia Schiffer	クラウディア・シファー
Heinz-Harald Frentzen	ハインツ＝ハラルド・フレンツェン
Athanasius Kircher	アタナシウス・キルヒャー
Skyrta	シャツ
Ferdinand Cohn	フェルディナント・コーン
Max Delbrück	マックス・デルブリュック
Emil Kraepelin	エミール・クレペリン
Ulrich Beck	ウルリッヒ・ベック
Gustav Fechner	グスタフ・フェヒナー
Kerósín	ケロシン
Róbert Rínarfursti	ルパート (カンバーランド公)
Rudolf Franz Ferdinand Höss	ルドルフ・フェルディナント・ヘス
Friðrik 3. af Saxlandi	フリードリヒ3世 (ザクセン選帝侯)
Berta af Hollandi	ベルト・ド・オランド
August Immanuel Bekker	イマヌエル・ベッカー
Hans Talhoffer	ハンス・タールホファー
Johann Bayer	ヨハン・バイエル
Vilhjálmur þögli	ウィレム1世 (オラニエ公)
Joseph Schumpeter	ヨーゼフ・シュンペーター
Niki Lauda	ニキ・ラウダ
Stefan Zweig	シュテファン・ツヴァイク
Arthur Koestler	アーサー・ケストラー
Paul Feyerabend	ポール・ファイヤアーベント
Alois Hitler	アロイス・ヒトラー
Kolyma (fljót)	コリマ川
Einkímblöðungar	単子葉植物
Pelópsskagi	ペロポネソス半島
Rafmagnsgítar	エレクトリック・ギター
Napóleonsstyrjaldirnar	ナポレオン戦争
Pieter Zeeman	ピーター・ゼーマン
Gata	ストリート
Superman	スーパーマン
Köngulóarmaðurinn	スパイダーマン
Ametýst	アメシスト
Kambríumtímabilið	カンブリア紀
Fáni Vatíkansins	バチカンの国旗
New Line Cinema	ニュー・ライン・シネマ
Google Play	Google Play
3G	第3世代移動通信システム
LTE	Long Term Evolution
Netbólan	インターネット・バブル
Miðgarður (Tolkien)	中つ国 (トールキン)
Kerti	ろうそく
1231-1240	1230年代
Blóðvökvi	血漿
Fáveldi	寡頭制
Loftvog	気圧計
John Milton	ジョン・ミルトン
427 f.Kr.	紀元前427年
Wikipedia:Tillögur að úrvalsgreinum	Wikipedia:秀逸な記事の選考
Wikipedia:Tillögur að gæðagreinum	Wikipedia:良質な記事/良質な記事の選考
Vinir	フレンズ (1994年のテレビドラマ)
Friðrik barbarossa	フリードリヒ1世 (神聖ローマ皇帝)
Wikipedia:Merkisáfangar	Wikipedia:発表
Mislingar	麻疹
Vélþýðing	機械翻訳
Naggrísir	モルモット
Constanţa	コンスタンツァ
Kannabis	アサ
1391-1400	1390年代
261 f.Kr.	紀元前261年
305 f.Kr.	紀元前305年
Sólvindur	太陽風
Southampton	サウサンプトン
Sólbaugur	黄道
HM 2014	2014 FIFAワールドカップ
Konungar Frakklands	フランス君主一覧
Reiði	怒り
Hlutbundin forritun	オブジェクト指向プログラミング
Ísis	イシス
Debrecen	デブレツェン
Hormússund	ホルムズ海峡
Finnsk-úgrísk tungumál	フィン・ウゴル語派
Blindraletur	点字
Skipting ríkisvaldsins	権力分立
J. D. Salinger	J・D・サリンジャー
Rússneska borgarastyrjöldin	ロシア内戦
1131-1140	1130年代
Hulduefni	暗黒物質
Frymisnet	小胞体
Frjóduft	花粉
335 f.Kr.	紀元前335年
Ómanflói	オマーン湾
Wikipedia:Sannreynanleikareglan	Wikipedia:検証可能性
Gullna hirðin	ジョチ・ウルス
Hryðjuverkin í Noregi 2011	ノルウェー連続テロ事件
Emma Goldman	エマ・ゴールドマン
Jakob 6. Skotakonungur	ジェームズ1世 (イングランド王)
1361-1370	1360年代
1271-1280	1270年代
Jose Mourinho	ジョゼ・モウリーニョ
Íðnet	イーサネット
Christchurch	クライストチャーチ
Ósonlagið	オゾン層
Coronel Fabriciano	コロネル・ファブリシアーノ
Kontrabassi	コントラバス
Rof	侵食
Alexander I	アレクサンデル1世 (ローマ教皇)
Ávísun	小切手
Prison Break	プリズン・ブレイク
Al Capone	アル・カポネ
Sonnetta	ソネット
Nóbelsverðlaun í lífeðlis- og læknisfræði	ノーベル生理学・医学賞
Elias Canetti	エリアス・カネッティ
Drekaflugur	トンボ亜目
Megan Fox	ミーガン・フォックス
Tákn	シンボル
Babsk	バプスク (ウッチ県)
Hugvísindi	人文科学
Heildun	積分法
Fáni Kanada	カナダの国旗
Expressjónismi	表現主義
Rækjur	コエビ下目
Nürnberg-réttarhöldin	ニュルンベルク裁判
Póker	ポーカー
Dímítríj Sjostakovítsj	ドミートリイ・ショスタコーヴィチ
Emily Brontë	エミリー・ブロンテ
Hattur	帽子
Simpansi	チンパンジー属
338 f.Kr.	紀元前338年
Árhringjatímatal	年輪年代学
Joseph-Louis Lagrange	ジョゼフ＝ルイ・ラグランジュ
Flaska	瓶
Víóla	ヴィオラ
Forboðna borgin	紫禁城
Sellulósi	セルロース
Englafossar	エンジェルフォール
Korn (hljómsveit)	コーン (バンド)
Halldór Laxness	ハルドル・ラクスネス
Enska borgarastyrjöldin	イングランド内戦
Bengal	ベンガル地方
Ólympusfjall (Grikklandi)	オリンポス山
Hvalháfur	ジンベエザメ
Períkles	ペリクレス
Julianne Moore	ジュリアン・ムーア
Nelly Furtado	ネリー・ファータド
Anna Akmatova	アンナ・アフマートヴァ
Kletus	アナクレトゥス (ローマ教皇)
Mangar	マングース科
Gavrilo Princip	ガヴリロ・プリンツィプ
Alla Pugachova	アーラ・プガチョワ
Gondvana	ゴンドワナ大陸
Arthur Miller	アーサー・ミラー
Anaxímenes	アナクシメネス
Edvard Grieg	エドヴァルド・グリーグ
Spænska heimsveldið	スペイン帝国
Genasamsæta	対立遺伝子
Dínamít	ダイナマイト
Tenzing Norgay	テンジン・ノルゲイ
Charlton Heston	チャールトン・ヘストン
1191-1200	1190年代
1181-1190	1180年代
Sólúr	日時計
Spútnik 1	スプートニク1号
Harry Potter og Fönixreglan	ハリー・ポッターと不死鳥の騎士団
Samrás	集積回路
Yfirnáttúrleiki	超自然
Adenósínþrífosfat	アデノシン三リン酸
Azumanga Daioh	あずまんが大王
Skæruhernaður	ゲリラ
KGB	ソ連国家保安委員会
Harmleikur	悲劇
John Travolta	ジョン・トラボルタ
Aprílgabb	エイプリルフール
Svante August Arrhenius	スヴァンテ・アレニウス
Búfjárrækt	畜産
Bógó-indversk vörn	ボゴ・インディアン・ディフェンス
Tómhyggja	ニヒリズム
Morgunmatur	朝食
Bhopal	ボーパール
Hugbúnaðarverkfræði	ソフトウェア工学
Fullorðinn einstaklingur	大人
Ríkharður 2. Englandskonungur	リチャード2世 (イングランド王)
Mælskufræði	修辞学
Fjöður	羽毛
Hringrás vatns	水循環
Charleroi	シャルルロワ
Óveður	嵐
Aðalritari Sameinuðu þjóðanna	国際連合事務総長
Fallbyssa	カノン砲
Vatnakarpi	コイ
Norðvesturleiðin	北西航路
Olomouc	オロモウツ
Sinnepsgas	マスタードガス
Baffinsland	バフィン島
Alkul	絶対零度
469 f.Kr.	紀元前469年
Kjarneðlisfræði	原子核物理学
1021-1030	1020年代
1061-1070	1060年代
Fenjakrókódíll	ヌマワニ
Búrhvalur	マッコウクジラ
Michael Shanks	マイケル・シャンクス
Morfín	モルヒネ
Siemens AG	シーメンス
Hraðbanki	現金自動預け払い機
Sólfarsvindar	海陸風
Karl Popper	カール・ポパー
1211-1220	1210年代
1351-1360	1350年代
Ekra (mælieining)	エーカー
Öryggis- og samvinnustofnun Evrópu	欧州安全保障協力機構
Greenpeace	グリーンピース (NGO)
Harrison Ford	ハリソン・フォード
1311-1320	1310年代
1261-1270	1260年代
1221-1230	1220年代
1011-1020	1010年代
Tugakerfi	十進法
Kjúklingabaun	ヒヨコマメ
Vörpudrif	ワープ
Akapúlkó	アカプルコ
Alkenar	アルケン
TCP/IP	インターネット・プロトコル・スイート
Walt Whitman	ウォルト・ホイットマン
Aldous Huxley	オルダス・ハクスリー
Ångström	オングストローム
Spínat	ホウレンソウ
Türk Telekom Arena	トルコ・テレコム・アリーナ
Keltahaf	ケルト海
Karl 1. Englandskonungur	チャールズ1世 (イングランド王)
Alpakka	アルパカ
Pascal (forritunarmál)	Pascal
Sigdalurinn mikli	大地溝帯
Akabaflói	アカバ湾
Fort-de-France	フォール＝ド＝フランス
Telesfórus	テレスフォルス (ローマ教皇)
Mercedes-Benz CLS	メルセデス・ベンツ CLSクラス
Fáni Ástralíu	オーストラリアの国旗
François Mauriac	フランソワ・モーリアック
Da Vinci lykillinn (bók)	ダ・ヴィンチ・コード
Fjárhirðir	羊飼い
429 f.Kr.	紀元前429年
Slesía	シレジア
Murasaki Shikibu	紫式部
Þúsaldarmarkmið Sameinuðu þjóðanna	ミレニアム開発目標
Galdur	魔術
Sígild eðlisfræði	古典物理学
Anton Bruckner	アントン・ブルックナー
1421-1430	1420年代
Akhenaten	アメンホテプ4世
Skyndibiti	ファーストフード
Loftþrýstingur	気圧
Kjötæta	肉食動物
Gaffall	フォーク (食器)
Santos	サントス
Ajax Amsterdam	アヤックス・アムステルダム
Smokkfiskar	イカ
Royan	ロワイヤン
Fjölgervi	同素体
Mataráhöld	刃物
Matarprjónar	箸
Semball	チェンバロ
Boulogne-sur-Mer	ブローニュ＝シュル＝メール
Orðflokkur	品詞
George Berkeley	ジョージ・バークリー
NASDAQ	NASDAQ
Týros	ティルス
Sam Worthington	サム・ワーシントン
Ian Fleming	イアン・フレミング
Temuco	テムコ
Kaupmáttarjöfnuður	購買力平価説
Matvæla- og landbúnaðarstofnun Sameinuðu þjóðanna	国際連合食糧農業機関
450 f.Kr.	紀元前450年
Mata Hari	マタ・ハリ
La Rochelle	ラ・ロシェル
Hande Yener	ハンデ・エネル
Hvati	触媒
Hálfapar	曲鼻猿亜目
1171-1180	1170年代
1081-1090	1080年代
1001-1010	1000年代
1301-1310	1300年代
1331-1340	1330年代
Framsund	フラム海峡
Vetrarólympíuleikarnir	冬季オリンピック
Brandenborgarhliðið	ブランデンブルク門
E (stærðfræðilegur fasti)	ネイピア数
Setberg	堆積岩
Sankt Pölten	ザンクト・ペルテン
Sex Pistols	セックス・ピストルズ
Línuleg algebra	線型代数学
Núningskraftur	摩擦
Létteind	レプトン (素粒子)
Eldland	ティエラ・デル・フエゴ
Hönnun	デザイン
Krakatá	クラカタウ
Blóðþrýstingur	血圧
Stríð Íraks og Írans	イラン・イラク戦争
Ástand stofns	保全状況
María 1. Englandsdrottning	メアリー1世 (イングランド女王)
Haka	おとがい
The Bold and the Beautiful	ザ・ボールド・アンド・ザ・ビューティフル
Eneas	アイネイアース
Heimskautarefur	ホッキョクギツネ
Skanni	イメージスキャナ
Tölvuskrá	ファイル (コンピュータ)
1091-1100	1090年代
Olsztyn	オルシュティン
Kanji	日本における漢字
Plinius eldri	ガイウス・プリニウス・セクンドゥス
Nafn	名前
Hvirfilpunktur	天頂
Sextánundakerfi	十六進法
1381-1390	1380年代
Alvar Aalto	アルヴァ・アールト
Listi yfir þjóðhöfðingja Englands	イングランド君主一覧
Sokotra	ソコトラ島
Langafasta	四旬節
Saparmyrat Nyýazow	サパルムラト・ニヤゾフ
Joseph Conrad	ジョゼフ・コンラッド
Kóralhaf	珊瑚海
Katakana	片仮名
1241-1250	1240年代
1291-1300	1290年代
Tölustafur	数字
Rúnir	ルーン文字
Antonio Gramsci	アントニオ・グラムシ
David Villa	ダビド・ビジャ
Aðventa	アドベント
1451-1460	1450年代
Gregoríus 13. páfi	グレゴリウス13世 (ローマ教皇)
Upphrópun	感動詞
Salvatore Quasimodo	サルヴァトーレ・クァジモド
Anaxagóras	アナクサゴラス
1111-1120	1110年代
1161-1170	1160年代
1251-1260	1250年代
Petronas-turnarnir	ペトロナスツインタワー
Leicester	レスター
Stríð Sovétmanna í Afganistan	アフガニスタン紛争 (1978年-1989年)
Stórsveppir	キノコ
Taípei 101	台北101
Kassavarót	キャッサバ
Tower-brúin	タワーブリッジ
Afríkukeppni landsliða í knattspyrnu	アフリカネイションズカップ
Norski fáninn	ノルウェーの国旗
Kúlombskraftur	クーロンの法則
